l_ukrainian:
 # map
 PROV4790:0 "Панґґуянан"
 PROV4791:0 "Чиребон"
 PROV4792:0 "Кендал"
 PROV4793:0 "Педжанг"
 PROV4794:0 "Маланг"
 PROV4795:0 "Боне"
 PROV4796:1 "Кендарі"
 PROV4797:0 "Соппенг"
 PROV4798:0 "Ваджо"
 PROV4799:0 "Санґкуліранг"
 PROV4800:0 "Пасер"
 PROV4801:0 "Батулікан"
 PROV4802:1 "Понтіанак"
 PROV4803:0 "Мелю"
 PROV4804:0 "Кучінг"
 PROV4805:0 "Бінтулу"
 PROV4806:0 "Капіт"
 PROV4807:0 "Північний Борнео"
 PROV4808:0 "Суматра"
 PROV4809:0 "Ланґкат"
 PROV4810:0 "Делі"
 PROV4811:0 "Барус"
 PROV4812:0 "Перак"
 PROV4813:0 "Пенанґ"
 PROV4814:0 "Семантан"
 PROV4815:0 "Сінґапур"
 PROV4816:0 "Ренґат"
 PROV4817:0 "Паданґ"
 PROV4818:0 "Індрапура"
 PROV4819:0 "Куангнінь"
 PROV4820:0 "Хунг Хоа"
 PROV4821:0 "Нгеан"
 PROV4822:0 "Амараваті"
 PROV4823:0 "Зярай"
 PROV4824:0 "Еде"
 PROV4825:0 "Пурсат"
 PROV4826:0 "Кампот"
 PROV4827:0 "Кампонгпоус Том"
 PROV4828:0 "Пра Вігеар"
 PROV4829:0 "Раунгдепайськ"
 PROV4830:0 "Районґ"
 PROV4831:0 "Банґкок"
 PROV4832:1 "Лаво"
 PROV4833:0 "Фетчабун"
 PROV4834:0 "Суфан Бурі"
 PROV4835:0 "Канчанабурі"
 PROV4836:0 "Сі Теп"
 PROV4837:0 "Муанг Нгои"
 PROV4838:0 "Роі-Ет"
 PROV4839:0 "Чампасак"
 PROV4840:0 "Секонґ"
 PROV4841:0 "Лампун"
 PROV4842:1 "Лампанг"
 PROV4843:0 "Аннамські гори"
 PROV4844:0 "Хребет Давна"
 PROV4845:0 "Мамуджу"
 PROV_ADJ4790:0 "Панґґуянанськ"
 PROV_ADJ4791:0 "Чиребонськ"
 PROV_ADJ4792:0 "Кендалськ"
 PROV_ADJ4793:0 "Педжангськ"
 PROV_ADJ4794:0 "Малангськ"
 PROV_ADJ4795:0 "Бонськ"
 PROV_ADJ4796:0 "Кендарійськ"
 PROV_ADJ4797:0 "Соппенгськ"
 PROV_ADJ4798:0 "Ваджоськ"
 PROV_ADJ4799:0 "Санґкулірангськ"
 PROV_ADJ4800:0 "Пасерськ"
 PROV_ADJ4801:0 "Бутуліканськ"
 PROV_ADJ4802:0 "Понтіанакськ"
 PROV_ADJ4803:0 "Мелюйськ"
 PROV_ADJ4804:0 "Кучінгськ"
 PROV_ADJ4805:0 "Бінтулуськ"
 PROV_ADJ4806:0 "Капітськ"
 PROV_ADJ4807:0 "Північно-Борнейськ"
 PROV_ADJ4808:0 "Суматранськ"
 PROV_ADJ4809:0 "Лангкатськ"
 PROV_ADJ4810:0 "Делійськ"
 PROV_ADJ4811:0 "Баруськ"
 PROV_ADJ4812:0 "Герікськ"
 PROV_ADJ4813:0 "Пенангськ"
 PROV_ADJ4814:0 "Семантанськ"
 PROV_ADJ4815:0 "Сінґапурськ"
 PROV_ADJ4816:0 "Ренгатськ"
 PROV_ADJ4817:0 "Паданґськ"
 PROV_ADJ4818:0 "Індрапурськ"
 PROV_ADJ4819:0 "Куангніньськ"
