l_english:
#TODO
 #Scripted effects and triggers here should probably be ported into coded triggers and effects for the sake of localization... 

 ME_GENERAL____:0 "§YГенерал§! додатково набуде "
 ME_GENERAL____1:0 "§YГенерал§! додатково набуде §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL____2:0 "§YГенерал§! додатково набуде §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL____3:0 "§YГенерал§! додатково набуде §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL___1_:0 "§YГенерал§! додатково набуде §G+1§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL___1_1:0 "§YГенерал§! додатково набуде §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL___1_2:0 "§YГенерал§! додатково набуде §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL___1_3:0 "§YГенерал§! додатково набуде §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL___2_:0 "§YГенерал§! додатково набуде §G+2§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL___2_1:0 "§YГенерал§! додатково набуде §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL___2_2:0 "§YГенерал§! додатково набуде §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL___2_3:0 "§YГенерал§! додатково набуде §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL___3_:0 "§YГенерал§! додатково набуде §G+3§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL___3_1:0 "§YГенерал§! додатково набуде §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL___3_2:0 "§YГенерал§! додатково набуде §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL___3_3:0 "§YГенерал§! додатково набуде §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1___:0 "§YГенерал§! додатково набуде §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! "
 ME_GENERAL_1___1:0 "§YГенерал§! додатково набуде §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1___2:0 "§YГенерал§! додатково набуде §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1___3:0 "§YГенерал§! додатково набуде §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1__1_:0 "§YГенерал§! додатково набуде §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_1__1_1:0 "§YГенерал§! додатково набуде §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1__1_2:0 "§YГенерал§! додатково набуде §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1__1_3:0 "§YГенерал§! додатково набуде §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1__2_:0 "§YГенерал§! додатково набуде §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_1__2_1:0 "§YГенерал§! додатково набуде §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1__2_2:0 "§YГенерал§! додатково набуде §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1__2_3:0 "§YГенерал§! додатково набуде §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1__3_:0 "§YГенерал§! додатково набуде §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_1__3_1:0 "§YГенерал§! додатково набуде §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1__3_2:0 "§YГенерал§! додатково набуде §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1__3_3:0 "§YГенерал§! додатково набуде §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2___:0 "§YГенерал§! додатково набуде §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! "
 ME_GENERAL_2___1:0 "§YГенерал§! додатково набуде §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
