l_ukrainian:
 recover_east_anatolia_title:0 "Повернення Східної Анатолії"
 recover_east_anatolia_desc:0 "Завершіть відвоювання Анатолії!"
 recover_crimea_title:0 "Повернення Кафи"
 recover_crimea_desc:0 "Приєднання Кафи до Імперії дозволить нам контролювати торгівлю на Чорному морі."
 recover_east_islands_title:0 "Повернення Східних островів"
 recover_east_islands_desc:0 "Приєднання Родосу, Криту, і Кіпру гарантуватиме безпеку берегів Анатолії."
 recover_albania_title:0 "Повернення Албанії"
 recover_albania_desc:0 "Наступною стадією нашого піднесення має стати повернення східного берега Адріатики"
 recover_isteria_title:0 "Повернення Істрії"
 recover_isteria_desc:0 "Продовжимо повернення Адріатичного узбережжя!"
 recover_north_italy_title:0 "Повернення Північної Італії"
 recover_north_italy_desc:0 "Із включенням Риму до складу Імперії ми зможемо рухатися на північ!"
 recover_lombardia_title:0 "Повернення Ломбардії"
 recover_lombardia_desc:0 "Завершіть повернення земель Італії до лона Імперії!"
 recover_west_islands_title:0 "Повернення Західних островів"
 recover_west_islands_desc:0 "Контроль над Корсикою і Сардинією гарантуватиме безпеку Італійських островів, до того ж Балеарські острови послужать непоганим плацдармом для вторгнення в Еспанію."
 recover_south_spain_title:0 "Повернення Еспанії"
 recover_south_spain_desc:0 "Узбережжя Еспанії стане останнім пунктом наших домагань на Заході."
 recover_tripoli_title:0 "Повернення Тріполі"
 recover_tripoli_desc:0 "Заради слави Імперії Тріполі має бути взятий!"
 recover_tunis_title:0 "Повернення Тунісу"
 recover_tunis_desc:0 "Туніс, який був колись одним з найбільших ворогів Риму – Карфагеном, являє собою західний край Імперії в Африці"
 recover_antioch_title:0 "Повернення Антіохії"
 recover_antioch_desc:0 "Антіохія, ключ до святого міста, повинна повернутися в Імперію!"
 recover_jerusalem_title:0 "Повернення Єрусалиму"
 recover_jerusalem_desc:0 "Наступним кроком до нашої величі буде захоплення Єрусалиму!" 
 recover_alexandria_title:0 "Повернення Олександрії"
 recover_alexandria_desc:0 "Олександрія, головна житниця Риму, повинна доповнити нашу відновлену Імперію!"
 purple_phoenix.1.t:0 "З'являється претендент"
 purple_phoenix.1.d:0 "З поверненням сили Імперії повертається і її слабість. Амбітні дворяни і генерали готові спробувати взяти владу в свої руки."
 purple_phoenix.1.a:0 "Смерть зрадникам!"
 purple_phoenix.1.b:0 "Підтримати претендента"
 purple_phoenix.2.t:0 "Афіни відвойовані!"
 purple_phoenix.2.d:0 "Століттями Афіни були центром Візантійської культури й мистецтва, поки ми їх не втратили через амбіції католиків у Четвертому Хрестовому поході. Зовсім недавно місто було столицею незалежного князівства під владою західних сімей. Цей час підійшов до кінця, і вперше з 1204 року Афіни знову стали частиною Візантійської імперії."
 purple_phoenix.2.a:0 "І на віки віків!"
 purple_phoenix.3.t:0 "Нікомедію відвойовано!" 
 purple_phoenix.3.d:0 "Нікомедія, або як її називали турки, Ізміт, була ключем Візантії до узбережжя Малої Азії протягом тисячі років, поки в 1337 році турки не завоювали її. Повернення цього міста є ідеальною можливістю повернути свої землі в Малій Азії."
 purple_phoenix.3.a:0 "І ми цим скористаємося!"
 purple_phoenix.4.t:0 "Антіохію відвойовано!"
 purple_phoenix.4.d:0 "Втрачену у війні з турками в 1084 році Антіохію називають колискою Християнства. І хоча вона вже давно не є його центром, вона залишається святим містом."
 purple_phoenix.4.a:0 "Deus vult!"
 purple_phoenix.5.t:0 "Єрусалим відвойовано!"
 purple_phoenix.5.d:0 "Втрачений у війнах з арабами в 634 році, Єрусалим був колись центром богослужіння християн в Імперії. Його захоплення підвищить моральний дух християн по усьому світу."
 purple_phoenix.5.a:0 "Deus vult! Цього хоче Бог!"
 purple_phoenix.6.t:0 "Рим відвойовано!"
