l_ukrainian:
 usa_dlc.EVTNAME1:0 "Конгрес Конфедерації"
 usa_dlc.EVTDESC1:0 "З 1 березня 1781 року до 4 березня 1789 року урядовим органом Сполучених Штатів Америки було скликано Конгрес Конфедерації Сполучених Штатів, безпосереднього наступника Другого Континентального Конгресу.\n\nНезважаючи на недостатню кількість повноважень, Конгресу вдалося видати безліч законодавчих актів, у тому числі Північно-західний ордонанс. Конгрес обговорив величезний державний борг, який утворився внаслідок Війни за Незалежність, а також проблеми рабства в штатах Північно-західного ордонансу. Заборгованість французам і голландцям становила 8 мільйонів доларів, а загальний борг федерації сягав 40 мільйонів. На з'їзді було запропоновано ввести імпортне мито розміром в 5%, а пропозиція про скасування рабства в Північно-західному ордонансі викликала гарячі суперечки..."
 usa_dlc.EVTOPTA1:0 "Обговорити введення імпортного мита"
 usa_dlc.EVTOPTB1:0 "Обговорити проблему рабства в Північно-західному ордонансі"
 usa_dlc.EVTNAME2:0 "Імпортне мито"
 usa_dlc.EVTDESC2:0 "Війна за незалежність проти Британії залишила нашій державі величезні борги. Заборгованість федерації становила 40 мільйонів доларів, з яких 8 мільйонів передбачалося повернути Франції й Голландії. Конгрес двічі запропонував увести імпортне мито розміром в 5%, щоб пізніше виплатити борг і відсотки за позикою, але щоб включити цей пункт у Статті Конфедерації необхідна згода всіх 13 штатів."
 usa_dlc.EVTOPTA2:0 "Увести 5% імпортне мито"
 usa_dlc.EVTOPTB2:0 "Відхилити запропоновану пропозицію"
 usa_dlc.EVTNAME3:0 "Північно-західний ордонанс"
 usa_dlc.EVTDESC3:0 "Північно-західний ордонанс складається із земель, які перебувають південніше Великих Озер, західніше ріки Огайо і на схід від ріки Міссісіпі. Північно-західний ордонанс також є одним з найбільш важливих актів, прийнятих членами Континентальних Конгресів, нарівні з Декларацією незалежності. Північно-західний ордонанс створив прецедент, згідно з яким федеральний уряд є верховним, і з розширенням на захід будуть створюватися нові штати замість розширення вже існуючих. Крім того передбачається суверенітет кожного зі штатів. Все вищенаведене закріплене в Статтях Конфедерації.\n\n Конгрес вніс пропозицію, що 'у вищевказаній території не повинно бути ні рабства ні примусової праці', і це викликало гарячу суперечку серед членів Конгресу. Якимось буде наше рішення? Чи варто забороняти рабство на території Північно-західного ордонансу?"
 usa_dlc.EVTOPTA3:0 "Заборонити рабство!"
 usa_dlc.EVTOPTB3:0 "Нехай самі вирішують"
 usa_dlc.EVTNAME4:0 "Статті Конфедерації"
 usa_dlc.EVTDESC4:0 "Тринадцять штатів, які сформували Сполучені Штати у якості конфедерації суверенних штатів, затвердили перший варіант Статей Конфедерації, які було відправлено урядам штатів для ратифікації. Цей документ вже забезпечив визнання легітимності Континентального Конгресу іншими державами, його право на керування державою у Війні за незалежність, ведення справ з європейськими країнами, а також самостійне вирішення територіальних питань і проблем з індіанцями. Крім того мали місце суперечки стосовно суверенітету, визначення повноважень уряду конфедерації, організації судової влади, і необхідності процедури голосування при затвердженні Статей."
 usa_dlc.EVTOPTA4:0 "Ратифікувати Статті"
 usa_dlc.EVTNAME5:0 "Декларація незалежності США"
 usa_dlc.EVTDESC5:0 "Англо-американський політичний діяч, письменник, політолог і революціонер Томас Пейн, який закликав патріотів проголосити незалежність від Британії, написав у першому виданні 'Здорового глузду' про те, що США повинні формально проголосити свою незалежність. Без Декларації незалежності Європа буде вважати США лише купкою повстанців проти законного монарха, а для того,щоб стати повноцінною державою, нам необхідне міжнародне визнання і підтримка інших держав. Декларація незалежності це документ, у якому Тринадцять Штатів проголошують свою незалежність від Британської імперії."
 usa_dlc.EVTOPTA5:0 "Підписати Декларацію незалежності"
 usa_dlc.EVTNAME6:0 "Незалежність США"
 usa_dlc.EVTDESC6:0 "Тринадцять штатів Америки оголосили про свою незалежність від Британської імперії, підписавши Декларацію незалежності США. Це було зроблено з метою перетворити тринадцять штатів у повноцінну державу, і забезпечити міжнародне визнання та підтримку інших держав. Чи повинні ми офіційно визнати нову державу та їх Декларацію незалежності? Це найімовірніше розгніває Великобританію, але з іншого боку молода держава буде нам вдячною."
 usa_dlc.EVTOPTA6:0 "Визнати США незалежною державою"
 usa_dlc.EVTOPTB6:0 "США ніколи не буде незалежною державою"
 usa_dlc.EVTDESC7:0 "Вся Європа з цікавістю стежила за процесом проголошення незалежності нашої держави від Великобританії. Держава [From.GetName] навіть надіслала свого посла на переговори з лідерами Конгресу."
 usa_dlc.EVTOPTA7:0 "Посол визнав нашу незалежність"
 usa_dlc.EVTOPTB7:0 "Посол відмовився визнавати нашу незалежність"
 usa_dlc.EVTNAME10:0 "Філадельфійський конвент"
 usa_dlc.EVTDESC10:0 "Філадельфійський конвент було створено з метою вирішення проблем з урядуванням в США, оскільки Статті Конфедерації не були достатньо ефективними. Уряд Конфедерації не здатний вирішувати конфлікти, які виникають час від часу між різними штатами. Оскільки уряд з фінансової точки зору цілком залежав від тринадцяти штатів, і не мав повноважень для збору податків, це привело до браку фінансів і збільшення державного боргу через витрати на Війну за незалежність. Було внесена пропозицію доповнити Статті Конфедерації, але пізніше було вирішено створити новий уряд. Також було обговорено питання про дотичні форми правління, склад Сенату і вибори у Сенат, вибори президента, скасування рабства."
 usa_dlc.EVTOPTA10:0 "Пункт перший: Форма правління США"
 usa_dlc.EVTNAME11:0 "Форма правління"
 usa_dlc.EVTDESC11:0 "Перше питання, винесена на обговорення при створенні Конституції, стосувалася форми правління США. Також необхідно вирішити питання складу Сенату, порядку виборів у Сенат, розподілу влади між трьома суб'єктами або її передачі лише президентові. Також розглядався порядок вибору президента, термін його повноважень, і право на переобрання.\n\n На вибір було надані наступні форми правління: 'Конституційна республіка' та 'Конституційна монархія'."
 usa_dlc.EVTOPTA11:0 "Конституційна республіка"
 usa_dlc.EVTOPTC11:0 "Конституційна монархія"
 usa_dlc.EVTNAME12:0 "Работоргівля"
 usa_dlc.EVTDESC12:0 "Другим питанням для обговорення була работоргівля. Рабство дуже розповсюджене явище в штатах, і 25 з 55 представників конвенту мають своїх рабів. Зараз приблизно п'яту частину населення штатів становлять раби, більша частина яких перебуває в південних штатах, оскільки сільськогосподарська економіка цих штатів ґрунтується на рабській праці. Деякі представники південних штатів не бажають ухвалювати жодних пропозицій, які можуть поставити під загрозу їхню економіку. На зборах було обговорено питання стосовно  работоргівлі, повернення рабів-втікачів їхнім господарям, і скасування работоргівлі взагалі.\n\nПівденні штати виступають проти скасування работоргівлі, і ми ризикуємо розгнівати їхнім своїм рішенням, тому ми можемо залишити все як є."
 usa_dlc.EVTOPTA12:0 "Заборонити торгівлю рабами"
 usa_dlc.EVTOPTB12:0 "Не забороняти работоргівлю"
 usa_dlc.EVTNAME13:0 "Карні злочини"
 usa_dlc.EVTDESC13:0 "Третім питанням на порядку денному було визначення карних злочинів, і форми їхньої фіксації в законодавстві. Було запропоновано досить сувору система покарання, де убивць чекала вища міра покарання — смертний вирок, а за інші злочини передбачалися тюремні ув'язнення на довгий термін. Деякі делегати виступили на підтримку покарань середньої строгості, де якій основними видами покарання були тюремні ув'язнення і штрафи. Також були й такі, хто запропонував щоб штати самі могли формувати перелік карних дій, і щоб було створено кодекс, який всі штати могли б взяти за основу свого кримінального законодавства. Ще одним із запропонованих варіантів було введення більш гуманних видів покарань, а саме тюремних ув'язнень на короткий термін і величезні штрафи.\n\nЩо із запропонованого слід вибрати штатам?"
 usa_dlc.EVTOPTA13:0 "Суворе законодавство"
 usa_dlc.EVTOPTB13:0 "Менш суворе законодавство"
 usa_dlc.EVTOPTC13:0 "Власне законодавство в кожному штаті"
 usa_dlc.EVTOPTD13:0 "Гуманне законодавство"
 usa_dlc.EVTNAME14:0 "Конституція Сполучених Штатів Америки"
 usa_dlc.EVTDESC14:0 "Конституція Сполучених Штатів Америки є нормативно-правовим актом вищої юридичної сили цієї держави. Перші три статті конституції встановлюють права і окремі повноваження трьох органів федеральної влади. Органом законодавчої влади є двопалатний Конгрес, виконавчої — Президент, а суднової — Верховний суд. Останні чотири статті визначають принципи федералізму, а десята поправка підтверджує федеральні основи."
 usa_dlc.EVTOPTA14:0 "Прийняти Конституцію"
 usa_dlc.EVTNAME20:0 "Постачання зброї американським індіанцям"
 usa_dlc.EVTDESC20:0 "Наші колонії в Північній Америці оголосили себе незалежними від нашої держави. Крім того вони воюють з місцевими племенами щоб розширити свої володіння. Ми б могли забезпечити індіанців зброєю, і спробувати завадити подальшому просуванню американців..."
 usa_dlc.EVTOPTA20:0 "Поставляти зброю"
 usa_dlc.EVTOPTB20:0 "Це того не варто"
 usa_dlc.EVTNAME21:0 "Великобританія пропонує зброю"
 usa_dlc.EVTDESC21:0 "Великобританія збирається  постачати нам свою зброю, що може допомогти в нашій війні з США."
 usa_dlc.EVTOPTA21:0 "Добре"
 usa_dlc.EVTNAME22:0 "Великобританія підтримує зброєю індіанців"
 usa_dlc.EVTDESC22:0 "Воювати проти американських племен стало набагато важче. Після кількох розвідувальних операцій наші люди знайшли докази того, що британські торговці й урядові агенти постачають зброю індіанцям з надією перешкодити нашому подальшому просуванню."
 usa_dlc.EVTOPTA22:0 "От виродки!"
 usa_dlc.EVTNAME25:0 "Бенджамін Франклін"
 usa_dlc.EVTDESC25:0 "'Перший американець' — саме таке прізвисько заслужив ерудит Бенджамін Франклін за просування ідей колоніальної єдності, та уособлення феномену появи нової американської нації. Франклін по праву вважається одним з батьків-засновників США. Під час роботи радника в США він сформував основу моральних ідеалів американців: практичні цінності ощадливості, працьовитості й тяги до створення, почуття приналежності до американської нації, органи самоврядування, несприйняття політичного і релігійного авторитаризму, а також наукові та моральні цінності Просвітництва. Якби не працьовитість і запал Бенджаміна Франкліна, США навряд чи б стали великою державою."
 usa_dlc.EVTOPTA25:0 "Так і є"
 usa_dlc.EVTNAME26:0 "Торгівля хутром"
 usa_dlc.EVTDESC26:0 "Індіанці, які живуть у Північній Америці, завжди займалися торгівлею хутром. Європейці, відразу ж після прибуття на континент, також почали брати участь у цьому промислі. Британці першими побудували факторії в нових землях, і стали однією з головних торгових сил у Північній Америці. Однак останнім часом торгівля хутром переживає не кращі часи. Європа вимагає нових поставок хутра, але США не може забезпечити достатню кількість, причому виробництво хутра постійно падає. Якби нам вдалося перехопити лідерство в торгівлі хутром у Британії, наша держава купалася б у золоті."
 usa_dlc.EVTOPTA26:0 "Підтримати торгівлю хутром"
 usa_dlc.EVTOPTB26:0 "Та ну її..."
 usa_dlc.EVTNAME27:0 "Культурна асиміляція індіанців"
 usa_dlc.EVTDESC27:0 "Джордж Вашингтон і Генрі Нокс сформували політику заохочення асиміляції корінного населення індіанців і залучення їх до європейсько-американської культури. Навчання є головним методом у процесі асиміляції меншин, а величезна кількість іммігрантів з Європи сприяє росту суспільної підтримки формування стандартного набору культурних цінностей. Джордж Вашингтон сформулював план асиміляції, який складався із шести пунктів:\n1. Неупереджене правосуддя відносно індіанців\n2. Купівля індіанських земель на підставі чітко сформульованих правових актів\n3. Просування торгівлі\n4. Просування експериментів, спрямованих на залучення індіанського суспільства до цивілізації\n5. Право президента на надання індіанцям подарунків\n6. Покарання людей, які порушують права індіанців."
 usa_dlc.EVTOPTA27:0 "Підтримати ідеї Вашингтона і почати асиміляцію"
 usa_dlc.EVTOPTB27:0 "Залишити індіанців у спокої"
 usa_dlc.EVTNAME28:0 "Американська академія мистецтв і наук"
 usa_dlc.EVTDESC28:0 "Джон Адамс, Джон Хенкок і Джеймс Будойн є вченими, які заснували Американську академію мистецтв і наук. Ціль Академії, як зазначено в статуті: 'культивувати мистецтво і науку, які можуть служити вищим інтересам, честі, гідності й щастю вільних, незалежних і доброчесних людей'. Якщо наша держава підтримає цю академію, то зросте кількість учених, чиї винаходи, ідеї та досягнення будуть втілені в життя, і по праву будуть оцінені та нагороджені."
 usa_dlc.EVTOPTA28:0 "Підтримати академію"
 usa_dlc.EVTOPTB28:0 "Нічого не робити"
 usa_dlc.EVTNAME29:0 "'Юніон фаєр'"
