l_ukrainian:
 #Legacy Missions
 conquer_moscow_ukr_title:0 "Завоювати Москву"
 conquer_moscow_ukr_desc:0 "Століттями ці варвари зневажають нашу велику державу своїми претензіями на наш славетний український спадок заявами, що Москва – Третій Рим. Вони тільки смішать нас своїми недолугими претензіями. Цей Картаген повинен бути зруйнований!\nCeterum censeo Carthaginem esse delendam!"
 conquer_finland_ukr_title:0 "Завоювати Фінляндію"
 conquer_finland_ukr_desc:0 "Швеція залишається загрозою нашим північним кордонам. Щоб захистити Рутенію раз і назавжди, ми повинні завоювати Фінляндію і використати її в ролі буфера."
 access_to_the_baltic_sea_ukr_title:0 "Вікно на Північ"
 access_to_the_baltic_sea_ukr_desc:0 "Рутенія занадто довго залишалася осторонь північної торгівлі. Ми повинні вийти з тіні. Свята Русь повинна оволодіти узбережжям Балтії та відновити нашу давню спадщину від моря – до моря."
 subjugate_crimea_ukr_title:0 "Підкорити Крим"
 subjugate_crimea_ukr_desc:0 "Кримським татарам було дозволено буянити в наших степах занадто довго. Прийшов час показати їм хто тут козацького роду."
 #New Missions
 restore_lithuania_ukr_title:0 "Відновити Литву"
 restore_lithuania_ukr_desc:0 "Литва, у порівнянні з [Root.GetTagKYM], знаходиться у відносному занепаді. Прийшов час привести їх до належного вигляду для нашого власного, а також їхнього добробуту."
 
 #Events
 ukie_states.1.t:0 "Кінець рабству"
 ukie_states.1.desc:0 "Порт Азов був одним з найбільших невільничих ринків, де ясир (від турецького – esir – полонені, яких захоплювали під час набігів в українські, російські та польські землі у 1500-х – 1800-х роках) – чоловіки, жінки та діти продавались і купувались.\n\n– Нашими людьми торгували як тваринами. Після встановлення контролю над містом, ми повинні припинити цю ганебну комерцію!"
 ukie_states.1.a:0 "Відпусти Мій народ!"
 ukie_states.1.b:0 "Воля!"
 ukie_states.2.t:0 "Анексія Москви"
 ukie_states.2.desc:0 "Захопивши нарешті столицю сьогоденного Картагену, ми розчавили московитські міти про їхній дорогий Третій Рим – міти, які тепер згодяться хіба що страхати дітей перед сном!\nТакож ми скасували їхній незаконний самопроголошений патріархат, чим припинили дуоцентризм у Східній Православній Церкві. Київський патріарх тепер єдиний справжній представник православ'я у цій частині світу."
 ukie_states.2.a:0 "Москва delenda est!"
 ukie_states.3.t:0 "Данина колишньому володареві"
 ukie_states.3.desc:0 "Попри те, що Великий князь дарував нашій державі широкі привілеї, наші колишні володарі очікують від нас продовження сплати контрибуцій. Настав час дати нашу відповідь збирачам данини."
 ukie_states.3.a:0 "Заплатити за нашу незалежність"
 ukie_states.3.b:0 "Ми платимо грошима і кров'ю наших людей за незалежність"
 ukie_states.3.c:0 "Не цього разу"
 ukie_states.3.d:0 "Не цього разу"
 ukie_states.4.t:0 "Данина колишньому володареві"
 ukie_states.4.desc:0 "Попри те, що Великий Князь дарував нашій державі широкі привілеї, наші колишні володарі очікують від нас продовження сплати контрибуцій. Настав час дати нашу відповідь збирачам данини."
 ukie_states.4.a:0 "Заплатити за нашу незалежність"
 ukie_states.4.b:0 "Ми платимо грошима і кров'ю наших людей за незалежність"
 ukie_states.4.c:0 "Не цього разу"
 ukie_states.4.d:0 "Не цього разу"
 ukie_states.5.t:0 "Хортицька Січ"
 ukie_states.5.desc:0 "Одне з перших укріплень, відоме під назвою Січ, розташовувалося на острові Мала Хортиця і було засноване волинським принцем Дмитром Вишневецьким. Фортеця мала стратегічне розташування та стала важливим форпостом у боротьбі з татарською агресією."
 ukie_states.5.a:0 "Продовжити зміцнювати фортечні укріплення"
 ukie_states.5.b:0 "Збільшити захист всієї країни"
 ukie_states.5.c:0 "Нічого не робити"
 ukie_states.6.t:0 "Гетьмана скинуто"
 ukie_states.6.desc:0 "Події у цій війні розвиваються не так, як ми очікували. Козаки втратили впевненість і вважають, що причиною цьому ста[Root.GetMEndVLa]  [Root.Monarch.GetTitleKHTO] [Root.Monarch.GetName]. Вони звинувачують його у своїх поразках. Вони вже скликали Раду, де має бути обрано нов[Root.GetMEndUOgo] [Root.Monarch.GetTitleOGO]. Стар[Root.GetMEndAYJ] [Root.Monarch.GetTitleKHTO], швидше за все, попрощається з життям, після того, як [Root.GetMJOGO] буде позбавлено титулу... якщо тільки [Root.GetMSheHe] не переконає громаду, що заслуговує на другий шанс."
 ukie_states.6.a:0 "З новим правителем ми неодмінно переможемо!"
 ukie_states.6.b:0 "[Root.Monarch.GetTitle] особисто поведе військо в наступну битву!"
 ukie_states.7.t:0 "Турецька війна"
 ukie_states.7.desc:0 "Козацькі офіцери найвищого рангу, так звана Старшина, ніколи не скаржилася на брак талановитих полководців. \nТепер, коли ми готуємося дати відчути цих турецьких дияволів холодною українською крицею і нагодувати їхні чорні серця козацьким свинцем, Старшина обрала багатообіцяючого лідера, який поведе наші полки до перемоги!"
 ukie_states.7.a:0 "Слава буде нашою!"
 ukie_states.7.b:0 "Ми переможемо в цій війні й без допомоги старшини."
 ukie_states.8.t:0 "Один Бог – одна держава!"
 ukie_states.8.desc:0 "Нарешті! \nПісля багатьох років, роз'єднані, під владою чужинців, увесь наш народ тепер об'єднаний в одну могутню націю. \nЗробімо її процвітаючою та рівною серед великих держав!"
 ukie_states.8.a:0 "Треба інвестувати в патріотизм."
 ukie_states.8.b:0 "Треба інвестувати в добробут."
 ukie_states.9.t:0 "Відновлення литовських претензій"
 ukie_states.9.desc:0 "Як Гедимінович, наш князь завжди матиме претензії на литовський спадок. Навіть якщо доведеться розтлумачити це неразумним землякам силою."
 ukie_states.9.a:0 "Княжіння в Литві – наша доля."
 ukie_states.9.b:0 "Литва вже не та."
 ukie_states.10.t:0 "Повернення Гедиміновича"
 ukie_states.10.desc:0 "Прямий нащадок роду Гедиміна закріпився на південних землях Русі. Якщо ми запросимо його на князювання, зможемо досягти ще більшої слави разом."
 ukie_states.10.a:0 "Присягнімо великому роду Гедиміновичів!"
 ukie_states.10.b:0 "Покажемо цьому самозванцеві хто тут Великий князь!"
 ukie_states.11.t:0 "Опішнянське гончарство"
 ukie_states.11.desc:0 "Вважається, що назва селища походить від прото-слов'янського слова 'о(б)пока' – осадової мікропористої породи, що складена з аморфного кремнезему з домішками глинястої речовини, скелетних часток організмів та мінеральних зерен. Саме на її основі в Опішні розвинувся промисел, який і прославив селище, – гончарство. Ця територія була заселена ще в добу неоліту, під час якого керамічний посуд набуває широкого використання.\nЩо нам слід робити, – вкластися в гончарство, чи розвивати фермерство?"
 ukie_states.11.a:0 "Більше глечиків, гарних і різних."
 ukie_states.11.b:0 "Хліб – це життя."
 ukie_states.12.t:0 "Виборна монархія [Root.Get_UV] [Root.GetTagDE]"
 ukie_states.12.desc:0 "Після зруйнування руських держав ординцями традиція вирішувати всі важливі питання за допомогою віче теж забулася. Монархія, звісно, не віче, але так ми зможемо обирати найвигідніших правителів для нашої держави, але важливі державні рішення контролюватиме сейм."
 ukie_states.12.a:0 "Довіримося Сейму!"
 
 #Missions_new
 ukie_conquer_chr_title:0 "Завоювати Чернігів"
 ukie_conquer_chr_desc:0 "Чернігів залишається загрозою нашим східним кордонам і загрожує нашому праву на трон Русі. Для захисту Києва раз і назавжди, ми маємо завоювати Чернігів. Це також створить хороший буфер від східних орд та решти дикунів."
 develop_opishnia_title:0 "Опішнянське гончарство"
 develop_opishnia_desc:0 "Шляхта розвинула смак до вишуканих гончарних виробів, а серед них немає кращих за вироблені в Опішні. Ми повинні попіклуватися, щоби провінція могла виробляти достатньо посуду для задоволення наростальних потреб знаті."
 ukr_vilkomyr_aftermath_title:0 "Наслідки Вількомира"
 ukr_vilkomyr_aftermath_desc:0 "Битва під Вількомиром, яка відбулася 1 вересня 1435 року, спричинила кризу лідерства в коаліції православних князів. Свидригайло втратив безумовний авторитет після нищівної поразки від об'єднаного польсько-литовського війська й задовольнився відкупним титулом князя Волинського. Семен Олелькович відродив князівство Київське, а рід Чарторийських (коли пристрасті охололи після їхньої вдалої спроби замаху на життя Сигізмунда Кейстутовича) – сів на князювання в Чернігово-Сіверщині. Тим часом Запорізьке козацтво опинилося в залежності від вмілого дипломата Олельковича, але сміливі уми серед старшини не полишають планів здобути славу, а заодно і владу над усім регіоном.\n\nНастав час зібрати всі руські землі під один трон, інакше ми ризикуємо знову їх втратити на користь хижих сусідів."
 greater_ruthenia_ukr_titile:0 "Об'єднані разом"
 greater_ruthenia_ukr_desc:0 "Після століть перебування у милості різних правителів, руські князівства, об'єднані [Root.GetAdjective]ою Короною, готові стати знову цілісною державою."
 ukies_mohyla_academy_title:0 "Могилянська академія"
 ukies_mohyla_academy_desc:0 "Жодна нація не може пишатися собою як носієм знань та освіти без потужного центру навчання. Для розв'язання цієї проблеми було відкрито Києво-Могилянську академію на базі Київської братської школи, яка 1615 року отримала приміщення в Києві. У вересні 1632 року Київська братська школа об'єдналася з Лаврською школою. У результаті було створено Києво-Братську колегію. Київський митрополит Петро Могила побудував у ній систему освіти за зразком єзуїтських навчальних закладів. Велику увагу в колегії приділяли вивченню мов, зокрема польської та латини. Станових обмежень для здобуття освіти не було. Згодом колегія іменувалася Києво-Могилянською на честь свого благодійника та опікуна."
 ukies_christian_fleet_title:0 "Морське домінування"
 ukies_christian_fleet_desc:0 "Ми давно мали амбіції в Чорному морі. Балканські землі дозріли для захоплення, однак нам потрібна прилегла гавань і флот, досить великий, щоб перешкоджати опортуністичним мусульманським султанам."
 
 #Desicions
 proclaim_hetmanate_ukr_title:0 "Проголосити Гетьманат"
 proclaim_hetmanate_ukr_desc:0 "За сильного впливу козаків – вільних воїнів – у нашій країні, наш народ чекає, що уряд слідуватиме шляхетним, але в той же час, іноді жорстоким традиціям козацького лицарства. Одною з них є можливість приймати важливі рішення, як-то вибирати або усувати своїх правителів на зборах громади – Раді."
 unwanted_hetman_ukr_title:0 "§YНебажаний гетьман§!"
 unwanted_hetman_ukr_desc:0 "Багато козацьких правил базувалося на демократичних традиціях Київської Руси, де всі важливі рішення підлягали схваленню або несхваленню загальних зборів – Віче. Коли наша держава вирішила жити як козаки, ми також погодилися слідувати їхнім законам – статутам. Один із статутів проголошує, що Козацька Рада може збиратися щоб висунути недовіру чинному правителю та обрати того, якому віддають перевагу."
 retake_constantinople_ukr_title:0 "§YПовернення міста Костянтина§!"
 retake_constantinople_ukr_desc:0 "Легендарне місто Константинополь (або як русини звикли його називати – Царгород), звільнене від проклятих сарацинів! Тепер, коли воно повернулося в лоно православної церкви, воно повинне розквітнути під нашим командуванням."
 from_varangians_to_greeks_ukr_title:0 "§YЗ варягів у греки§!"
 from_varangians_to_greeks_ukr_desc:0 "З варягів у греки – торговельний шлях, який з'єднував Скандинавію, Київську Русь і Візантійську Імперію. Шлях дозволяв встановлювати прямі взаємовигідні стосунки між Візантією і Азією. Тепер, коли ми контролюємо цей легендарний шлях, ми повинні домінувати в східноєвропейській торгівлі."
 orthodox_volhyn_ukr_title:0 "§YНавернення в православ'я§!"
 orthodox_volhyn_ukr_desc:0 "Незважаючи на те, що наша шляхта навернулася в католицизм, як було продиктовано Польщею, простолюдь у наших провінціях залишається переважно православним. Це буде мудре рішення повернути нашу державну релігію – Православ'я."
 controller_of_crimea_ukr_title:0 "§YКонтроль над кримським півостровом§!"
 controller_of_crimea_ukr_desc:0 "Панування над кримським півостровом дає контроль над більшою частиною чорноморських шляхів. Володіння ним зміцнить наш флот."
 black_sea_owner_ukr_title:0 "§YВолодар Чорного моря§!"
 black_sea_owner_ukr_desc:0 "Чорне море – колиска нашого народу. Ми повинні контролювати усі його порти, якщо ми бажаємо стати насправді великою державою!"
 ruthenian_colonization_ukr_title:0 "§YРуська колонізація§!"
 ruthenian_colonization_ukr_desc:0 "Як і вся руська історія, руська колонізація теж не починалася традиційним шляхом. Часто наші люди відкривали та завойовували нові світи у славу інших держав. Цього разу ми маємо шанс зробити так, щоб наші нащадки нами пишалися."
 
 #Misc
 HET:0 "Гетьманат"
