l_ukrainian:
 LOCAL_AUTONOMY_EFFECTS: "Місцева автономія в провінції $NAME$ дає наступні ефекти:\n$EFFECT$"
 LOCAL_AUTONOMY_DECREASE_EFFECT: "Якщо безладдя в провінції $NAME$ становить §Y0.0%§!, рівень місцевої автономії може бути знижений.\n\n"
 LOCAL_AUTO_CHANGE: "Він буде змінюватися на $DECREASE$ щомісяця, завдяки наступним ефектам:\n$DESC$"
 LOCAL_AUTONOMY_MOD: "Щомісячна зміна автономії"
 GLOBAL_AUTONOMY_MOD: "Щомісячна зміна автономії"
 autonomy_increased: "Рівень автономії збільшився"
 desc_autonomy_increased: "Цій провінції було надано більшу автономію, що знизило напругу в цьому регіоні."
 autonomy_decreased: "Рівень автономії знизився"
 desc_autonomy_decreased: "У цій провінції була знижена автономія, що підсилило напругу в цьому регіоні."
 humiliated_rival: "Принизив державу $TARGET$"
 humiliated_by_rival: "Принижений державою $TARGET$"
 insulted_rival: "Образив суперника"
 annexers_legacy: "Приєднав суб'єкти"
 usury_forgiven: "Лихварство прощене"
 desc_usury_forgiven: "Папа прилюдно пробачив нам гріх лихварства."
 forgiveness_for_usury: "Прощення за лихварство"
 proclaim_holy_war: "Почати священну війну"
 send_papal_legate: "Послати папського легата"
 sanction_commercial_monopoly: "Засудити монополії"
 kongo: "Конго"
 ai_nation: "Під контроллем ШІ"
 OWN_DYNASTY: "Ваша династія"
 LOCAL_DYNASTY: "Місцева династія"
 CV_TOTAL_PROVINCES: "Кількість ваших провінцій: §Y$VAL$§!."
 LEDGER_TRADE_COUNTRIES_TITLE: "Порівняння торгівлі"
 LEDGER_TC_TRADE_EFF: "Ефективність"
 LEDGER_TC_TRADE_RANGE: "Радіус"
 LEDGER_TC_MERCANTLISM: "Меркантилізм"
 LEDGER_TC_PRIVATEER_EFF: "Каперство"
 LEDGER_TC_INLAND_STEER: "Передача торгівлі в сухопутних вузлах"
 LEDGER_TC_INLAND_COLLECT: "Прибуток у сухопутних вузлах"
 LEDGER_TC_GOODS_PRODUCED: "Виробництво"
 LEDGER_TC_TOTAL_TRADE_INCOME: "Прибуток"
 LEDGER_TC_LIGHT_SHIPS: "Фрегати"
 primitive_nation: "Примітиви"
 PRIMITIVES_NO_MARCH: "Примітивні нації не можуть мати марки чи бути ними."
 COURTVIEW_CULTURE_GAIN: "Якщо поширення культури в наших національних провінціях перевищить $THRESHOLD$ відсотків, то вона буде вважатися визнаною."
 COURTVIEW_CULTURE_LOSE: "Якщо поширення культури в наших національних провінціях стане нижче $THRESHOLD$ відсотків, то вона втратить статус визнаної."
 COURTVIEW_PRIMARY: "$NAME|Y$ є основною культурою."
 COURTVIEW_CULTUREUNION: "$NAME|Y$ культура входить у наш культурний союз."
 COURTVIEW_CULTURE: "$NAME$: $COL$$VAL$%§!"
 CS_IS_SUBJECT: "Суб'єкти не можуть створювати дочірні держави."
 CS_TOO_SMALL: "Ви не можете віддати свою останню провінцію дочірній державі."
 CS_CAPITAL: "Ви не можете віддати свою столицю дочірній державі."
 CS_TOO_MANY: "Ви не можете мати більше ніж §Y$NUM$§! дочірніх держав."
 desc_eng_tolerates_lollards: "Англійці терпимі до єретиків лоллардів, що є образою Святого Престолу"
 desc_annexers_legacy: "Ви приєднали або інтегрували кілька суб'єктів, подальша анексія буде набагато складнішою."
 PC_NOT_FAST_ENOUGH: "Ваш комп'ютер недостатньо потужний для такої швидкості гри, ви не відчуєте великої різниці з меньшими швидкостями."
 AUTONOMY_TOO_HIGH: "Якщо рівень автономії провінції вище §Y$MAX$%§!, більше не можливо збільшити його вручну."
 AUTONOMY_TOO_LOW: "Якщо рівень автономії провінції нижче §Y$MAX$%§!, більше не можливо знизити його вручну."
 AUTO_DUE_TO_GOV: "Автономія не може бути нижче §Y$VAL$%§!, якщо форма правління держави – $WHAT|Y$."
 AUTO_DUE_TO_COLONY: "Колонії не можуть мати автономію нижче §Y$VAL$%§!."
 AUTO_DUE_TO_OVERSEAS: "Заморські провінції не можуть мати автономію нижче §Y$VAL$%§!."
 AUTO_DUE_TO_CAPITAL: "Автономія в столиці не може бути вище §Y$VAL$%§!."
 AUTONOMY_ALREADY_INCED: "Рівень автономії було збільшено, наступна зміна буде доступною $UNTIL|Y$."
