l_ukrainian:
 ONE_TIME_COST:0 "Одноразова виплата"
 MENU_MESSAGES_DISABLE_ALL:0 "Вимкнути все"
 ai_handicap:0 "Фора ШІ"
 player_handicap:0 "Фора гравцеві"
 FILTER:0 "Фільтр"
 TO_ME:0 "Мені"
 FROM_ME:0 " Від мене"
 INTERESTING:0 "Цікавий"
 OTHERS:0 "Інші"
 DECAY:0 "Занепад"
 SM_LANGUAGE:0 "Мова"
 ENGLISH_SUPPORTED:0 "Так"
 SPANISH_SUPPORTED:0 "Так"
 GERMAN_SUPPORTED:0 "Так"
 FRENCH_SUPPORTED:0 "Так"
 ENGLISH:0 "Англійська"
 SPANISH:0 "Еспанська"
 GERMAN:0 "Німецька"
 FRENCH:0 "Французька"
 NO_WINTER:0 "Відсутність зими"
 custom_setup:0 "Конструктор"
 desc_arctic:0 "Арктичний клімат дуже суворий, в ньому майже нічого не росте."
 desc_arid:0 "У аридному кліматі майже немає опадів, що дуже ускладнює утримання великої армії."
 desc_tropical:0 "Тропічний клімат ускладнює ріст нових міст через спеку і хвороби."
 desc_mild_winter:0 "Снігу випадає небагато, а мороз не надто сильний."
 desc_normal_winter:0 "Земля покрита снігом і на дворі відчутний мороз."
 desc_severe_winter:0 "Земля повністю засипана снігом, а морози дуже люті."
 SEVERITY_MILD:1 "м'які"
 SEVERITY_NORMAL:1 "нормальні"
 SEVERITY_SEVERE:1 "суворі"
 NO_WINTERS:1 "Тут немає зим."
 NO_MONSOON:1 "Тут немає мусонів."
 WINTERS_WILL_BE:1 "Зими тут $SEVERITY|Y$."
 MONSOONS_WILL_BE:1 "Сезони мусонів тут $SEVERITY|Y$."
 MOVE_CAPITAL_AT_WAR:0 "Ви не можете перемістити столицю в цю провінцію під час війни."
 MOVE_CAPITAL_TO_FIXED:0 "Ви можете перемістити столицю держави $WHO$ тільки в провінцію §Y$PROV$§!."
 MOVE_CAPITAL_FIXED:0 "Ви не можете перемістити столицю держави $WHO$ за межі провінції §Y$PROV$§!."
 MAPMODE:0 "Режим мапи"
 MAPMODE_PLAYERS:0 "Гравці"
 MAPMODE_ACCEPTEDCULTURES:0 "Визнані культури"
 MAPMODE_CLIMATE:0 "Клімат"
 MAPMODE_WEATHER:0 "Погода"
 MAPMODE_FEDERATIONS:0 "Федерації"
 MAPMODE_LOCAL_AUTONOMY:0 "Місцеві автономії"
 MAPMODE_SIMPLE_TERRAIN:0 "Спрощений рельєф"
 REGION:0 "Регіон"
 CONTINENT:0 "Континент"
 SUBCONTINENT:0 "Субконтинент"
 AREA:0 "Округа"
 PROVINCEGROUP:0 "Група провінцій"
 PROVINCEGROUPS:0 "Групи провінцій"
 COLONIALREGION:0 "Колоніальний регіон"
 TRADE_COMPANY:0 "Торгова компанія"
 THE_NAME_AREATYPE:0 "§W§Y$NAME$§! – $AREATYPE$§!"
 IS_ATPEACE:0 "Мир"
 IS_IN_DEFICIT:0 "Відчуває дефіцит"
 IS_NOT_IN_DEFICIT:0 "НЕ відчуває дефіциту"
 IS_FEDERATION_LEADER:0 "Лідер федерації"
 IS_NOT_FEDERATION_LEADER:0 "НЕ є лідером федерації"
 IS_ATWAR:0 "Війна"
 IS_NOT_GREAT_POWER:0 "НЕ є великою державою"
 IS_GREAT_POWER:0 "Є великою державою"
 WHO_IS_GREAT_POWER:0 "$WHO|Y$ є Великою Державою."
 HAVE_LESS_GP_RANK:2 "Має ранг великої держави, вищий ніж"
 HAVE_MORE_GP_RANK:2 "Має ранг великої держави, рівний чи нижчий ніж"
 TECHNOLOGY_COST:0 "Вартість технологій: §Y$VAL$%§!\n"
 IS_NOT_PROTECTORATE:0 "НЕ є протекторатом"
 IS_PROTECTORATE:0 "Є протекторатом"
 IS_NOT_COUNTRY_CHRISTIAN:0 "Держава $WHO$ не є християнською"
 REFORM_DESIRE_TOOLTIP:0 "§YПрагнення реформ§!\nПоказує на скільки бажаним є реформування церкви. Якщо рівень підніметься занадто високо, то з'являться впливові єретичні течії, які насильно реформуватимуть церкву. Цей рівень є загальним для всього католицького світу й будь-який католицький правитель може вплинути на нього своїми діями."
 WAIT_FOR_HOTJOIN:0 "Будь ласка зачекайте, поки host налаштує гру для вас. Після того, як збережену гру буде перенаправлено до вас, ви зможете вибрати державу і приєднатися до гри"
 HOST_PREPARING_GAME:0 "Будь ласка зачекайте, поки host\nпідготує для вас гру."
 HOTJOIN_CONFIRM:0 "Підтвердити"
 READY:0 "Готовий"
 UNREADY:0 "Не готовий"
 READY_TO_PLAY_MP:0 "Гравець $PLAYER|Y$ готовий"
 NOT_READY_TO_PLAY_MP:1 "Гравець $PLAYER|Y$ не готовий"
 MP_EDITING_CUSTOM_NATION:1 "Гравець $PLAYER|Y$ створює індивідуальну державу."
 MP_COUNTRY_INVALID:0 "Держава, котру обрав гравець $PLAYER|Y$, вже не існує."
 PLAYER_NOW_IN_GAME:0 "$PLAYER|Y$ у грі"
 CONDENSED_PROV_MOD_PAPAL:0 "Базовий податок та будівлі: $VAL$"
 CONDENSED_PROV_MOD:0 "Будівлі у $NUM$ провінціях: $VAL$"
 ADMINISTRATIVE_EFFICIENCY:0 "Адміністративна ефективність"
 April:0 "Квітня"
 August:0 "Серпня"
 December:0 "Грудня"
 February:0 "Лютого"
 Friday:0 "П'ятниця"
 January:0 "Січня"
 July:0 "Липня"
 June:0 "Червня"
 March:0 "Березня"
 May:0 "Травня"
 Monday:0 "Понеділок"
 November:0 "Листопада"
 October:0 "Жовтня"
 Saturday:0 "Субота"
 September:0 "Вересня"
 Sunday:0 "Неділя"
 Thursday:0 "Четвер"
 Tuesday:0 "Вівторок"
 Wednesday:0 "Середа"
 INCOMETAX:0 "Оподаткування"
 INCOMETRADE:0 "Торгівля"
 INCOMEGOLD:0 "Золотодобування"
 INCOMEVASSAL:0 "Васали"
 INCOMEVASSALTAXEFF:0 "Ефективність оподаткування васалів"
 INCOMELOAN:1 "Позики"
 INCOMESOW:0 "Мирні угоди"
 INCOMEDTAX:0 "Подушна подать"
 INCOMEEXPORTDUTIES:0 "Дорожні збори"
 INCOMEHARBORFEES:0 "Портові збори"
 INCOMEMANUFAC:0 "Мануфактури"
 INCOME_WAR_REPARATION:0 "Воєнні репарації"
 EXPENSEAM:1 "Утримання армії"
 EXPENSEFM:1 "Утримання флоту"
 EXPENSEINTEREST:0 "Відсотки за позиками"
 EXPENSELOAN:0 "Повернуті позики"
 EXPENSEFLEET:0 "Будівництво флоту"
 EXPENSEARMY:0 "Формування армії"
 EXPENSEMAN:0 "Будівництво споруд"
 EXPENSEFORT:0 "Будівництво фортець"
 EXPENSERSR:0 "Дослідження"
 EXPENSEPE:0 "Торгівля і виробництво"
 EXPENSESTAB:0 "Стабільність"
 EXPENSEMER:0 "Торговці"
 EXPENSECOL:0 "Заснування колоній"
 EXPENSETRA:0 "Будівництво торговельних постів"
 EXPENSEMIS:0 "Місіонери"
 EXPENSELEADERS:0 "Командувачі"
 EXPENSESPIES:0 "Шпигуни"
 EXPENSECOURT:0 "Радники"
 EXPENSE_TECHNOLOGY:0 "Прийняття інституцій"
 ADVISOR:0 "Радник"
 ADVISOR_CATEGORY:0 "Радник: $CATEGORY$"
 EXPENSE_WAR_REPARATIONS:0 "Воєнні репарації"
 spanish_region:0 "Еспанський регіон"
 INFANTRY:0 "Піхота"
 CAVALRY:0 "Кавалерія"
 ARTILLERY:0 "Артилерія"
 HEAVY_SHIP:0 "Важкий корабель"
 LIGHT_SHIP:0 "Легкий корабель"
 GALLEY:0 "Галера"
 TRANSPORT:0 "Транспортний корабель"
 CONVREL_PAPACY:0 "Папська держава не може перейти в іншу релігію."
 AND_MONTHLY_THE_FOLLOWING:1 "І змінюється щомісяця на $VAL|Y1$ завдяки:\n$DESC$"
 PIETY_DESCRIPTION:2 "Благочестя являє собою різновид релігійної відданості, яку підтримує правитель у державі. Воно вимірюється шкалою від -100 (§Yмістицизм§!) до 100 (§Yзаконництво§!).\nБлагочестя правителя залежить від багатьох дій. Від оголошення війни невірним або вдалого навернення провінцій воно підвищиться, у той час як оголошення війни братам по вірі знизить цей показник. Благочестя також змінюватиметься в залежності від обраних опцій у різноманітних подіях."
 PIETY_DESCRIPTION_ESTATES:0 "\nТип благочестя вашого правителя впливатиме на лояльність ваших станів."
 KARMA_DESC2:0 "Карма показує співвідношення ваших вчинків в очах буддистської віри і буде зростати, або знижуватися в залежності від моральності ваших вчинків. Правителі з дуже високою кармою віддалятимуться від матеріального світу та втрачатимуть довіру своїх солдатів, у той час як правителі з низькою кармою будуть неефективні на дипломатичній арені. Держави з кармою не платять бали дипломатії за повернення національних провінцій та звільнення держав і васалів при підписанні мирних угод."
 KARMA_DESC:0 "Карма зростає від:\n–  §YДотримання союзних угод§!\n–  §YВиділення васалів§!\n–  §YЗвільнення націй під час укладання миру§!\n–  §YПовернення національних провінцій§!\n\nКарма знижується від:\n–  §YОголошення війни§!\n–  §YЗагарбання провінцій під час укладання миру§!"
