l_ukrainian:
 ARMY_PROFESSIONALISM_VALUE:0 "Професіоналізм армії: $VALUE|Y%2$"
 supply_depot_modifier:1 "Солдати на утриманні"
 refill_garrison_modifier:1 "Збір полків"
 return_manpower_modifier:1 "Призовна армія"
 general_cost_modifier:1 "Постійна армія"
 reserves_organisation_modifier:1 "Професійна армія"
 PROFESSIONALISM_MARKER_TOOLTIP:0 "$NAME|Y$\nНеобхідний професіоналізм армії: $VALUE|Y%1$"
 supply_depot_area:0 "Склад постачання в області"
 BUILD_SUPPLY_DEPOT:0 "§YПобудувати склад постачання§!"
 BUILD_SUPPLY_DEPOT_DESC:1 "Будівництво складу постачання в провінції $PROV|Y$ коштуватиме $COST|Y$ £mil£ і дасть такі ефекти всім дружнім арміям в області $AREA|Y$:\nВважається своєю територією під час поповнення полків\n$MOD$\n\nСклад постачання працюватиме до $DATE|Y$ або поки ворог не окупує, або не захопить провінцію."
 SUPPLY_DEPOT_ALREADY_BUILT:0 "§RВи вже побудували склад постачання в цій області§!\n"
 SUPPLY_DEPOT_NOT_OWNED_OR_CONTROLLED:0 "§RСклад постачання можна побудувати тільки в тих провінціях, які контролюєте ви, ваші суб'єкти, сюзерен або союзники в цій війні.§!\n"
 SUPPLY_DEPOT_NEED_ARMY_PRO:0 "Для будівництва складу постачання потрібно мати $LIMIT|Y%1$ професіоналізму армії (зараз $VAL|R%1$).\n"
 SUPPLY_DEPOTS_LIST:0 "§YСклади постачання§!\nСклад постачання дає такі ефекти всім дружнім арміям в області:\n$MOD$\n\nКраїни, які побудували склади постачання в цій області:\n"
 SUPPLY_DEPOT_LIST_ENTRY:0 "$BUILTBY|Y$ ($PROV$). Завершується $EXPIRES|Y$.\n"
 SUPPLY_DEPOT_CANT_AFFORD:0 "§RПотрібно $COST$£mil£ для будівництва складів постачання.§!\n"
 FE_SHOW_STARTUP_SCREEN:0 "Показувати стартове вікно"
 FE_SHOW_STARTUP_SCREEN_DESC:0 "Показувати стартове вікно з інформацією про вашу країну та регіон на початку нової партії."
 REFILL_GARRISON:0 "§YПоповнити гарнізон§!"
 REFILL_GARRISON_DESC:0 "Поповнити місцевий гарнізон піхотою з цієї армії.\n"
 REFILL_GARRISON_NO_ACTIVE_FORT:0 "У провінції немає активної фортеці."
 REFILL_GARRISON_FULL_GARRISON:0 "Гарнізон фортеці вже заповнений."
 REFILL_GARRISON_NO_INFANTRY:0 "У вибраній армії немає піхоти."
 REFILL_GARRISON_PROFESSIONALISM_LACKING:0 "Потрібно $LIMIT|Y%1$ §Yпрофесіоналізму арміі§! для поповнення гарнізонів."
 REFILL_GARRISON_NOT_ALLOWED:0 "Не має можливості поповнювати гарнізони."
 MODIFIER_YEARLY_ARMY_PROFESSIONALISM:0 "Щорічний професіоналізм армії"
 IDEA_MAY_BUILD_SUPPLY_DEPOT:0 "Можна будувати склади постачання"
 IDEA_MAY_REFILL_GARRISON:0 "Можна поповнювати гарнізони"
 IDEA_MAY_RETURN_MANPOWER_ON_DISBAND:0 "Повернення рекрутів після розпуску"
 MODIFIER_GENERAL_COST:0 "Вартість генерала"
 MODIFIER_RESERVES_ORGANIZATION:0 "Зменшення втрати бойового духу у військ, що знаходяться в резерві"
 MODIFIER_ATTACK:0 "Бойовий бонус"
 START_SCREEN_TITLE:0 "[StartScreenTitle]"
 START_SCREEN_UP_LEFT_TITLE:0 "[StartScreenUpLeftTitle]"
 START_SCREEN_UP_RIGHT_TITLE:0 "[StartScreenUpRightTitle]"
 START_SCREEN_DOWN_LEFT_TITLE:0 "[StartScreenDownLeftTitle]"
 START_SCREEN_DOWN_RIGHT_TITLE:0 "[StartScreenDownRightTitle]"
 START_SCREEN_UP_LEFT_DESC:0 "[StartScreenUpLeftDesc]"
 START_SCREEN_UP_RIGHT_DESC:0 "[StartScreenUpRightDesc]"
 START_SCREEN_DOWN_LEFT_DESC:0 "[StartScreenDownLeftDesc]"
 START_SCREEN_DOWN_RIGHT_DESC:0 "[StartScreenDownRightDesc]"
 DO_NOT_SHOW_AGAIN:0 "Не показувати знову"
 OPTION_DO_NOT_SHOW_AGAIN:0 "Ви можете змінити це налаштування в розділі §YОпції§! перед початком гри"
 STARTUP_SCREEN_DLC_DELAYED:0 "Якщо ця іконка є в тексті, значить ця особливість з'явилася в доповненні $DLC_NAME$."
 efficient_tax_farming_modifier:0 "Ефективне оподаткування"
 desc_efficient_tax_farming_modifier:0 "Фермерський податок є найефективнішим способом використання ресурсів нашої країни в багатьох аспектах. Продаючи право на отримання прибутку з різних частин наших володінь, ми можемо бути впевнені в стабільному і гарантованому прибутку, тоді як сам оподатковуваний фермер має хороший стимул ще більше підняти врожайність землі."
 land_acquisition_modifier:0 "Придбання землі"
 desc_land_acquisition_modifier:0 "Завдяки ефективній рекультивації раніше невикористовуваних земель та інтеграції раніше нічийної землі ми можемо набагато швидше отримувати прибуток навіть на периферії нашого Султанату."
 lenient_taxation_modifier:0 "Пільгове оподаткування"
 desc_lenient_taxation_modifier:0 "Суб'єкт, задушений податками більше схильний до прояву невдоволення або навіть повстань. Послабивши податкове навантаження на сусідні області, ми отримали їхню прихильність."
