l_ukrainian:
 string_middle_ages:0 "Середньовіччя"
 string_classical:0 "Античності"
 string_song_era:0 "Сун"
 string_pre_islamic:0 "до ісламу"
 string_vedic:0 "Вед"
 string_ancient_era:0 "давнини"
 string_goguryeo_era:0 "Когурьо"
 string_mandarin:0 "мандарини"
 string_zamindar:0 "заміндари"
 string_bey:0 "беї"
 string_polygar:0 "полігари"
 string_thakur:0 "такури"
 string_zupan:0 "жупани"
 string_ispan:0 "ішпани"
 string_official:0 "чиновники"
 string_court:0 "Двір"
 string_bailif:0 "бейліфи"
 string_clergy:0 "духівництво"
 string_republican:0 "республіканці"
 string_royalist:0 "роялісти"
 string_khanzada:0 "ханзаданці"
 string_junta:0 "Хунта"
 string_nobles:0 "Дворяни"
 string_influential_families:0 "Впливові сім'ї"
 string_stroganov:0 "Строганови"
 string_khilkov:0 "Хілхови"
 string_dolgorukov:0 "Довгорукови"
 string_romodanovsky:0 "Ромодановські"
 string_shuysky:0 "Шуйські"
 string_durnovo:0 "Дурново"
 string_romanov:0 "Романови"
 string_golitsyn:0 "Голіцини"
 string_pahlen:0 "Палени"
 string_gantimurov:0 "Гантімурови"
 string_andronikashvili:0 "Андронікашвілі"
 string_yusupov:0 "Юсупови"
 string_sheremetev:0 "Шереметєви"
 string_shuvalov:0 "Шувалови"
 string_demidov:0 "Демідови"
 string_gold_dust:0 "золотий пісок"
 string_rare_squirrel_coats:0 "білячу накидку"
 string_exquisite_sable_fleeces:1 "вишукані соболині шкури"
 string_ivory_carvings:0 "вироби зі слонової кістки"
 string_silver_objects:0 "рідкісні срібні прикраси"
 string_sublime_porte:0 "Блискуча Порта"
 string_crown:0 "Корона"
 string_council:0 "Рада"
 string_pearls:0 "Перлини"
 string_mother_of_pearl:0 "Перламутр"
 string_turquoise:0 "Бірюза"
 string_rubies:0 "Рубіни"
 string_jade:0 "Нефрит"
 string_amber:0 "Бурштин"
 string_jewellery:0 "Ювелірні вироби"
 string_diamonds:0 "Діаманти"
 string_cowries:0 "Мушлі"
 string_miniatures:0 "Мініатюри"
 string_draperies:0 "Драпіровки"
 string_republics:0 "Республіки"
 string_book_of_hours:0 "Часослов"
 string_books:0 "Книги"
 string_crystal:0 "Кришталь"
 string_pepper:0 "Перець"
 string_fustians:0 "Фланель"
 string_lacquerware:0 "Лаковані вироби"
 string_chintz:0 "Ситець"
 string_carpets:0 "Килими"
 string_embroidery:0 "Вишивка"
 string_taffeta:0 "Тафта"
 string_satin:0 "Сатин"
 string_perfume:0 "Парфуми"
 string_nutmeg:0 "Мускатний горіх"
 string_cinnamon:0 "Кориця"
 string_saffron:0 "Шафран"
 string_cardamom:0 "Кардамон"
 string_dates:0 "Фініки"
 string_opium:0 "Опіум"
 string_imperial_eggs:0 "Яйця Фаберже"
 string_long_pepper:0 "Довгий перець"
 string_ceramics:0 "Кераміка"
 string_sapphires:0 "Сапфіри"
 string_vanilla:0 "Ваніль"
 string_ivory_figurines:0 "Вироби зі слонової кістки"
 string_calligraphy:0 "Каліграфія"
 string_frankincense:0 "Ладан"
 string_l_pearls:0 "перлини"
 string_l_mother_of_pearl:0 "перламутр"
 string_l_turquoise:0 "бірюза"
 string_l_rubies:0 "рубіни"
 string_l_jade:0 "нефрит"
 string_l_amber:0 "бурштин"
 string_l_jewellery:0 "ювелірні вироби"
 string_l_diamonds:0 "діаманти"
 string_l_cowries:0 "мушлі"
 string_l_miniatures:0 "мініатюри"
 string_l_draperies:0 "драпіровки"
 string_l_republics:0 "республіки"
 string_l_book_of_hours:0 "часослов"
 string_l_books:0 "книги"
 string_l_crystal:0 "кришталь"
 string_l_pepper:0 "перець"
 string_l_fustians:0 "фланель"
 string_l_lacquerware:0 "лаковані вироби"
 string_l_chintz:0 "ситець"
 string_l_carpets:0 "килими"
 string_l_embroidery:0 "вишивка"
 string_l_taffeta:0 "тафта"
 string_l_satin:0 "сатин"
 string_l_perfume:0 "парфуми"
 string_l_nutmeg:0 "мускатний горіх"
 string_l_cinnamon:0 "кориця"
 string_l_saffron:0 "шафран"
 string_l_cardamom:0 "кардамон"
 string_l_dates:0 "фініки"
 string_l_opium:0 "опіум"
 string_l_imperial_eggs:0 "яйця Фаберже"
 string_l_long_pepper:0 "довгий перець"
 string_l_ceramics:0 "кераміка"
 string_l_sapphires:0 "сапфіри"
 string_l_vanilla:0 "ваніль"
 string_l_ivory_figurines:0 "вироби зі слонової кістки"
 string_l_calligraphy:0 "каліграфія"
 string_l_frankincense:0 "ладан"
 string_definite_article_before_country:0 ""
 string_empty:0 ""
 string_ruler_name_really:0 "[Root.Monarch.GetName]"
 string_regency_council:0 "Регентська рада"
 string_royal:0 "Королівське"
 string_state:0 "Державне"
