l_ukrainian:
 DIPLO_NO_FIGHTING:0 "Немає поточних боїв: "
 DIPLO_UNCONDITIONALLY_SURRENDERED:1 "Держава $WHO$ беззастережно капітулювала перед державою $THEM$: "
 DIPLO_SET_PROVINCES_AS_VITAL:0 "$THEM$ розглядає провінції держави $WE$ як нагально необхідні: "
 DIPLO_SET_MUTUAL_PROVINCES_AS_VITAL:0 "$THEM$ та $WE$ вважають $NUM$ одних і тих же провінцій нагально необхідними: "
 DIPLO_ALREADY_TRANSFERING_TRADE_POWER:0 "Вже передають торгову силу державі $WHO$: "
 DIPLO_TRADE_VASSALS:0 "Число країн, які передають торгову силу державі $WHO$: "
 DIPLO_ACTIVE_RELATION:0 "Договір вже в силі: "
 DIPLO_FIGHTING_OTHER_WAR_TOGETHER:0 "В іншій війні на одному боці: "
 DIPLO_MULTI_WARS:0 "Будуть змушені брати участь у декількох війнах: "
 DIPLO_FIGHTING_OTHER_WAR:0 "Воюють в іншій війні: "
 DIPLO_POSITIVE:0 "Позитивні: $VAL|G$"
 DIPLO_NEGATIVE:0 "Негативні: $VAL|R$"
 DIPLO_UNSTABLE:0 "Нація занадто нестабільна: "
 DIPLO_ALLIANCE_IS_BREAKING:0 "Більше не бажають бачити державу $WHO$ своїм союзником: "
 DIPLO_BLOCKED_OFFENSIVE_CALLS:0 "$THEM$ не бажає приєднуватися до наших загарбницьких воєн: "
 DIPLO_SET_AS_ENEMY:0 "Гравець держави $THEM$ ставиться вороже до держави $WHO$: "
 DIPLO_SET_AS_FRIENDLY:0 "Гравець держави $THEM$ ставиться дружньо до держави $WHO$: "
 DIPLO_SET_AS_NEUTRAL:0 "Гравець держави $THEM$ ставиться нейтрально до держави $WHO$: "
 DIPLO_NOT_ENOUGH_FAVORS:0 Держава "$WHO$ не має принаймні $AMT$ прихильності до держави $US$: "
 DIPLO_ENEMIES_TOO_FAR_AWAY:0 "Віддалена війна: "
 DIPLO_DEFENSIVE_WAR:0 "Оборонна війна: "
 DIPLO_BANKRUPT:0 "$WHO$ – банкрут: "
 DIPLO_STABILITY_HIT:0 "Прийняття дестабілізує державу $WHO$: "
 DIPLO_OLD_WAR:0 "Війна почалася більше $MONTHS$ місяців тому: "
 DIPLO_RECENT_OFFENSIVE_CALL:0 "Не приєднаються до іншої загарбницької війни держави $WHO$ до §Y$DATE$§!: "
 DIPLO_HAS_ALLIANCE:0 "У союзі з: "
 DIPLO_NOT_BORDERING_RIVAL:0 "Держава $WHO$ не межує з ворогом або суперником держави $OVERLORD$: "
 DIPLO_BORDERING_UNCOLONIZED:0 "Держава $WHO$ межує із землями, які можна колонізувати: "
 DIPLO_UNLAWFUL_TERRITORY:0 "Незаконна територія в Імперії: "
 DIPLO_NOT_DEMAND:0 "Не мають вимог: "
 DIPLO_TOO_LARGE_MARCH:0 "Мають занадто високий розвиток порівняно з державою $OVERLORD$: "
 DIPLO_TOO_SMALL_MARCH:0 "Мають занадто низький розвиток порівняно з державою $OVERLORD$: "
 DIPLO_NOT_SMALL_NATION:0 "Держава $WHO$ занадто велика для васалізації: "
 DIPLO_EMBARGO_AGAINST:0 "Державою $WHO$ накладене ембарго на державу $AGAINST$: "
 DIPLO_POPE:0 "$WHO$ є Понтифіком: "
 DIPLO_DISHONORED_ALLIANCE_RECENTLY:0 "Держава $WHO$ нещодавно зрадила їхній союз з державою $US$: "
 DIPLO_ELECTOR:0 "$WHO$ є курфюрстом: "
 DIPLO_MERCHANT_REPUBLIC:0 "$WHO$ є Торговою республікою: "
 DIPLO_THEOCRACY:0 "$WHO$ є теократією: "
 DIPLO_MONARCHY:0 "$WHO$ є монархією: "
 DIPLO_FREECITY:0 "$WHO$ є вільним містом: "
 DIPLO_GOV_RANK:0 "Ранг уряду держави $WHO$: "
 DIPLO_GOV_RANK_DIFF:0 "Різниця між рангами урядів держав: "
 DIPLO_HOSTILE_CORE_CREATION:0 "Ворожа націоналізація провінцій держави $WHO$ коштуватиме: "
 DIPLO_REVOLUTIONARY_WAR:0 "Це революційна війна: "
 DIPLO_NOT_NATIVE:0 "Неможливо використовувати індіанські дипломатичні дії."
 DIPLO_NOT_WANT_GOLD:0 "Окрім золота хочуть інших поступок: "
 DIPLO_NOT_WANT_BRIBE:0 "Не зрадять свого союзника за золото: "
 DIPLO_STABILITY:0 "Стабільність держави $WHO$: "
 DIPLO_IS_COLONY:0 "Провінція $PROV$ є колонією: "
 DIPLO_DEMAND_TOO_MUCH:0 "Ви вимагаєте занадто багато: "
 DIPLO_DEMAND_ALL_PROVINCES:0 "Зажадати всі провінції: "
 DIPLO_RELEASE_COUNTRIES:0 "Звільнення держав: "
 DIPLO_EMPEROR_CANDIDATE:0 "$WHO$ – кандидат в імператори: "
 DIPLO_FORM_PERSONAL_UNION:0 "Створити особисту унію: "
 DIPLO_CAN_BE_ANNEXED:0 "Можуть бути анексовані: "
 DIPLO_WAITING_FOR_ANNEXED:0 "Очікують на анексію: "
 DIPLO_BETTER_OFFER:0 "Хтось інший отримав вигіднішу пропозицію: "
 DIPLO_ARE_WINNING:0 "Держава  $WHO$ виграє: "
 DIPLO_NOT_LEADER:0 "$WHO$ не є лідером альянсу у війні: "
 DIPLO_STRATEGIC_INTERESTS:0 "Стратегічні інтереси: "
 DIPLO_STRATEGIC_INTEREST:0 "Стратегічний інтерес: "
 DIPLO_NO_STRATEGIC_INTEREST:0 "Не мають стратегічного інтересу: "
 DIPLO_TOO_EARLY:0 "Війна щойно почалася: "
 DIPLO_COALITION:0 "Коаліційна війна: "
 DIPLO_IS_REVOLUTION_TARGET:0 "$WHO$ – ціль революціонерів: "
 DIPLO_NOT_HAVE_LOCATION:0 "Не мають контролю над провінцією $NAME$: "
 DIPLO_WAR_PEACE_SCORE:0 "Воєнний рахунок більший ніж вартість пропозиції миру: "
 DIPLO_QUIET_BONUS:0 "Бездіяльність у війні: "
 DIPLO_PEACE_SCORE_TOO_HIGH:0 "Вимоги миру безпричинно великі: "
 DIPLO_PEACE_OFFER_TOO_MUCH:0 "Пропозиція занадто великодушна: "
 DIPLO_WAR_DESPERATION:0 "Провінції, які окуповані та під облогою: "
 DIPLO_CRUSADE:0 "$WHO$ – ціль хрестового походу: "
 DIPLO_WAR_REBELS:0 "Повстання: "
 DIPLO_WAR_CB:0 "Привід до війни $CB$: "
 DIPLO_DEFEATED:0 "Розбиті вщент: "
 DIPLO_PEACE_SCORE:0 "Вартість мирного договору: "
 DIPLO_PERSONALITY_MILITARIST:0 "Правитель держави $WHO$ – мілітарист: "
 DIPLO_HAS_PERSONALITY:0 "Правитель держави $WHO$ – $TRAIT$: "
 DIPLO_LACKS_PERSONALITY:0 "Правитель держави $WHO$ не має потрібної риси."
 DIPLO_DIFFICULTY:0 "Рівень складності."
 DIPLO_MILITARY_STRENGTH:0 "Військова міць держави $WHO$: "
 DIPLO_WAR_SCORE:0 "Воєнний рахунок: "
 DIPLO_WAR_SCORE_INDIVIDUAL:0 "Особистий воєнний рахунок проти: "
 DIPLO_PEACEOFFER_VALUE:0 "Поточна пропозиція миру: "
 DIPLO_ANNEX_US:0 "Призведе до приєднання або васалізації держави $WHO$: "
 DIPLO_PUNISH_TRIBUTARY:0 "Держава $THEM$ відмовилася підкоритися державі $WHO$: "
 DIPLO_WAR_BASE_RELUCTANCE:0 "Базове небажання: "
 DIPLO_WAR_BATTLE_RELUCTANCE:0 "Поточні бої: "
 DIPLO_IN_HRE:0 "$WHO$ – член СРІ: "
 DIPLO_NOT_IN_HRE:0 "Держава $WHO$ не входить до складу СРІ: "
 DIPLO_CORE_PROCESS:0 "Націоналізують провінцію: "
 DIPLO_RICHNESS:0 "Вартість провінції: "
 DIPLO_WAR_TIME_PASSED:0 "Тривалість війни: "
 DIPLO_THEY_WON_WAR:0 "Держава $WHO$ перемогла у війні: "
 DIPLO_WAR_STALLED:0 "Війна застопорилася: "
 DIPLO_RIVAL_COLONIST:0 "Держава $WHO$ – суперник у колоніальних перегонах: "
 DIPLO_WAR_UNOCCUPIED_FORTS:0 "Вимога провінції $PROV$ без окупації навколишніх фортець: "
 DIPLO_WAR_INCONCLUSIVE:0 "Треба щонайменше $VAL$ воєнного рахунку, щоб висунути вимоги: "
 DIPLO_UNREASONABLE_DEMANDS:0 "Безпричинні вимоги: "
 DIPLO_UNDESIRABLE_PEACE:0 "Небажані умови: "
 DIPLO_UNACCEPTABLE_PEACE:0 "Неприйнятні умови: "
 DIPLO_WANTS_OTHER_OFFER:0 "Держава $WHO$ вимагає, щоб '$NAME$' було частиною пропозиції: "
 DIPLO_WANTS_ANNEX:0 "Хочуть анексувати державу $COUNTRY$: "
 DIPLO_WANTS_END_TO_WAR:0 "Хочуть закінчити війну: "
 DIPLO_BEST_POSSIBLE_PEACE_OFFER:0 "Усі вимоги виконано: "
 DIPLO_HIGH_DEMANDS:0 "Вимоги перевищують воєнний рахунок: "
 DIPLO_OCCUPYING_WARLEADER:0 "Повністю окуповані ворожим лідером: "
 DIPLO_WAR_EXHAUSTION:0 "Втома від війни: "
 DIPLO_CALL_FOR_PEACE:0 "Заклик до миру: "
 DIPLO_WAR_DIRECTION:0 "Держава $WHO$ робить успіхи у війні: "
 DIPLO_WAR_FORCE_BALANCE:0 "Відносна сила альянсу: "
 DIPLO_WAR_COALITION_BALANCE:0 "Відносна сила коаліції: "
 DIPLO_CONTROLLING_DESIRED_PROVINCES:0 "Встановлено контроль над бажаними провінціями на території держави $WHO$: "
 DIPLO_DESIRE_YOUR_PROVINCES:0 "Бажають провінції на території держави $WHO$: "
 DIPLO_DESIRED_PROVINCES:0 "Пропонують бажані провінції: "
 DIPLO_UNDESIRED_PROVINCES:0 "Пропонує небажані провінції: "
 DIPLO_HOLD_CAPITAL:0 "Держава $WHO$ контролює столицю $CAPITAL$: "
 DIPLO_HOLD_WARGOAL:0 "Держава $WHO$ контролює військову ціль: "
 DIPLO_WANT_INDEPENDENCE:0 "Держава $WHO$ прагне незалежності: "
 DIPLO_WAR_CAPACITY:0 "Військова потужність держави $WHO$: "
 DIPLO_IS_NOMADS:0 "Кочовики: "
 DIPLO_BADNESS:0 "Непридатність: "
 DIPLO_WEARINESS:0 "Втома: "
 DIPLO_NO_THREAT:0 "Вони не представляють загрози: "
 DIPLO_IS_NOT_OCCUPYING:0 "Не окуповані державою $WHO$: "
 DIPLO_OWNS_CORE_PROVINES:0 "$WHO$ володіє $ADJ$ими національними провінціями: "
 DIPLO_WAR_SCORE_AND_CAPACITY_BIGGER:0 "Воєнний рахунок і сила більші ніж $VAL$: "
 DIPLO_WAR_SCORE_AND_CAPACITY_LESSER:0 "Воєнний рахунок і сила менші ніж $VAL$: "
 DIPLO_WAR_CAPACITY_TOO_LOW:0 "Військова потужність держави $WHO$ просто сміхотворна: "
 DIPLO_WAR_CAPACITY_TOO_HIGH:0 "Військова потужність $WHO$ої держави просто приголомшлива: "
 DIPLO_OFFERS_WARSCORE:0 "Пропозиція в порівнянні з військовим рахунком: "
 DIPLO_WAR_DURATION:0 "Тривалість війни: "
 DIPLO_DESPERATE:0 "Держава $WHO$ благає про мир: "
