l_ukrainian:
 rival:0 "Суперник"
 allied_to_rival:0 "Має альянс із суперником"
 enemy_of_my_enemy:0 "Ворог ворога"
 subsidizing_our_armies:0 "Вони субсидують нашу армію"
 siphoned_income:0 "Висмоктаний прибуток"
 republic_same_religion:0 "Однакова релігія"
 republic_different_religions_group:0 "Інша релігія"
 republic_different_religion_same_group:0 "Єретична релігія"
 same_religion:0 "Однакова релігія"
 same_secondary_religion:0 "Однакова синкретична релігія"
 different_religions_group:0 "Інша релігія"
 different_religion_same_group:0 "Єретична релігія"
 at_war:0 "В стані війни"
 royal_marriage:0 "Династичний шлюб"
 guaranteed:0 "Гарантується"
 alliance:0 "Альянс"
 SPYNETWORKTOOSMALL:0 "Ваша $ADJ|Y$а шпигунська мережа повинна мати розмір хоча б $AMOUNT|Y$ для цієї дії."
 federation:0 "Лідер федерації"
 in_war_togeather:0 "Воюємо разом"
 converted_our_culture:0 "Змінили нашу культуру"
 same_dynasty:0 "Однакова династія"
 have_claim:0 "Має претензії"
 have_core:0 "Має нац. провінцію"
 getting_subsidies:0 "Отримує субсидії"
 has_cb:0 "Має Casus Belli"
 creating_claim:0 "Створює претензії"
 is_vassal:0 "Васал"
 in_union:0 "Унія"
 in_protectorate:0 "Протекторат"
 colonial_relation:0 "Колоніальні зв'язки"
 sabotage_reputation:0 "Псує репутацію"
 dishonoured_alliance:0 "Зрадили альянс"
 aggressive_expansion:0 "Агресивне розширення"
 declared_war_on_us:0 "Оголосили війну"
 had_war_with_us:0 "Воювали проти нас"
 declared_war_on_neighbor:0 "Оголосили війну сусідові"
 violated_truce_us:0 "Порушили перемир'я"
 violated_truce_neighbor:0 "Порушили перемир'я з сусідом"
 honored_alliance:0 "Підтримали альянс"
 separate_peace:0 "Сепаратний мир"
 fought_to_the_end:0 "Билися до кінця"
 conquered_province_no_claim:0 "Захопили провінцію не маючи претензій"
 conquered_province_same_religion_group:0 "Захопили провінцію нашої релігійної групи"
 conquered_province_us:0 "Захопили нашу провінцію"
 conquered_rival_province:0 "Захопили провінцію суперника"
 gave_province_in_peace:0 "Добровільно передали провінцію"
 declared_war_on_enemy:0 "Оголосили війну ворогові"
 discovery_of_evil:0 "Здійснювали таємні операції"
 insulted:0 "Образили"
 warned:0 "Попередили"
 PEACE_DEAL_NO_PROVINCES:0 "Не отримає після мирних угод провінції, на які претендує, або національні: §G$VALUE$§!"
 PEACE_DEAL_PROVINCES:0 "Отримає провінції у мирних угодах: §G$VALUE$§!"
