l_ukrainian:
 exploration_events.1.t:0 "Розвідка у провінції $PROVINCENAME$"
 exploration_events.1.d:0 "Під час експедиції з пошуку провінцій, що мають сприятливі умови для колонізації, ми натрапили на провінцію $PROVINCENAME$. Місцеві ставляться до чужинців переважно вороже, але їхні землі багаті та родючі. Ми могли б отримати велику вигоду від торгівлі з цією провінцією. Але спершу, швидше за все, знадобиться підкупити їхніх вождів..."
 exploration_events.1.a:0 "Ми укладемо справедливу угоду."
 exploration_events.1.b:0 "Ганебна угода теж угода."
 exploration_events.2.t:0 "Розграбування в провінції $PROVINCENAME$"
 exploration_events.2.d:0 "Експедиція в провінції $PROVINCENAME$ зіштовхнулася з вороже налаштованими туземцями, які змусили її покинути місця досліджень. Декілька членів експедиції висадилися на берег, щоб знайти джерело прісної води, і вже збиралися повернутися на корабель, коли з'явилися п'ять каное з озброєними туземцями. Наші люди швидко сіли до човна та залишили каное позаду. Одне з каное майже наздогнало човен, але оскільки індіанці злегка сповільнилися, щоб почекати інших, ті встигли відплисти на безпечну відстань. Експедиції вдалося вшитися, але деякі з її учасників були поранені. В ногу одного з чоловіків потрапила отруйна стріла, і хоча ми промиваємо рану сечею і оливковою олією, не можна сказати напевне, виживе він чи ні."
 exploration_events.2.a:0 "Задобріть туземців якимись дрібничками."
 exploration_events.2.b:0 "Поверніться назад, підпаліть їхнє поселення та заберіть все золото, яке тільки знайдете!"
 exploration_events.3.t:0 "Мандрівники на дивних берегах"
 exploration_events.3.d:1 "Поки наш корабель наближався до провінції $PROVINCENAME$, за ним почали слідувати декілька каное, вщент заповнені дарами. Веслярі безстрашно зійшли на судно й спробували переконати капітана слідувати за ними до міста [tribal_nation.Capital.GetCapitalName]. Їхні наміри здаються дружніми й зі кількох слів, які ми можемо зрозуміти завдяки нашому перекладачеві, ми зрозуміли, що ми прибули якраз вчасно на якийсь фестиваль. Наші щогли, вітрила і такелаж нагадують індіанцям сакральні для них артефакти, а наше курсування навколо острова за годинниковою стрілкою переконав їх, що ми посланці долі. Завдяки цьому вони досить доброзичливі до нас, але один невірний рух може це змінити..."
 exploration_events.3.a:0 "Долучитися до їхніх примітивних звичаїв."
 exploration_events.3.b:0 "Тримайтеся від них подалі й не ступайте на суходіл!"
 exploration_events.4.t:0 "Шлях до слави"
 exploration_events.4.d:0 "Вартовий повідомив про примітивні оселі, але з корабля не було видно жодних ознак самих індіанців, поки він не наблизився до села $PROVINCENAME$. Невеликий загін, який висадився на берег, зустріли дуже гостинно, аборигени просто тремтіли перед високими бородатими людьми. Безбородим індіанцям з деякими труднощами вдалося пояснити, що їхні міфи та легенди пророкували часи, коли з'являться бородаті боги з моря. Їжа та золото, що були даровані нам, означають, що провінція досить багата, ми можемо отримати з цього вигоду."
 exploration_events.4.a:0 "Це хороша земля!"
 exploration_events.5.t:0 "Корабель в літо"
