l_ukrainian:
 # Country formation decisions
 TTS:0 "Дві Сицилії"
 TTS_ADJ:0 "Сицилійськ"
 two_sicilies_nation_title:0 "Об'єднайте дві Сицилії"
 two_sicilies_nation_desc:0 "Неаполь та Сицилію занадто довго ділили та кроїли могутні європейські держави. Ми повинні об'єднати Сицилії та самі стати могутньою державою."
 switzerland_nation_title:0 "Відновити Швейцарську конфедерацію"
 switzerland_nation_desc:0 "Наша нація вразлива, коли залишається самотня. Ми повинні об'єднати швейцарців у конфедерацію малих князівств для збереження свободи кожного складового члена та виставити єдиний фронт іноземним окупантам."
 silesia_nation_title:0 "Утворити сілезьку націю"
 silesia_nation_desc:0 "Сілезія була поділена на герцогства й століттями була під правлінням іноземних столиць. Настав час відкинути як зовнішнє правління, так і внутрішній поділ, завдяки створенню нової сілезької нації."
 # Ambrosian Republic
 military_dictatorship_reform:1 "Військова диктатура"
 military_dictatorship_reform_desc:1 "Військовий диктатор захопив владу і керує державою як автократ. Нові правителі незмінно вибираються з числа генералів."
 military_dictatorship:0 "Військова диктатура"
 military_dictatorship_desc:0 "Військовий диктатор захопив владу і керує державою як автократ. Нових правителів незмінно вибирають з числа генералів."
 MILITARY_GOVERNMENT:0 "Військова республіка"
 ambrosian_republic.1.t:0 "Стабільний уряд у Мілані"
 ambrosian_republic.1.d:0 "Створення Золотої Амброзійської Республіки не обійшлося без проблем, але нарешті запанувала свобода. Ми не відійшли назад у темряву феодалізму й не опустилися до військової тиранії. Мир, справедливість і свобода панують повсюдно в державі [Root.GetName]."
 ambrosian_republic.1.d2:0 "Створення Золотої Амброзійської Республіки не обійшлося без своїх труднощів. У відчаї ми відмовилися від своїх ідеалів свободи й надали абсолютну владу нашому капітан-генералові. Хай [Root.Monarch.GetName] збереже мир на довгі роки."
 ambrosian_republic.1.d3:0 "Золота Амброзійська Республіка була експериментом, приреченим на провал. Високі ідеали його наукових засновників виявилися нездійсненними, а люди волали про повернення герцога. [Root.Monarch.GetTitle] [Root.Monarch.GetName] захопи[Root.Monarch.GetMEndVLa] престол і віднови[Root.Monarch.GetMEndVLa] природний порядок в державі [Root.GetName]."
 ambrosian_republic.1.d4:0 "Золота Амброзійська Республіка була експериментом, приреченим на провал. За відсутності герцога кмітливі лорди держави [Root.Overlord.GetName] скористалися можливістю претендувати на вакантний [Root.GetAdjective]ий трон. Хай [Root.Monarch.GetName] править нами з мудрістю і терпінням."
 ambrosian_republic.1.a:0 "Хвала святому Амвросію!"
 ambrosian_republic.2.t:0 "Міланська спадщина"
 ambrosian_republic.2.d:1 "Коли [Root.GetAdjective]ий трон залишився вакантним, [FRA.Monarch.GetTitleKHTO] Франції та Імператор почали відкрито обговорювати свої претензії на герцогство. Французька претензія ґрунтується на шлюбних зв’язках зі старою династією Вісконті. Хоча претензія не є сильною, Франція розробляла проєкти в Італії вже досить давно, і мало хто має сили протистояти [FRA.Monarch.GetTitleOMU]. Тим часом Імператор[Emperor.Monarch.GetMEndOrRyc] стверджує, що за відсутності явного спадкоємця, герцогський титул повинен відійти до Імператор[Emperor.Monarch.GetMEndOraRyci], згідно з імперським законодавством."
 ambrosian_republic.2.a:0 "Ми повинні бути готові захищати свою свободу."
 ambrosian_republic.3.d:0 "Мілан поринув у політичний хаос. Престол вакантний, а республіка-вискочка марно намагається встановити порядок. Це був би чудовий час для реалізації нашої претензії на Міланське герцогство, що ґрунтується на наших шлюбних зв'зках з уже вимерлою династією Вісконті."
 ambrosian_republic.3.a:0 "Престол належить нам!"
 ambrosian_republic.3.b:0 "Мілан нас не цікавить"
 ambrosian_republic.4.d:1 "Мілан опинився в політичному хаосі. Престол вакантний, а республіка-вискочка марно намагається встановити порядок. За імперським законом, коли герцогська лінія згасає, титул герцога повинен перейти сам[Emperor.Monarch.GetMEndIjOmu] Імперат[Emperor.Monarch.GetMEndOruRyci]. Якщо ми хочемо застосувати цей закон і вимагати Мілан для себе, ми повинні діяти швидко, щоб знищити так звану Золоту Амброзійську Республіку."
 ambrosian_republic.5.t:0 "Пропозиція Сфорці"
