l_ukrainian:
 #Estate Privileges and related
 estate_nobles_land_rights:0 "Розширення володінь стану $ESTATE_NAME$"
 estate_nobles_nobility_primacy:0 "Верховенство стану $ESTATE_NAME$"
 estate_nobles_officer_corp:0 "$ESTATE_NAME$ в офіцерському корпусі"
 estate_nobles_levies:0 "Збільшення набору"
 estate_nobles_advisors:0 "Радники-аристократи"
 estate_nobles_right_of_counsel:0 "Право на захист"
 estate_nobles_french_strong_duchies:0 "Сильні французькі герцогства"
 estate_church_religious_state:0 "Релігійна держава"
 estate_church_independent_inquisition:1 "Клерикальна рада"
 estate_church_new_world_mission:0 "Відкриття місій у Новому Світі"
 estate_church_papal_emissary:0 "Папські емісари"
 estate_church_clerical_ministers:0 "Клерикальні міністри"
 estate_church_clerical_oversight:0 "Нагляд з боку стану $ESTATE_NAME$"
 estate_burghers_land_of_commerce:0 "Земля торгівлі"
 estate_burghers_admirals:0 "$ESTATE_NAME$ в Адміралтействі"
 estate_burghers_commercial_board_of_advice:0 "Комерційна рада"
 estate_burghers_new_world_charter:0 "Надання прав на Новий Світ"
 estate_burghers_indebted_to_burghers:0 "Борг перед станом $ESTATE_NAME$"
 estate_burghers_indebted_to_burghers_effect_tooltip:2 "Взяти §Y5§! п'ятирічних позик під §Y1.0%§!. Привілей буде вилучено автоматично після погашення боргу."
 estate_burghers_free_enterprise:0 "Вільне підприємництво"
 estate_cossacks_exploration_expedition:0 "Козацькі розвідувальні експедиції"
 estate_cossacks_cossack_self_governance:0 "Козацьке самоврядування"
 estate_cossacks_establish_the_cossack_regiments:0 "Створити козацькі полки"
 estate_cossacks_expand_the_cossack_regiments:0 "Збільшити козацькі полки"
 estate_dhimmi_lighter_dhimmi_taxes:1 "Підвищення податків для зіммі"
 estate_dhimmi_lighter_dhimmi_taxes_effect_tooltip:2 "Кожна приналежна НЕ §Yмусульманська§! провінція отримає модифікатор §Y'Підвищення податків для зіммі'§!, що матиме такі ефекти:\nМісцеві податки: §G15.0%§!"
 estate_dhimmi_lighter_dhimmi_taxes_revoke_effect_tooltip:1 "Модифікатор §Y'Підвищення податків для зіммі'§! буде вилучено з усіх приналежних НЕ §Yмусульманських§! провінцій."
 estate_dhimmi_lighter_dhimmi_taxes_privilege_mod:1 "Підвищення податків для зіммі"
 desc_estate_dhimmi_lighter_dhimmi_taxes_privilege_mod:1 "Держава вимагає вищих податків від зіммі, ніж від решти населення."
 estate_dhimmi_dhimmi_nobles:0 "Просування аристократії зіммі"
 estate_dhimmi_manpower:0 "Призовники зіммі"
 estate_dhimmi_manpower_effect_tooltip:0 "Кожна приналежна НЕ §Yмусульманська§! провінція отримає модифікатор §Y'Призов зіммі'§!, що матиме такі ефекти:\nЧисло місцевих рекрутів: §G+20.0%§!"
