l_english:
 MERC_COST_BASE:0 "Від складу: $VAL|Y$¤\n"
 MERC_COST_TYPE:0 "$NAME$: $VAL|-=%$\n"
 MERC_ORIGIN:0 "\nЦе рідна провінція для $NAME|Y$"
 MERC_IN_RANGE_FOR_US_TO_HIRE_IN:0 "\nЦі найманці знаходяться в межах нашої торгової дистанції та доступні для найму."
 MERC_NOT_IN_RANGE_FOR_US_TO_HIRE_IN:0 "\n§RЦі найманці знаходяться поза межами нашої торгової дистанції та недоступні для наймів.§!"
 DISBAND_MERC_DRO:1 " Якщо ми розпустимо компанію найманців, вони не будуть доступні для наймів, поки не відновлять число своїх рекрутів, що станеться $DATE|Y$."
 MACRO_HIRE_MERCENARY_COMPANY:0 "Найманські компанії"
 MACRO_HIRE_MERCENARY_COMPANY_INFO:0 "– Ви, французи, воюєте за гроші, а ми, британці, боремося за честь.\n– Сер, людина бореться за те, чого їй найбільше не вистачає.\n  -- Робер Сюркуф"
 MERCENARY_COMPANY_NOT_AVAILABLE_ANYMORE:0 "Вибрана найманська компанія більше не доступна."
 MERCENARY_COMPANY_ALREADY_HIRED:0 "Найманська компанія $COMPANY|Y$ вже нами найнята!"
 MERCENARY_COMPANY_NOT_AVAILABLE_UNTIL:1 "Найманська компанія $COMPANY|Y$ наразі відновлює свої людські ресурси й не буде доступна до $DATE|Y$."
 MERCENARY_COMPANY_NOT_TO_BANKRUPTED:0 "Збанкрутіла країна не в змозі вербувати найманців."
 MERC_WHY_NOT:0 "\nМи не можемо вербувати цю компанію через:\n$WHY$"
 MERCENARY_COMPANY_TOO_FAR:1 "Найманська компанія $COMPANY|Y$ знаходиться §Rпоза§! межами досяжності для нашого найму. Ми можемо наймати компанії тільки в межах нашої торгової дистанції!"
 MERCENARY_COMPANY_TOO_FAR_PROVINCE:2 "Найманська компанія $COMPANY|Y$ знаходиться §Rпоза§! межами досяжності, щоб найняти її в провінції $PROVINCE|Y$. $RANGE$"
 MERC_RANGE_EXPLAINED:0 "Відстань від $ORIGIN|Y$ до $WHERE$ дорівнює $DISTANCE|Y$, а наш діапазон для вербування найманців –  $RANGE|Y$. Цей діапазон зростає зі зростанням торгової дистанції."
 MERC_ENTRY_IN_RANGE:0 "\nНайманську компанію $NAME|Y$ не можна тут завербувати!"
 MERCENARY_COMPANY_ORIGIN:0 "Походження: $PROVINCE|Y$"
 SELECT_LEADER_MERCENARY_COMPANY:0 "Іноземні наймані компанії мають на чолі своїх генералів та не можуть приймати інших."
 CANT_SPLIT_MERCENARY_COMPANY:0 "Найманські компанії не можуть бути розділені або об'єднані з іншими підрозділами."
 CANT_REFILL_GARRISON_MERCENARY_COMPANY:0 "Найманські компанії не можна використовувати для поповнення наших гарнізонів."
 MERCENARY_COMPANY_MANPOWER_INSTANT:1 "Найманська компанія $COMPANY|Y$ має $MANPOWER|Y$ рекрутів у резерві, їхнє число зростає на $GROWTH|Y$ щомісяця. Компанія посилить свої полки свіжими військами цього місяця $REINFORCE|Y$."
 MERCENARY_COMPANY_MANPOWER_DELAYED:1 "Наймані компанії відновлюють втрати зі своїх резервів. Число рекрутів буде рости дуже повільно, коли їх завербовано, і відновлюється набагато швидше поза полями бою."
 MERCENARY_COMPANY_EFFECTS:0 "Від традицій компанії $COMPANY|Y$:\n"
 REINFORCE_MERCENARY_COMPANY_EXTRA:0 " і $VALUE$ від компанії $COMPANY|Y$"
 MERC_COMP_MANPOWER_BASE:0 "Число рекрутів у $MP|Y$ обумовлено числом полків у $VAL|Y$."
 MERC_COMP_MANPOWER_CHANGE:0 " Змінюється на $VAL|+=2%$ завдяки:\n$WHY$"
 BUILD_UNIT_NOT_MERCENARY_COMPANY:0 "Найманські компанії не можуть набрати більше підрозділів."
 alert_mercenary_company_low_manpower_instant:1 "§YНайманській компанії не вистачає рекрутів§!"
 alert_mercenary_company_low_manpower_delayed:1 "У цих найманих компаній залишилося мало рекрутів і незабаром закінчиться підкріплення:\n$LIST$"
 MERCENARY_COMPANY_ORIGIN_DESC:0 "Вони базуються в провінції $PROVINCE$."
 MERCENARY_COMPANY_AVAILABLE_TITLE:0 "Доступна нова найманська компанія"
 MERCENARY_COMPANY_AVAILABLE_SETUP:0 "Коли нова найманська компанія стає доступною."
 MERCENARY_COMPANY_AVAILABLE_HEADER:0 "$MESSENGER$"
 MERCENARY_COMPANY_AVAILABLE_1:0 "Доступна нова найманська компанія"
 MERCENARY_COMPANY_AVAILABLE_2:0 "$MONARCHTITLE$, найманська компанія, відома як"
 MERCENARY_COMPANY_AVAILABLE_3:0 "$COMPANY|Y$"
 MERCENARY_COMPANY_AVAILABLE_4:0 "тепер доступна для найму."
 MERCENARY_COMPANY_AVAILABLE_5:0 "Вони з радістю битимуться за нас, якщо зійдемося на ціні, поки вони знаходитимуться в зоні досяжності наших торговців."
 MERCENARY_COMPANY_AVAILABLE_6:0 "$EXTRA$"
 MERCENARY_COMPANY_AVAILABLE_LOG:1 "Найманська компанія $COMPANY$ тепер доступна для найму."
 MERCENARY_COMPANY_AVAILABLE_BTN1:0 "Гаразд"
 MERCENARY_COMPANY_UNAVAILABLE_TITLE:0 "Найманська компанія недоступна"
 MERCENARY_COMPANY_UNAVAILABLE_SETUP:0 "Коли найманська компанія стає недоступною."
 MERCENARY_COMPANY_UNAVAILABLE_HEADER:0 "$MESSENGER$"
 MERCENARY_COMPANY_UNAVAILABLE_1:0 "Найманська компанія недоступна"
 MERCENARY_COMPANY_UNAVAILABLE_2:0 "$MONARCHTITLE$, найманська компанія, відома як"
 MERCENARY_COMPANY_UNAVAILABLE_3:0 "$COMPANY|Y$"
 MERCENARY_COMPANY_UNAVAILABLE_4:0 "тепер недоступна для найму."
 MERCENARY_COMPANY_UNAVAILABLE_5:0 "Що б це не було, що змушувало їх боротися і вмирати за золото, тепер, здається, їх покинуло."
 MERCENARY_COMPANY_UNAVAILABLE_LOG:1 "Найманська компанія $COMPANY$ тепер недоступна для найму."
 MERCENARY_COMPANY_UNAVAILABLE_BTN1:0 "Гаразд"
 MERCENARY_COMPANY_DISBANDED_TITLE:0 "Найманську компанію розформовано"
 MERCENARY_COMPANY_DISBANDED_SETUP:0 "Коли найманську компанію розформовано."
 MERCENARY_COMPANY_DISBANDED_HEADER:0 "$MESSENGER$"
 MERCENARY_COMPANY_DISBANDED_1:0 "Найманську компанію розформовано"
 MERCENARY_COMPANY_DISBANDED_2:0 "$MONARCHTITLE$, найманську компанію, відому як"
 MERCENARY_COMPANY_DISBANDED_3:0 "$COMPANY|Y$"
 MERCENARY_COMPANY_DISBANDED_4:0 "було розформовано."
 MERCENARY_COMPANY_DISBANDED_5:0 "Нам більше не потрібно платити за їхні послуги й у них буде час відновити свою чисельність."
 MERCENARY_COMPANY_DISBANDED_6:0 "Ми зможемо найняти їх знову після $AVAILABLE_DATE$."
 MERCENARY_COMPANY_DISBANDED_LOG:1 "Найманську компанію $COMPANY$ розформовано."
 MERCENARY_COMPANY_DISBANDED_BTN1:0 "Гаразд"
 MERCENARY_COMPANY_NEW_GENERAL_TITLE:0 "У найманської компанії новий генерал"
 MERCENARY_COMPANY_NEW_GENERAL_SETUP:0 "Коли в не-нанятої найманської компанії з'явився новий генерал."
 MERCENARY_COMPANY_NEW_GENERAL_HEADER:0 "$MESSENGER$"
 MERCENARY_COMPANY_NEW_GENERAL_1:0 "У найманської компанії новий генерал"
 MERCENARY_COMPANY_NEW_GENERAL_2:0 "$MONARCHTITLE$, найманську компанію, відому як"
 MERCENARY_COMPANY_NEW_GENERAL_3:0 "$COMPANY|Y$"
 MERCENARY_COMPANY_NEW_GENERAL_4:0 "тепер буде очолювати $LEADER$."
 MERCENARY_COMPANY_NEW_GENERAL_5:0 "Можливо, ми захочемо переглянути наші плани по їхньому використанню в залежності від того, наскільки він вправний."
 MERCENARY_COMPANY_NEW_GENERAL_LOG:1 "У найманської компанії $COMPANY$ новий полководець."
 MERCENARY_COMPANY_NEW_GENERAL_BTN1:0 "Гаразд"
 MERCENARY_COMPANY_NEW_GENERAL_HIRED_TITLE:0 "У нанятої найманської компанії новий генерал."
 MERCENARY_COMPANY_NEW_GENERAL_HIRED_SETUP:0 "Коли у нанятої найманської компанії з'явився новий генерал."
 MERCENARY_COMPANY_NEW_GENERAL_HIRED_HEADER:0 "$MESSENGER$"
 MERCENARY_COMPANY_NEW_GENERAL_HIRED_1:0 "У нанятої найманської компанії новий генерал"
 MERCENARY_COMPANY_NEW_GENERAL_HIRED_2:0 "$MONARCHTITLE$, полководець найманої компанії, відомої як"
