l_ukrainian:

 revolution.30.name:0 "[Root.philosopher_dude.GetName] фонтанує ідеями"
 revolution.30.desc:0 "У ході вельми тонко завуальованої атаки на [Root.Monarch.GetTitleOGO], [Root.philosopher_dude.GetName], відомий філософ з Університету [university_town.GetName], опублікував трактат, який протестує проти крайнощів абсолютного правління. На жаль, судячи з усього, його робота виглядає дуже переконливо і стала надпопулярною серед інтелігенції, яка вдається до цитування певних її ключових уривків щоразу, коли вони хочуть виступити проти політики уряду."
 revolution.30.A:0 "Не звертайте на нього уваги."
 revolution.30.B:0 "Заарештуйте його та спаліть його книги!"

 french_revolution.4.robespierre:0 "За часів правління терору безліч французів загинули в ім'я Республіки. Ще не усунуто першу загрозу, як доводиться давати раду наступній. Нещодавно [Root.Monarch.GetTitleKHTO] Робесп'єр дав особливо жорстоку промову, у якій викрив і вимагав заарештувати зрадників у Комітетах громадської безпеки та загальної безпеки. Це налякало та викликало обурення серед лідерів Революції, які побоюються ще однієї чистки своїх лав. Національна асамблея вже наполягає на його арешті, бажаючи приборкати найгірші наслідки його Царства Терору, відновити стабільність у королівстві та гарантувати, що ніхто не зможе скористатися хаосом як виправданням для відновлення монархії.\n\nОднак, схоже, що Робесп'єр як і раніше має багато прихильників, які, безсумнівно, прагнутимуть захистити його, якщо ми не будемо діяти швидко."
 french_revolution.4.robespierre.A:0 "Арештуйте Робесп'єра!"
 french_revolution.4.robespierre.B:0 "Терор триватиме. Стережіться вороги народу!"

 french_revolution.301.name:0 "Зрада революції"
 french_revolution.301.desc1:0 "[Root.GetEventAdvisorName], головн[Root.GetEAEndAYJ] [Root.GetEventAdvisorTitle] держави [Root.GetUsableName], завжди критикува[Root.GetEAEndVLa] правління терору, розв'язане [Root.Monarch.GetTitleKYM] та революційним урядом. На думку Комітету громадської безпеки, це робить [Root.GetEventAdvisorHerHis] небезпечним реакціонером і ворогом народу, якого небезпечно залишати в живих."
