l_ukrainian:
 ENABLE_ESTATE_DECISION:0 "Увімкнути станове рішення"
 DISABLE_ESTATE_DECISION:0 "Вимкнути станове рішення"
 HAS_ESTATE_DECISION:0 "Має доступне станове рішення"
 ESTATE_ACTION_DESCRIPTION:0 "§YСтанове рішення§!\nМи скористуємося нашим впливом, щоб здобути прихильність станів або використаємо прихильність для здобуття негайної вигоди."
 ESTATE_ACTION_SHARED_COOLDOWN:0 "§YПоділяє відлік до наступної взаємодії з іншими взаємодіями, які мають схожий ефект.§!"
 has_any_estate_disaster_active_tt:0 "Має активне §Yстанове лихо§!"
 has_not_any_estate_disaster_active_tt:0 "НЕ має активного §Yстанового лиха§!"
 CAN_USE_ESTATE_ACTION_EVERY_365:0 "Ця станова взаємодія може відбуватися тільки раз на §Y1§! рік"
 CAN_USE_ESTATE_ACTION_EVERY_1825:0 "Ця станова взаємодія може відбуватися тільки раз на §Y5§! років."
 CAN_USE_ESTATE_ACTION_EVERY_3650:0 "Ця станова взаємодія може відбуватися тільки раз на §Y10§! років."
 CAN_USE_ESTATE_ACTION_EVERY_5475:0 "Ця станова взаємодія може відбуватися тільки раз на §Y15§! років."
 CAN_USE_ESTATE_ACTION_EVERY_7300:0 "Ця станова взаємодія може відбуватися тільки раз на §Y20§! років."
 CAN_USE_ESTATE_ACTION_EVERY_9125:0 "Ця станова взаємодія може відбуватися тільки раз на §Y25§! років."
 CAN_USE_ESTATE_ACTION_EVERY_10950:0 "Ця станова взаємодія може відбуватися тільки раз на §Y30§! років."
 CAN_USE_ESTATE_ACTION_EVERY_12775:0 "Ця станова взаємодія може відбуватися тільки раз на §Y35§! років."
 CAN_USE_ESTATE_ACTION_EVERY_14600:0 "Ця станова взаємодія може відбуватися тільки раз на §Y40§! років."
 CAN_USE_ESTATE_ACTION_EVERY_16425:0 "Ця станова взаємодія може відбуватися тільки раз на §Y45§! років."
 CAN_USE_ESTATE_ACTION_EVERY_18250:0 "Ця станова взаємодія може відбуватися тільки раз на §Y50§! років."
 CAN_USE_ESTATE_ACTION_EVERY_27375:0 "Ця станова взаємодія може відбуватися тільки раз на §Y75§! років."
 CAN_USE_ESTATE_ACTION_EVERY_36500:0 "Ця станова взаємодія може відбуватися тільки раз на §Y100§! років."
 CAN_USE_SHARED_ESTATE_ACTION_EVERY_3650:0 "Ця станова взаємодія може відбуватися тільки раз на §Y10§! років.\n[Root.EstateDecisionSharedCooldownTooltip]"
 CAN_USE_SHARED_ESTATE_ACTION_EVERY_10950:0 "Ця станова взаємодія може відбуватися тільки раз на §Y30§! років.\n[Root.EstateDecisionSharedCooldownTooltip]"
 ###ENABLE EFFECT TOOLTIP###
 estate_action_potential_effect:1 "Ця §Yстанова взаємодія§! матиме такий ефект, коли активована:"
 ###ENABLE / DISABLE ESTATE ACTION TOOLTIP###
 enable_estate_action_MAKE_GENEROUS_DONATION_BRAHMINS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetBrahminsName]: Зробити щедру пожертву§!"
 enable_estate_action_SEEK_SUPPORT_OF_BRAHMINS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetBrahminsName]: Отримати схвалення брагманів§!"
 enable_estate_action_RECRUIT_MINISTER_BRAHMINS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetBrahminsName]: Найняти міністра§!"
 enable_estate_action_RECRUIT_INQUISITOR_BRAHMINS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetBrahminsName]: Найняти інквізитора§!"
 enable_estate_action_DEMAND_SUPPORT_BRAHMINS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetBrahminsName]: Вимагати адміністративну підтримку§!"
 enable_estate_action_SEEK_BRAHMIN_LEGITIMACY_BRAHMINS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetBrahminsName]: Просити підтримки§!"
 enable_estate_action_ASK_FOR_CONTRIBUTION_BURGHERS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetBurghersName]: Запросити контрибуції§!"
 enable_estate_action_DEMAND_SUPPORT_BURGHERS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetBurghersName]: Вимагати дипломатичну підтримку§!"
