l_ukrainian:
 HAS_LEADER_TRIGGER_YES:0 "Є командувач"
 HAS_LEADER_TRIGGER_NO:0 "Не має командувача"
 MODIFIER_YEARS_TO_INTEGRATE_PERSONAL_UNION:0 "Років до інтеграції особистої унії"
 031_battleoflepanto:0 "Битва за Лепанто – металева версія"
 031_kingscourt:0 "Королівський двір – металева версія"
 031_maintheme:0 "Основна тема – металева версія"
 031_rideforthvictoriously:0 "Вперед, до перемоги – металева версія"
 031_thestageisset:0 "Фігури розставлено – металева версія"
 037_commerceinthepeninsula:0 "Комерція на півострові – металева версія"
 037_eire:0 "Eire – металева версія"
 037_mykingdom:0 "Моє королівство – металева версія"
 037_theageofdiscovery:0 "Епоха відкриттів – металева версія"
 037_thestonemasons:0 "Камнероби – металева версія"
