l_ukrainian:
 FLAGSHIPS_IN_NAVY:0 "Цей флот містить флагмани."
 FLAGSHIP_DETAILS:0 "$NAME|Y$ є флагманом $ADJECTIVE|Y$ого флоту."
 FLAGSHIP_CANT_SELL:0 "Ви не можете продати свій флагман"
 FLAGSHIP_ALREADY_MAX_MODIFICATIONS:0 "§RВи вже встановили максимальне число модифікацій§!"
 base_flagship_modification:0 "Флагман"
 mass_load_cannons:0 "Масове навантаження гарматами"
 mass_load_cannons_desc:0 "Скільки б гармат не було у ворога, у нас повинно бути вдвічі більше. Ще жодне судно не затонуло від того, що у нього було занадто багато гармат."
 trade_route_map:0 "Мапа торгових шляхів"
 trade_route_map_desc:0 "Тримати докладний набір мап наших торгових шляхів в актуальному стані – непросте завдання, але варте того, щоб у нашого торгового флоту був флагман."
 command_aftercastle:0 "Командний ют"
 command_aftercastle_desc:0 "Оснащення корабля ютом забезпечить кращі приміщення для проживання нашого капітана та важливих членів екіпажу."
 improved_crows_nest:0 "Покращене вороняче гніздо"
 improved_crows_nest_desc:0 "З таким флагманом, як наш, ворог побачить наше наближення. Нам лише потрібно побачити його першими."
 mortars:0 "Мортири"
 mortars_desc:0 "Далекобійні облогові гармати будуть малоефективні проти інших кораблів, але представляють значну загрозу для наземних споруд."
 standardized_signal_book:0 "Стандартована книга сигналів"
 standardized_signal_book_desc:0 "Координація флоту – нелегка задача, але встановлення стандартів комунікації – це перший крок до бездоганного виконання цього завдання."
 hull_sheating:0 "Обшивка корпуса"
 hull_sheating_desc:0 "Навіть найбільший корабель зрештою втомлюється не тільки від воєн, але й від самого океану. Металева обшивка забезпечить довговічність нашого флагмана."
 portuguese_navigators:0 "Португальські навігатори"
 portuguese_navigators_desc:0 "Португальський навігатор не тільки доставить вас до найвіддаленішого ще невідкритого берега, а й, за попутного вітра, поверне вас назад."
 portuguese_bombardier:0 "Португальскі бомбардири"
 portuguese_bombardier_desc:0 "Морські обстріли – це особлива форма мистецтва і ніхто не може впоратися з ним краще за наших бомбардувальників."
 portuguese_trade_route_map:0 "Португальська мапа торгових шляхів"
 portuguese_trade_route_map_desc:0 "Найкоротшою відстанню між точками на мапі є пряма лінія, а португальський торговий шлях стоїть на другому місці."
 spanish_grand_armada:0 "Велика Армада Еспанії"
 spanish_grand_armada_desc:0 "Еспанські кораблі створені для виживання у світових океанах, а ті, що ходять з нашими флагманами, тим більше."
 spanish_treasure_fleet:0 "Конвой еспанської скарбниці"
 spanish_treasure_fleet_desc:0 "Коли ваше багатство плаває на кораблях, однією з ваших головних проблем є пірати. Відповідно, первинною проблемою піратів повинні стати ми."
 spanish_mass_load_cannons:0 "Еспанське завантаження гарматами"
 spanish_mass_load_cannons_desc:0 "Скільки б гармат не поставив противник на свій флагман, у нас їх повинно бути вдвічі більше. Ще жодне судно не затонуло від того, що у нього було занадто багато гармат."
 dutch_courage:0 "Голландська мужність"
 dutch_courage_desc:0 "Наші люди славляться своєю мужністю настільки, що ми експортуємо її в рідкому вигляді."
 EXPELLED_LESS_THAN:0 "Вигнано менше $TOTAL|Y$ меншостей"
