l_ukrainian:
 native:1 "Корінне плем'я"
 native_desc:1 "Це корінне плем'я, що підпорядковується племінній раді на чолі якої стоїть вождь."
 native_basic_reform:1 "Корінне плем'я"
 native_basic_reform_name:1 "Корінне плем'я"
 native_basic_reform_desc:0 "Рада племені – це зібрання старійшин, що підпорядковується єдиному вождеві."
 siberian_tribe:0 "Рада Сибірських племен"
 siberian_tribe_desc:0 "Рада Сибірських племен, це зібрання старійшин, що підпорядковується єдиному вождеві."
 monarchy_desc:0 "Монархія – це форма правління, за якої на чолі держави стоїть єдиний монарх. Правління монарха є пожиттєвим, а його титул часто є спадковим і переходить до спадкоємців з династії правителя."
 feudalism_vs_autocracy:0 "Структура влади"
 feudalism_reform:1 "Феодальна знать"
 feudalism_reform_desc:0 "За феодальної монархії влада монарха спирається на аристократію, що присагає йому на вірність в обмін на земельні наділи. Аристократи, або дворяни, часто самі є впливовими землевласниками, в чиїх руках зосереджена сильна влада, та які теж мають власних васалів."
 autocracy_reform:0 "Автократія"
 autocracy_reform_desc:0 "Автократичні монархії – це монархії, у яких уся влада зосереджена в руках правителя, а держава часто розглядається як їхня приватна власність. Не рідко в автократичних державах правитель має радників та міністрів, але вони розглядаються лише як члени королівського двору, а не як люди що беруть участь в управлінні державою."
 plutocratic_reform:0 "Східна плутократія"
 plutocratic_reform_desc:0 "Плутократична монархія – це монархія, за якої окрім монарха до управління державою допускаються найбагатші люди держави. Монарх часто є головою успішного торгового підприємства, як і більшість людей з його оточення."
 enforce_trader_privileges_reform:0 "Надати привілеї купцям"
 enforce_trader_privileges_reform_desc:0 "Посилюючи зв'язки між державою та успішними торговими підприємствами ми можемо збільшити як свій вплив закордоном, так і прибуток, який ми отримуємо."
 indian_sultanate_reform:0 "Індійський султанат"
 indian_sultanate_reform_desc:0 "Контрольовані мусульманською меншістю, індійські султанати, були вимушені змінювати та розширювати традиційні ідеї правління державою. Як держави, де основною релігією залишався іслам, вони розширили права зіммі, що зазвичай складалися з християнського та юдейського населення. Також включили до цього стану й послідовників дхармічних релігій."
 indian_sultanate_legacy:0 "Індійський султанат"
 indian_sultanate_legacy_desc:0 "Контрольовані мусульманською меншістю, індійські султанати, були вимушені змінювати та розширювати традиційні ідеї правління державою. Як держави, де основною релігією залишався іслам, вони розширили права зіммі, що зазвичай складалися з християнського та юдейського населення. Також включили до цього стану й послідовників дхармічних релігій."
 bengali_reform:0 "Посилити торгівлю в Бенгалії"
 bengali_reform_desc:0 "Бенгал з його багатими землями та гирлом Ґанґу, що завжди приваблювало купців звідусіль, служить, перш за все, як головний порт Індії. Ми здобули ці землі з мечем в руці, але корабельники, моряки і купці потрібні нам не менше, ніж досвідчені солдати і офіцери."
 sufi_syncretism_reform:0 "Синкретизм суфізму"
 sufi_syncretism_reform_desc:0 "У цих землях завжди радо приймали послідовників суфіїв - чимало з них змогли додати до свого вчення елементи місцевих традицій і звичаїв; таким чинов їм вдалося піднятися до рівня місцевих лідерів, і, якщо ми надамо їм підтримку, то можемо сподіватися, що їхні спільноти розростатимуться та заселятимуть землю яка зараз перебуває в полоні непролазних джунглів та боліт."
 hereditary_vs_nobility:0 "Привілеї для знаті"
 enforce_privileges_reform:0 "Збільшити привілеї знаті"
 enforce_privileges_reform_desc:0 "Аристократія вірно служила нашій державі протягом поколінь, тож в знак нашої вдячності нам варто розширити список привілеїв для тих сімей, які присвятили себе служінню країні."
 quash_noble_power_reform:0 "Урізати привілеї знаті"
 quash_noble_power_reform_desc:0 "З розвитком нашої держави все більш явним стає те, що у знаті сконцентровано надто багато сили і впливу. Їхнє занепокоєння лише власними привілеями надто сильно заважає посиленню нашого уряду."
 centralize_reform:0 "Централізована бюрократія"
 centralize_reform_desc:0 "Централізована бюрократія - це тип правління, за якого влада зосереджена в столиці держави, а більшість постанов видають або правитель, або особи з його оточення, потім це все розсилаються по провінціях."
 decentralize_reform:0 "Децентралізована бюрократія"
 decentralize_reform_desc:0 "Децентралізована бюрократія надає більше прав місцевим управлінцям, які перебувають у прямому підпорядкуванні монарху."
 growth_of_administration:0 "Адміністративні кадри"
 clergy_in_administration_reform:0 "Духовенство в адміністрації"
 clergy_in_administration_reform_desc:0 "Духовенство володіє багатьма навичками, які ми шукаємо в наших управлінцях; вони освічені, знайомі з письмом, а також, що головне, вони керуються вищою метою. Заручившись підтримкою духовенства, ми можемо отримати дуже цінні адміністративні кадри."
 of_noble_bearing_reform:0 "Воїни мантії"
 of_noble_bearing_reform_desc:0 "Дворянські сім'ї нашої держави поклялися не лише давати поради, але й зберігати вічну вірність нашому монарху. З роширенням наших володінь стає зрозуміло, що ці обов'язки не можуть бути виконані виключно з мечем в руці. Настав час, коли дворянин, озброєний пером і чорнилом, становить таку ж цінність для країни, як і його брат, що служить нам мечем і щитом."
 meritocratic_focus_reform:0 "Меритократичний набір"
 meritocratic_focus_reform_desc:0 "Ми не можемо керувати державою за старими порядками, які не встигають за її розвитком. Натомість, нам слід зосередитися на розвитку меритократичної системи управління, та шукати здібних управлінців серед усіх наших громадян, незалежно від їхнього стану і роду.."
 deliberative_assembly:0 "Дорадчі збори"
 parliamentary_reform:0 "Парламентаризм"
 parliamentary_reform_desc:0 "Настав час розділити обов'язки голови уряду від очільника держави та надати законодавчим зборам більше повноважень у керуванні внутрішніми справами."
 royal_decree_reform:0 "Королівські декрети"
 royal_decree_reform_desc:0 "Монарша влада і лояльність до неї цінуються більше за все в нашій державі, тому нам слід переконатися що королівські декрети виконуються точно і без похибок у кожному кутку нашої держави."
 aristocratic_court_reform:0 "Придворні аристократи"
 aristocratic_court_reform_desc:0 "Аристократія вірно служила нашій державі протягом поколінь і стала невід'ємною частиною нашого уряду. Для того, щоб краще контролювати, винагороджувати та отримувати підтримку від цих давніх аристократичних родів, ми повинні розвивати та зміцнювати стосунки між королівським оточенням і двором.."
 states_general_reform:0 "Генеральні штати"
 states_general_reform_desc:0 "За допомогою об'єднання провінцій, що мають представництво в Генеральних штатах, нам буде легше порозумітися з представниками про-федеральних рухів, зберігаючи при цьому монархічний уклад держави.\n\nЗа допомогою виборів і подій, §YШтатисти§! та §YМонархісти§! будуть змагатися за контроль над нашою державою. Наслідки таких подій та частота виборів залежатимуть від того, яка фракція на даний момент при владі."
 general_estates_reform:0 "Генеральні збори"
 general_estates_reform_desc:0 "Необхідно поважати давні привілеї станів та посилити їхню роль законодавчо, тому нам слід регулярно скликати Генеральні збори, де ми обговорюватимемо державні справи та шукатимемо поради й настанови для нашого правителя."
 absolute_rule_vs_constitutional:0 "Абсолютизм і Конституціоналізм"
 letat_cest_moi_reform:0 "L'Etat c'est moi"
 letat_cest_moi_reform_desc:0 "Без порядку нема нічого, крім хаосу, тому людям потрібна рука, яка б їх вела. Ми повинні переконатися, що слово нашого монарха є законом, не залежно від обставин, і що кожен робитиме все можливе для виконання кожного королівського наказу."
 regional_representation_reform:0 "Регіональні збори"
 regional_representation_reform_desc:0 "Законодавчі збори провінцій є невід'ємною частиною нашої держави, і, зміцнюючи їхню роль, ми забезпечуємо ефективність і легітимність нашого правління."
 separation_of_power:0 "Розподіл влади"
 political_absolutism_reform:0 "Політичний абсолютизм"
 political_absolutism_reform_desc:0 "Найкращим методом служіння державі є самовіддане виконання наказів її монарха. Тільки тоді істинний і просвітлений монарх зможе реалізувати повноту своєї влади, направивши її на забезпечення процвітання держави."
 legislative_houses_reform:0 "Законодавчі палати"
 legislative_houses_reform_desc:0 "Розділивши законодавчі органи на більше ніж одну палату, ми можемо краще збалансувати прагнення реформ та прагнення законсервувати та зберегти традиції."
 become_a_republic_reform:0 "Проголосити республіку"
 become_a_republic_reform_desc:0 "Монархічна система влади вичерпала свої ресурси в цій країні. Настав час реформувати уряд, починаючи з його верхівки, та проголосити республіку з виборними представниками."
 install_theocratic_government_reform:0 "Встановити теократичний лад"
 install_theocratic_government_reform_desc:0 "Релігія є єдиним по-справжньому життєздатним способом судити що правильно, а що ні. Реформуємо ж ядро уряду, дозволивши Господу вести нас по шляху нашої державості."
 oligarchy_merchant_class_noble_elite:0 "Структура влади"
 oligarchy_reform:0 "Олігархія"
 oligarchy_reform_desc:0 "За олігархічного ладу правитель обирається із середи впливови людей з верхніх щаблів суспільства. Цей правлячий клас є також єдиною групою, перед якою безпосередньо звітує голова уряду. Саме на їхню підтримку опирається держава."
 grand_duchy_reform:0 "Велике князівство"
 grand_duchy_reform_desc:0 "У наших краях ніколи не було багато королів, замість них, саме князі об'єднували й керували різними народами нашого князівства на шляху до величі."
 misl_confederacy_reform:0 "Місальська конфедерація"
