l_ukrainian:
 EARLDOM:0 "Ерлство"
 DUCHY:0 "Герцогство"
 KINGDOM:0 "Королівство"
 EMPIRE:0 "Імперія"
 EARL:0 "Ерл"
 COUNTESS:0 "Графиня"
 DUKE:0 "Герцог"
 DUCHESS:0 "Герцогиня"
 KING:0 "Король"
 HIGH_KING:0 "Верховний король"
 QUEEN:0 "Королева"
 HIGH_QUEEN:0 "Верховна королева"
 EMPRESS:0 "Імператриця"
 FEDERATION:0 "Федерація"
 BISHOPRIC:0 "Єпископство"
 ARCHBISHOPRIC:0 "Архієпископство"
 PATRIARCHATE:0 "Патріархат"
 BISHOP:0 "Єпископ"
 DESPOTISM:0 "Деспотизм"
 PRESIDENTIAL_DICTATORSHIP:0 "Президентська диктатура"
 ARCHBISHOP:0 "Архієпископ"
 PATRIARCH:0 "Патріарх"
 MATRIARCH:0 "Матріарх"
 HORDE:0 "Орда"
 KHANATE:0 "Ханство"
 GREAT_KHANATE:0 "Велике ханство"
 CHIEF:0 "Вождь"
 CHIEFTESS:0 "Вождиня"
 JINONG:0 "Джінон"
 KHAN:0 "Хан"
 KHATUN:0 "Хатун"
 KHANUM:0 "Ханум"
 KHANZADEH:0 "Ханзаде"
 GREAT_KHAN:0 "Великий хан"
 GREAT_KHATUN:0 "Велика хатун"
 KHAGANATE:0 "Каганат"
 KHAGAN:0 "Каган"
 YEKHE_KHAGAN:0 "Великий каган"
 YEKHE_KHANUM:0 "Велика ханум"
 KHEDIVATE:0 "Хедіват"
 PESHWA:0 "Пешва"
 PESHWIN:0 "Пешвін"
 DIRECTOR:0 "Директор"
 DIRECTORESS:0 "Директриса"
 UNITED_PROVINCES:0 "Сполучені провінції"
 PROTECTOR:0 "Протектор"
 LORD_PROTECTOR:0 "Лорд-протектор"
 HIGH_LORD_PROTECTOR:0 "Верховний лорд-протектор"
 LADY_PROTECTOR:0 "Леді-протекторка"
 HIGH_LADY_PROTECTOR:0 "Верховна леді-протекторка"
 CHIEFDOM:0 "Вождівство"
 GRAND_CHIEFDOM:0 "Верховне вождівство"
 GREAT_CHIEFDOM:0 "Велике вождівство"
 TRIBAL_KINGDOM:0 "Племінне королівство"
 TRIBAL_EMPIRE:0 "Племінна імперія"
 HIGH_CHIEF:0 "Верховний вождь"
 HIGH_CHIEFTESS:0 "Верховна вождиня"
 PARAMOUNT_CHIEF:0 "Найвищий вождь"
 PARAMOUNT_CHIEFTESS:0 "Найвища вождиня"
 MALIKATE:0 "Малікат"
 SHEIKHDOM:0 "Шейхство"
 GREAT_SHEIKHDOM:0 "Велике шейхство"
 SHAHDOM:0 "Шахство"
 SHAH_CONSORT:0 "Шах-консорт"
 SHAH:0 "Шах"
 SHAHANSHAH:0 "Шахіншах"
 SHAHZADE:0 "Шахзаде"
 MALIK:0 "Малік"
 MALIKAH:0 "Маліка"
 SHEIKH:0 "Шейх"
 SHEIKHA:0 "Шейха"
 GREAT_SHEIKH:0 "Великий шейх"
 GREAT_SHEIKHA:0 "Велика шейха"
 AYATOLLAH:0 "Аятолла"
 KHOJA:0 "Ходжа"
 GREAT_KHOJA:0 "Велика ходжа"
 EMIRATE:0 "Емірат"
 GREAT_EMIRATE:0 "Великий емірат"
 SULTANATE:0 "Султанат"
 EMIR:0 "Емір"
 EMIRA:0 "Еміра"
 AMIRZADE:0 "Амірзаде"
 GREAT_EMIR:0 "Великий емір"
 GREAT_EMIRA:0 "Велика еміра"
 EMIR_CONSORT:0 "Емір-консорт"
 SULTAN:0 "Султан"
 SULTANA:0 "Султана"
 SULTAN_fem:0 "Султан"
 GREAT_SULTAN:0 "Великий султан"
 GREAT_SULTANA:0 "Велика султана"
 BOQORAD:0 "Бокорат"
 BOQOR:0 "Бокор"
 AMIR:0 "Амір"
 AMIRAD:0 "Амірад"
 PASHALIK:0 "Еялет"
 PASHA:0 "Паша"
 PASHAZADE:0 "Пашазаде"
 BEYLIK:0 "Бейлик"
 BEY:0 "Бей"
 BEYSADE:0 "Бейзаде"
 BEYSADI:0 "Бейсаді"
 PADISHAH:0 "Падишах"
 SOGN:0 "Согн"
 HERRED:0 "Сотня"
 BONDEVALDE:0 "Бондевельде"
 OLDERMAND:0 "Алдерман"
 STORBONDE:0 "Стурбонд"
 LANDSBONDE:0 "Ландсбонд"
 OLDERMAND_fem:0 "Алдерквінде"
 STORBONDE_fem:0 "Стурбонда"
 LANDSBONDE_fem:0 "Ландсбонда"
 HATUN:0 "Хатун"
 VALI_AHAD:0 "Валі-ахад"
 HASEKI_SULTAN:0 "Хасекі-султан"
 THIKANA:0 "Тхікана"
 THAKUR:0 "Тхакур"
 THAKURANI:0 "Тхакурані"
 RANA:0 "Рана"
 RAJA:0 "Раджа"
 RANI:0 "Рані"
 RAJKUMAR:0 "Раджкумар"
 RAJKUMARI:0 "Раджкумарі"
 MAHARANA:0 "Магарана"
 MAHARAJA:0 "Магараджа"
 MAHARANI:0 "Магарані"
 CHHATRAPATI:0 "Чгатрапаті"
 PRATINIDHI:0 "Пратінідхі"
 SADR:0 "Садр"
 CONFEDERATION:0 "Конфедерація"
 TRIBE:0 "Плем'я"
 NATION:0 "Народ"
 CONFEDERACY:0 "Конфедерація"
 SACHEM:0 "Сахем"
 CLAN_MOTHER:0 "Матір клану"
 GREAT_PROPHET:0 "Великий пророк"
 PRINCIPALITY:0 "Князівство"
 GRAND_PRINCIPALITY:0 "Велике князівство"
 TSARDOM:0 "Царство"
 KNIAZ:0 "Князь"
 KNIAGINIA:0 "Княгиня"
 GREAT_KNIAZ:0 "Великий князь"
 GREAT_KNIAGINIA:0 "Велика княгиня"
 GRAND_KNIAZ:0 "Ясновельможний князь"
 GRAND_KNIAGINIA:0 "Ясновельможна княгиня"
 TSAR:0 "Цар"
 TSARITSA:0 "Цариця"
 DUHZD:0 "Дуж"
 POSADNIK:0 "Посадник"
 HOLY_PRINCIPALITY:0 "Церковне князівство"
 HOLY_STATE:0 "Церковна держава"
 HOLY_EMPIRE:0 "Теократична імперія"
 METROPOLIS:0 "Метрополія"
 GREAT_METROPOLIS:0 "Велика метрополія"
 LORD_BISHOP:0 "Князь-єпископ"
 LORD_ARCHBISHOP:0 "Князь-архієпископ"
 LAMA:0 "Лама"
 TULKU:0 "Тулку"
 GREAT_TULKU:0 "Великий тулку"
 ELDER:0 "Старійшина"
 HIGH_ELDER:0 "Верховний старійшина"
 PARAMOUNT_ELDER:0 "Найвищий старійшина"
