l_ukrainian:
 THREE_FIRES_FEDERATION:0 "Конфедерація трьох вогнів"
 SIO_FEDERATION:0 "Велика нація сіу"
 iroquois_federation_name:0 "Конфедерація ірокезів"
 huron_federation_name:0 "Конфедерація гуронів"
 illini_federation_name:0 "Конфедерація іллінойсів"
 SIO_federation_name:0 "Велика нація сіу"
 FEDERATION_ADVANCEMENTS_HEADER:0 "Покращення федерації"
 MUST_BE_FEDERATION_LEADER:0 "§RПовинен бути лідером федерації§!\n"
 COHESION_REQUIREMENT:0 "§RФедерації потрібно $COHESION|Y$§! згуртованості.\n"
 CONFIRM_FEDERATION_ADVANCEMENT:0 "Виберіть покращення федерації"
 CONFIRM_FEDERATION_ADVANCEMENT_DESC:0 "Впевнені, що хочете прийняти покращення $NAME|Y$? Це матиме такі ефекти:\n$EFFECT$\n\n§RЦя дія зменшить вашу §Yзгуртованість§! на §Y20§!!§!"
 DISBAND_FEDERATION_EFFECT:0 "Федерацію $NAME|Y$ буде розпущено.\n"
 INTEGRATE_FEDERATION_MEMBERS:0 "Усі члени федерації будуть інтегровані."
 FORM_FEDERATION_NATION:0 ""
 NUM_LESS_FEDERATION_ADVANCEMENTS_TRIGGER:0 "Потрібно прийняти менш ніж $NUM|Y$ покращень федерації."
 NUM_MORE_OR_EQUAL_FEDERATION_ADVANCEMENTS_TRIGGER:0 "Потрібно, щоби було прийнято $NUM|Y$ покращень федерації, або більше."
 ANY_FEDERATION_MEMBER:0 "Будь-який член федерації:\n"
 ALL_FEDERATION_MEMBER:0 "Усі члени федерації:\n"
 FEDERATION_SIZE_LESS_THAN:0 "Менш ніж $SIZE|Y$ членів федерації.\n"
 FEDERATION_SIZE_MORE_THAN:0 "$SIZE|Y$ або більше членів федерації.\n"
 ENABLE_FEDERATION_OFFENSIVE_WARS:0 "Увімкнути наступальні війни для федерації\n"
 DISABLE_FEDERATION_OFFENSIVE_WARS:0 "Вимкнути наступальні війни для федерації\n"
 MODIFIER_YEARLY_FEDERATION_FAVOR_GROWTH:0 "Щорічне зростання прихильності до членів федерації"
 MODIFIER_MONTHLY_REFORM_PROGRESS_MODIFIER:0 "Щомісячний модифікатор прогресу реформ"
 TRIBAL_DEVELOPMENT_VALUE:0 "Від племінного розвитку: $VAL|Y0$"
 TRIBAL_DEVELOPMENT_INCREASE_EXPLANATION:1 "Категорія $POWER|$ зросте на $VAL|+3$:\n"
 PROVINCE_SETTLE_TOOLTIP_DESC:0 "Наш народ осяде в цій провінції, через що вона стане повністю нашою і туди переміститься $ADM|Y$£adm£, $DIP|Y$£dip£, $MIL|Y$£mil£ розвитку.\n\n"
 SETTLE_PROVINCE_COST:0 "Коштує $COST|Y$ $POWER|$ балів\n"
 MIGRATE_PROVINE_NOT_LAND:0 "§R$PROV|Y$ не годиться для заселення.\n"
 DEVASTATION_FROM_PASSIVE:0 "Природне відновлення: $VAL|-$\n"
 COHESION_FEDERATION_ADVANCEMENT:0 "§Y$NUM$ покращень федерації§!: $VAL|+=1$\n"
 MODIFIER_SETTLE_COST:0 "Вартість заселення"
 MODIFIER_MONTHLY_FEDERATION_FAVOR_GROWTH:0 "Щомісячне зростання прихильності до членів федерації"
 federal_constitution:0 "Федеральна конституція"
 unified_warbands:0 "Згуртовані вояки"
 mutual_trust:0 "Взаємна довіра"
 joint_grain_depots:0 "Спільні зерносховища"
 pax_americana:0 "Pax Americana"
 united_resistance:0 "Об'єднаний опір"
 chartered_settlements:0 "Чартерні поселення"
 shared_knowledge:0 "Обмін знаннями"
 FEDERATION_ADVANCEMENT_ALREADY_PICKED:0 "§RПокращення вже вибрано.§!\n"
 FEDERATION_LEADER_LOW_COHESION:0 "\nЯкщо згуртованість федерації впаде до §Y0%§!, то виникає ризик зміни лідера федерації. Новим лідером стане найсильніший у федерації. Якщо найсильнішим виявиться поточний лідер, - федерація розпадеться."
 RELIGION_DONT_HAVE_ANCESTORS:1 "У вашій релігії немає предків."
 IS_NOT_OUR_PREV_MONARCH:1 "$WHO|Y$ не входить у число ваших попередніх монархів."
 IS_ALREADY_ANCESTOR:1 "$WHO|Y$ вже є предком."
 ANCESTOR_DIP_COST:1 "Ви не маєте $VAL|Y$£dip£ балів."
 CONFIRM_PICK_ANCESTOR_DESC:0 "Впевнені, що хочете зробити $MONARCH|Y$ частиною вашої родової історії? Це матиме такі ефекти:\n$EFFECT$\n\nЦе коштуватиме $COST|Y$£dip£ балів."
 CONFIRM_PICK_ANCESTOR:0 "Затвердіть вибір предка"
 SETTLE_PROVINCE_EFFECT:0 "$TAG$ заселить провінцію $PROV$.\n"
 ALREADY_TRIBAL_LAND_OF:0 "§R$PROV|Y$ вже є племінною землею племені $WHO|Y$.§!\n"
 MIGRATORY_TRIBE_NOT_ON_PROVINCE:0 "§!Плем'я не перебуває у провінції $PROV|Y$.§!\n"
 IS_NOT_NEIGHBOR_TO_SETTLED:0 "§R$PROV|Y$ не знаходиться поруч з нашою заселеною землею.§!\n"
 IS_NOT_CONNECTED_TO_TRIBAL_LAND:0 "§RПровінція не пов'язана з племінною землею.§!\n"
 MODIFIER_ADD_TRIBAL_LAND_COST:0 "Вартість додавання племінної землі"
 ADD_TRIBAL_LAND_COL_WIN:0 "Додати племінну землю"
 MUST_BE_IN_TRIBAL_LAND_TO_SETTLE:0 "Для заселення провінція повинна бути частиною племінних земель."
 TRIBAL_LAND_OF:0 "\nПлемінна земля племені $WHO|Y$.\n"
 FEDERATION_PROV_TOOLTIP:0 "\nЧастина племені $NAME|Y$."
 native_chiefdom_reform:0 "Вождівство"
 native_federation_reform:0 "Федерація"
 native_clan_council_reform:0 "Рада кланів"
 native_martial_tradition_reform:0 "Бойова традиція"
 native_oral_tradition_reform:0 "Усна традиція"
 native_land_tradition_reform:0 "Земельна традиція"
 native_war_band_reform:0 "Військове формування"
 native_seasonal_travel_reform:0 "Сезонна міграція"
 native_settle_down_reform:0 "Осілість"
 native_codified_power_reform:0 "Кодифікована влада"
