l_ukrainian:
 HINTS_DISABLE_ALL_HINTS:0 "Вимкнути"
 HINTS_DISABLE_HINT:0 "Вимкнути"
 HINT_CONFIRM_DISABLE_TITLE:0 "Вимкнути підказки"
 HINT_CONFIRM_DISABALE_DESC:0 "Ви впевнені, що хочете вимкнути підказки? Знову увімкнути їх ви можете в опціях."
 HINTBAR_HINTS:0 "Підказки"
 HINT_MAXIMIZE:0 "Розгорнути вікно"
 HINT_MINIMIZE:0 "Згорнути вікно"
 HINT_DISABLETHIS_TIP:0 "Вимкнути повторну автоматичну появу підказки."
 HINT_TURNOFF_TIP:0 "Це приховає інтерфейс підказок. Його можна увімкнути знову через меню."
 HINT_BANNER_TEXT:0 "Розкажіть про це докладніше..."
 HINT_MODE_BUTTON:0 "§YКлацніть для підказки§!\nЯрлик"
 HINT_MODE_BUTTON_DESC:0 "Це дозволить вам натиснути кнопки та іконки в грі для отримання додаткової інформації."
 HINT_INTRO_TILE:0 "Підказки"
 HINT_INTRO_TEXT:0 "Підказки існують, аби допомагати вам, надаючи інформацію про події у грі. Ви можете натиснути кнопку виводу підказок у правому верхньому кутку, щоб активувати режим підказок. Коли режим підказок активний, більшість значків будуть світитися синім кольором. Натиснувши на них ви отримаєте інформацію про те, що вони роблять. Ви можете згорнути або розгорнути даний інтерфейс натиснувши відповідну кнопку."
 HINT_STABILITY_TITLE:0 "Стабільність"
 HINT_STABILITY_TEXT:0 "Параметр 'стабільність' показує наскільки стабільним є ваш уряд. Висока стабільність дає вам більше надходжень від податків, у той час як низька стабільність збільшує ризик повстань."
 HINT_INCREASESTABILITY_TITLE:0 "Підвищення стабільності"
 HINT_INCREASESTABILITY_TEXT:0 "Стабільність може бути підвищена в головному меню держави (щиток у лівому верхньому кутку), в закладці стабільності та експансії. Саме там клацніть кнопку 'підсилити', щоб збільшити параметр 'стабільність'.."
 HINT_LOSESTABILITY_TITLE:0 "Втрата стабільності"
 HINT_LOSESTABILITY_TEXT:0 "Стабільність втрачається внаслідок випадкових подій, оголошення певного виду війни, розриву династичних шлюбів та у випадку смерті вашого правителя чи його наступника у битві."
 HINT_DUCATS_TITLE:0 "Золото"
 HINT_DUCATS_TEXT:0 "Золото є головним ресурсом у грі. Воно використовується, щоб заплатити за все - починаючи від купівлі нових кораблів, до виплати зарплатні радникам та вербування війська."
 HINT_MONARCHPOINTS_TITLE:0 "Бали монархії"
 HINT_MONARCHPOINTS_TEXT:1 "Бали монарха є одним з найважливіших ресурсів у грі. Вони використовуються, щоб розблоковувати нові технології, ідеї тощо. Щомісячне число балів монарха залежить від здібностей вашого правителя, і може бути збільшене шляхом найму відповідних радників. Є три категорії балів монархії: адміністративна сила, дипломатична сила та військова сила."
 HINT_MANPOWER_TITLE:0 "Людські ресурси"
 HINT_MANPOWER_TEXT:0 "Параметр 'людські ресурси' показує скільки здібних людей призовного віку є у вашій державі. Людські ресурси використовуються для вербування нових військ і поповнення армій, які зазнали втрат у війні."
 HINT_LEGITIMACY_TITLE:0 "Легітимність"
 HINT_LEGITIMACY_TEXT:1 "Параметр 'легітимність' показує наскільки законною є влада вашого правителя. Високий рівень легітимності зменшує глобальний ризик заворушень, а його низький рівень - навпаки. Держави, які мають династичні шлюби, можуть в кінцевому підсумку поширити свої династії, що пізніше може бути застосовано для висування претензій на престоли."
 HINT_LOSELEGITIMACY_TITLE:0 "Втрата легітимності"
 HINT_LOSELEGITIMACY_TEXT:0 "Укладення династичного шлюбу спершу зменшує легітимність, хоча значно збільшує її з часом. Легітимність також втрачається внаслідок випадкових подій, та з наявністю наступника престолу зі слабкими претензіями."
