l_ukrainian:
 nw_native_ideas:0 "Ідеї тубільців Північного Заходу"
 nw_native_ideas_start:0 "Північно-Західна Америка"
 nw_native_ideas_bonus:0 "Амбіції тубільців Північного Заходу"
 raid_warfare_nw:0 "Рейдова війна"
 raid_warfare_nw_desc:1 "Наш народ перебуває в стані постійної війни або готується до неї. Ми часто робимо набіги на наших сусідів, захоплюючи полонених для продажу в рабство, хоча іноді ми заходимо вгору чи вниз узбережжям, поки не отримаємо бажане, навіть якщо для цього доводиться запливати у віддалені землі. Нам потрібно бути напоготові в будь-який момент, тому ми звикли пристосовуватися до будь-якої ситуації."
 brother_salmon:0 "Брат-лосось"
 brother_salmon_desc:0 "Для нас лосось – це не лише невичерпне джерело їжі, а й наш духовний символ. Хай не єдиний, але все ж таки один із найважливіших. Лосось нас годує, лосось нас спрямовує, лосось нас захищає. Без лосося наш народ зник би, бо це наш зв'язок із потойбічним світом."
 potlatch:0 "Потлач"
 potlatch_desc:1 "Потлач – найважливіша подія в суспільному житті наших громад. Потлач – це дуже складний захід, де ми збираємось разом, щоб відсвяткувати певну подію; зазвичай вождь племені під час святкування підкреслював своє багатство, щедро роздаючи гостям вишукані та дорогі подарунки. Під час цих церемоній відбуваються великі бенкети та демонстрації марнотратного споживання. Бути запрошеними на них вважається високою честю."
 mother_and_father:0 "Мати і батько"
 mother_and_father_desc:1 "Навіть якщо не всі племена ведуть свій родовід від матері, як-от чинуки, жінки відіграють велику роль у нашому суспільному житті та беруть у ньому таку ж активну участь, як і чоловіки."
 totem_poles_nw:0 "Тотемні стовпи"
 totem_poles_nw_desc:1 "Тотеми – монументальні різьблені стовпи з нанесеними на них символами та фігурами нашої культури. Витончено вирізьблені з великих дерев, ці стовпи зазвичай символізують або вшановують наших предків, культурні вірування, наші родоводи або значні події; втім, вони також використовуються, щоб висміяти або присоромити людей чи племена через їхню безчесну поведінку, або як похоронні судини для зберігання душ предків."
 canoe_people:0 "Люди каное"
 canoe_people_desc:1 "Наші племена живуть на узбережжі або поблизу великих річок: наш раціон залежить від лосося, вугрів, інших риб, морепродуктів, тюленів і навіть китів; ми використовуємо воду як дорогу, щоб зробити набіг на наших ворогів або відвідати наших друзів... з усіх цих причин каное є значною частиною нашої культури, а не просто інструментом. Завдяки йому ми рухливі, як вода."
 division_as_a_strength_nw:0 "Розділення як сила"
 division_as_a_strength_nw_desc:0 "У цій місцевості живе декілька племен, і не всі вони розмовляють однією мовою, але навіть попри це у нас так багато спільних рис, що між нами виникло якесь братерство. Ми співіснуємо, навіть якщо наш спосіб життя значною мірою залежить від постійних набігів на ворогів та поневолення бранців."
 plains_native_ideas:0 "Ідеї тубільців рівнин"
 plains_native_ideas_start:0 "Великі рівнини"
 plains_native_ideas_bonus:0 "Амбіції тубільців рівнин"
 bison_hunters:0 "Мисливці на бізонів"
 bison_hunters_desc:1 "Бізони – життя для нашого народу. Ми використовуємо кожну частину тварини як данину поваги до її жертви. Ми годуємо наших людей його плоттю, ми використовуємо його кістки як знаряддя, ми використовуємо його хутро для захисту від холоду протягом довгих зим або його шкіри для нашого одягу або для покриття наших тіпі, ми використовуємо його душу як наш символ. Бізони настільки важливі в нашій культурі, що без них ми б почувалися безпорадними."
 bow_archery:0 "Стрільба з лука"
 bow_archery_desc:0 "Серед багатьох наших знарядь лук є одним із найважливіших. Нам потрібні луки, щоб полювати та завдяки їм годувати наших людей або воювати з нашими ворогами, коли настане час. Наші луки надійні, міцні, але також гнучкі, як і наші люди. Коли прийшли блідолиці, наші люди пристосували луки для стрільби з коней, але це вже інша історія..."
 dwellers_of_tipis:0 "Жителі тіпі"
 dwellers_of_tipis_desc:1 "Тіпі – це наші традиційні намети зі шкір тварин, зазвичай бізонів, що підтримуються масивними дерев'яними жердинами, які ми використовуємо як наші домівки. Зверху вони мають димову заслінку, що дозволяє нам розводити вогонь усередині, щоб боротися з холодом взимку. Ці намети міцні, забезпечують тепло та комфорт взимку, прохолоду в літню спеку та сухість під час злив. Але що найприємніше, що їх можна швидко розібрати та упакувати, тому вони ідеально підходять для частих переїздів."
 peaceful_people:0 "Мирний народ"
 peaceful_people_desc:1 "Рівнини багаті та досить великі, тому різним племенам не доводиться боротися за ресурси. Ця ситуація підтримує мир між групами, і, попри наші розбіжності та поодинокі міжусобиці, усі знають, що наше слово не порожній звук. Тільки зовнішня загроза може порушити цей спокій."
 sun_dance:0 "Танець сонця"
 sun_dance_desc:1 "The Sun Dance is one of the most important ceremonies for our people. It usually involves the whole community, everyone praying together for healing and several individuals making personal sacrifices on behalf of the group. Those sacrifices involve skin piercing or physical endurance (usually fasting under the sky for many days, no matter the weather)."
 plains_sign_language:0 "Мова жестів рівнин"
 plains_sign_language_desc:0 "Developed by the people of the Plains, the Plains Sign Language has spread all across the lands as the lingua franca for trade transactions between the tribes everywhere, from coast to coast. Being the creators of it has brought us some prestige among the rest of the tribes. We do not care about the fame, but we are proud of the ingenuity of our people."
 horse_riders:0 "Вершники"
 horse_riders_desc:1 "Our people have traditionally used their strong feet to move through the plains and their capable shoulders or travois pulled by dogs to carry our stuff. When the first Pale Faces appeared in our lands, they brought horses with them. Those beautiful animals were a gift from our ancestors and we did what we had to get them. The number of mares and stallions are big among the tribes, and they have become one with us. A part of our culture forever."
 california_native_ideas:0 "Ідеї тубільців Каліфорнії"
 california_native_ideas_start:0 "Каліфорнія"
 california_native_ideas_bonus:0 "Амбіції тубільців Каліфорнії"
 division_as_a_strength_cf:0 "Розподіл як сила"
 division_as_a_strength_cf_desc:1 "Several tribes live in this area and not all of them speak the same language, but even then we share so many traits that some kind of brotherhood has emerged between us. We coexist in harmony as we do with nature, as this land is plentiful of resources."
 basketweaving:0 "Плетіння кошиків"
 basketweaving_desc:1 "Baskets are one of the most valuable articles for our people. Their value is found in how useful and central they are in our daily lives, not necessarily because they are some kind of luxury. Baskets are usually weaved by our women that use local plants to create them. Their size and way of being done depends on which use will they have."
 tribelets:0 "Малі племена"
 tribelets_desc:1 "Despite the large density of people in our region, especially when compared with others in the continent, our tribes are rather small, barely consisting of a few dozens of individuals working together. For many, our tribes are better defined as tribelets. We find no shame on that name. The closer the people, the stronger the group. That has helped us thrive."
 forest_gardening:0 "Лісове садівництво"
 forest_gardening_desc:0 "Our land is so rich that our people have never really needed to devote time to agriculture. We can take what we need directly from the forests and woodlands, with a bit of care for the plants and some controlled fires every few years, we have managed to live in harmony with nature."
 kuksu_cult:0 "Культ Куксу"
 kuksu_cult_desc:0 "Men, and sometimes women, in our tribes dance in secret societies to appease the spirits and bring blessings to our lands. Thanks to them, oaks give us the many acorns that serve as the base to our diet and allow our people to rise in numbers. As long as we keep the spirits happy, we will never suffer famine again."
 rock_art:0 "Наскельне мистецтво"
 rock_art_desc:0 "Talent is a gift of our ancestors with which they have blessed some of our tribe members. Thanks to this inspiration, our sacred areas are painted with representations of our spirits, our ancestors or our traditions that embellish our lands and make everyone happier."
 medicine_men:1 "Ceremonial People"
 medicine_men_desc:1 "Despite totemism priests being widespread all across the continent, they are very important to us as a group. They are the ones that take care of the health of our people and usually the ones that make our spiritual dances work in the way the spirits and our ancestors would approve."
 potlatch_held:0 "Потлатч відбувся"
 desc_potlatch_held:0 "Нещодавно ми відсвяткували Потлатч."
 native_americans.25.t:0 "Потлатч"
 native_americans.25.d:1 "An important visitor has honored us with his presence. [Root.Monarch.GetName] has to decide whether to celebrate a Potlatch in our guest's honor or not. On the one hand, celebrating it will be a good opportunity to brag about our wealth in front of our people and theirs, on the other it is a costly thing that could cause us a lot of harm for future needs."
 native_americans.25.a:0 "Не дивлячись ні на що, потлач слід проводити завжди!"
 native_americans.25.b:1 "Зараз ми не будемо проводити потлач."
 native_americans.26.t:1 "Теплий прийом"
 native_americans.26.d:1 "When we were visiting [From.Monarch.GetName] and [From.GetMJOGO] people, a potlatch was held in our honor. In this ceremony great gifts were given to us as a way to both honor our visit and prove how wealthy [From.Monarch.GetName] is. How should we respond?"
 native_americans.26.a:0 "Потлач був чудовий, ми почуваємося високоповажно."
 native_americans.26.b:0 "Потлач був чудовий, дякуємо."
 potlatch_good:0 "Нам дуже сподобався потлач"
 native_americans.26.c:1 "Потлач був не такий вже й поганий."
 potlatch_nice:0 "Нам сподобався потлач"
