l_ukrainian:
 LOADING_TIP_0:0 "У республіках вибори проходять кожні 4-8 роки."
 LOADING_TIP_1:0 "Виснаження взимку може бути дуже серйозним. Можливо, краще відступити та планувати військову кампанію на весну."
 LOADING_TIP_2:0 "Радники не лише дають вам бонус від їхньої спеціалізації. Вони також підвищують вашу адміністративну, дипломатичну та військову силу."
 LOADING_TIP_3:0 "Поразка у війні та втрата кількох провінцій не є причиною завершувати гру. Ви можете все повернути, коли ворог ослабне."
 LOADING_TIP_4:0 "Необов'язково захоплювати всі ворожі провінції за одну війну.\nЄ багато часу для наступних воєн."
 LOADING_TIP_5:0 "Переконайтеся, що у вашої армії є лідер, перед тим як атакувати ворога. Армії без лідерів частіше програють і можуть бути повністю розбиті."
 LOADING_TIP_6:0 "Якщо ви не вибрали жодного підрозділу, то натиснувши ПКМ на провінції, ви відкриєте вікно дипломатії з цією державою."
 LOADING_TIP_7:0 "Переконайтеся, що у вас виготовлені претензії на ворожу провінцію. Потім буде швидше та дешевше перетворити її на національну."
 LOADING_TIP_8:0 "ПКМ на оповіщенні закриє його, SHIFT+ПКМ відключить його взагалі. Ви завжди можете увімкнути оповіщення знову в планувальнику."
 LOADING_TIP_9:0 "Остання пропозиція миру, яку ви надіслали в поточній війні, зберігається. Тому якщо ворог не приймає її зараз, дуже легко надіслати її знову."
 LOADING_TIP_10:0 "Наявність виготовленої претензії на 10% зменшить витрати і час на її націоналізацію."
 LOADING_TIP_11:0 "Не формуйте занадто багато дипломатичних стосунків.\nВи втрачатимете бали дипломатичної сили, якщо перевищите ліміт."
 LOADING_TIP_12:0 "Легкі кораблі є ключем для захисту торгових інтересів."
 LOADING_TIP_13:0 "Підвищення стабільності коштує певного числа адміністративної сили. Майте це на увазі, коли втрачатимете стабільність у ході події."
 LOADING_TIP_14:0 "Перша група ідей відкривається по досягненню 5 рівня адміністративних технологій."
 LOADING_TIP_15:0 "Цінуйте свої бали монарха. Вони дуже важливі\n для розвитку технологій та ідей."
 LOADING_TIP_16:0 "Втома від війни може бути зменшена за рахунок балів дипломатичної сили."
 LOADING_TIP_17:0 "Лідери можуть коштувати вам кілька балів військової сили щомісяця."
 LOADING_TIP_18:0 "Остерігайтеся надрозширення. Наявність великого числа не-національних провінцій може бути небезпечним."
 LOADING_TIP_19:0 "Торгівля не може бути перенаправлена далі кінцевих торгових вузлів – Венеції, Генуї та Ла-Маншу."
 LOADING_TIP_20:0 "ЛКМ на провінції відкриває її вікно. ПКМ на провінції відкриває вікно дипломатії з її власником."
 LOADING_TIP_21:0 "Фортеці прибережних провінцій під час облоги здаються швидше, якщо присутня блокада з моря."
 LOADING_TIP_22:0 "Ваш домашній торговий вузол приноситиме прибуток навіть без розташованого там купця."
 LOADING_TIP_23:0 "Повний контроль над світовими запасами якогось товару дає певні бонуси, які пов'язані з цим товаром."
 LOADING_TIP_24:0 "Провінції країн з розвиненою торгівлею дають більше торгової сили в торгових вузлах, до яких вони належать."
 LOADING_TIP_25:0 "Використовуйте реєстр для порівняння своєї економічної та військової сили з іншими державами."
 LOADING_TIP_26:1 "Коли рятуватимете фортеці з-під облог, ваше військо  під час бою буде вважатися оборонцем."
 LOADING_TIP_27:0 "Висока стабільність збільшує ваші шанси на успадкування держав, що знаходяться з вами в особистій унії."
 LOADING_TIP_28:1 "Не використовуйте всі адміністративні бали під час війни.\nВони можуть вам знадобитися для націоналізації захоплених провінцій."
 LOADING_TIP_29:0 "Усі торгові модифікатори зображено і описано у вікні торгівлі вашої країни."
 LOADING_TIP_30:0 "Ваші кораблі будуть виснажуватись у відкритому океані, поки ви не досягнете 22 рівня розвитку дипломатичних технологій."
 LOADING_TIP_31:0 "Вибирайте групу ідей з обережністю!"
 LOADING_TIP_32:0 "Націоналізація провінції коштує більше, коли ви маєте Втому від війни."
 LOADING_TIP_33:0 "Чим вища автономія ваших провінцій, тим менше від них надходить рекрутів і податків."
 LOADING_TIP_34:0 "Відправлення легких кораблів на захист торгових шляхів\n збільшує ваші морські традиції."
 LOADING_TIP_35:0 "Морські традиції збільшують ефективність перенаправлення торгівлі."
 LOADING_TIP_36:0 "Призначення лідера з маневреністю командувати флотом, який захищає торгові шляхи, збільшить його ефективність."
 LOADING_TIP_37:0 "Під час зими ваші війська виснажуватимуться більше."
 LOADING_TIP_38:0 "Число щомісячних підкріплень пов'язане з ціною утримання вашого війська."
 LOADING_TIP_39:0 "Правителі та спадкоємці, які командують арміями, можуть загинути в бою. Добре поміркуйте, перш ніж призначати їх на чолі війська!"
 LOADING_TIP_40:0 "Навіть невеликий бонус до облоги може значно скоротити її термін."
 LOADING_TIP_41:0 "Зменшення вартості набору військових одиниць також зменшує витрати на їхнє утримання."
 LOADING_TIP_42:0 "З часом витрати на радників збільшуються."
 LOADING_TIP_43:0 "Ви можете відкликати колоніста після утворення колонії. Це сповільнить зростання колонії, але дозволить колонізувати іншу провінцію."
 LOADING_TIP_44:0 "Перевищення обмеження на кількість колоній одразу збільшить вартість їхнього утримання."
 LOADING_TIP_45:0 "Не загарбуйте занадто багато землі одразу. Надрозширення означає, що проблеми не за горами!"
 LOADING_TIP_46:0 "Надрозширення збільшує витрати на підвищення стабільності."
 LOADING_TIP_47:0 "Низька релігійна єдність збільшить рівень заворушень у ваших провінціях."
 LOADING_TIP_48:0 "Заморські колонії не збільшують надрозширення,\nзавойовані міста – навпаки!"
 LOADING_TIP_49:0 "Блокування ворожих портів зашкодить не тільки їхнім прибуткам від провінцій, а й їхній торговій силі."
 LOADING_TIP_50:0 "Якщо ви берете гроші в борг або подовжуєте термін виплати боргу –  в державі збільшується інфляція."
 LOADING_TIP_51:0 "Найманці можуть бути корисними для збереження резерву рекрутів, якщо ви можете собі це дозволити."
 LOADING_TIP_52:0 "Збільшення автономії в провінції знизить рівень заворушень, але зменшить надходження податків."
 LOADING_TIP_53:0 "Вибір суперників шкодить вашим стосункам, але війна з ними принесе більше престижу та дозволить вам виготовити більше претензій на їхні землі."
 LOADING_TIP_54:0 "Контроль над провінціями у важливих торгових вузлах є життєво важливим для створення світової торгової імперії."
 LOADING_TIP_55:0 "Коаліції можуть бути дуже ефективним засобом протидії противнику, який вас переважає."
