l_ukrainian:
 # New Manchu culture
 manchu_new:0 "Maньчжуpcьк"
 manchu_culture_tt:0 "Усі §Yчжурчженьські§! провінції приймуть §Yмaньчжуpcьку§! культуру"
 changbai_mountain:0 "Гора Пектусан"
 desc_changbai_mountain:0 "Гора Пектусан має величезне духовне значення як для чжурчженів, так і для корейців. Гора, котра традиційно грає значну роль у легендах обох народів, є місцем величної краси."
 #Culture Shift
 sinicize_culture_title:0 "Китаїзувати нашу культуру"
 sinicize_culture_desc:0 "Наша культура – наша найбільша гордість. Наша мова — єдина у своєму роді, наші традиції та наша спадщина — стовпи нашого суспільства.\nПроте ми не можемо заперечувати вплив китайської мови та культури на нас протягом десятиліть – зараз більше, ніж будь-коли. Хоча не всі погодяться з цим рішенням, можливо, варто подумати про те, щоб китаїзувати нашу культуру, щоб створити більшу гармонію між [Root.Culture.GetName]им і китайським населенням в нашій країні."
 sinicize_culture_tt:0 "Кожна провінція з §Y[Root.Culture.GetName]ою§! культурою, яка не знаходиться в Новому Світі або в Океанії, належить [Root.GetTagOMU] або її суб'єктам."
 chinese_culture_group_dominates_in_country:0 "Одна з культур китайської групи §Yдомінує§! [Root.Get_UV] [Root.GetTagDE]."
 sinicize_culture_ct:0 "Усі провінції з §Y[Root.Culture.GetName]ою§! культурою стануть частиною §Yкитайської§! культурної групи."
 sinicize_mongols_ct:0 "Усі провінції з §Yмонгольською§!, §Yхорчинською§!, §Yхалкською§!, і §Yойратською§! культурами стануть частиною §Yкитайської§! культурної групи."
 vietnamese_new:1 "Китайсько-в'єтнамськ"
 korean_new:1 "Китайсько-корейськ"
 tibetan_new:1 "Китайсько-тибетськ"
 altaic_new:0 "Китайсько-алтайськ"
 # Manchu missions
 mch_great_wall_title:0 "Обійти Великий мур"
 mch_great_wall_desc:0 "Китайський імператор нерозсудливо вірить, що мур може захистити його від ворогів. Прямий напад був би ризикований, але є й інші способи обійти мур..."
 mch_eight_banners_title:0 "Вісім корогв"
