l_ukrainian:
 flavor_ter.1.t:0 "Прянощі мають текти неспинно"
 flavor_ter.1.desc:0 "Держава [Root.GetName] має великі амбіції щодо розширення, і вони починаються з навколишніх островів. Ми повинні вибрати місце для створення наступної [Root.GetAdjective]ої колонії."
 flavor_ter.1.a:0 "[648.GetName]."
 flavor_ter.1.b:0 "[644.GetName]."
 flavor_ter.1.c:0 "[647.GetName]."
 flavor_ter.1.d:0 "[2717.GetName]."
 flavor_ter.1.e:0 "[645.GetName]."
 flavor_ter.1.f:0 "[1245.GetName]."
 flavor_ter.1.g:0 "[ter_colony_province.GetName]."
 flavor_ter.1.h:0 "Потоки прянощів."
 flavor_ter.2.a:0 "[2693.GetName]."
 flavor_ter.2.b:0 "[632.GetName]."
 spice_defeat_rival_title:0 "Перемогти нашого суперника"
 spice_defeat_rival_desc:0 "Якщо ми хочемо створити імперію на Молуккських островах, ми повинні швидко діяти, щоб ліквідувати суперницькі королівства."
 spice_colony_1_title:0 "[Root.GetAdjective]а колонія"
 spice_colony_1_desc:0 "Наша перша колонія в стадії будівництва, перша з багатьох, котрі складуть нашу майбутню імперію. Ми повинні її захистити."
 spice_colony_2_title:0 "[Root.GetAdjective]е розширення"
 spice_colony_2_desc:0 "Створюється друга колонія, що наближає нас до наших цілей. Ми повинні допомогти їй рости."
 spice_colony_3_title:0 "[Root.GetAdjective]е домінування"
 spice_colony_3_desc:0 "Ми обрали місце для нашої третьої колонії. Якщо пощастить, вона стане ще найвеличнішою."
 spice_colony_modifier:0 "Імперія прянощів"
 desc_spice_colony_modifier:0 "Тепер у нас є кошти для створення додаткових колоній на Молуккських островах."
 spice_colony_province_modifier:0 "Колонія острова прянощів"
 desc_spice_colony_province_modifier:0 "Ми визначили цю провінцію як місце розташування нашої наступної колонії."
 spice_island_colony_tt:0 "Була обрана колонією острова прянощів"
 spice_export_spice_title:0 "Експорт гвоздики"
 spice_export_spice_desc:0 "Наша омріяна морська імперія значно зросла з часу свого заснування. Прийшов час затвердити наше панування на морях."
 spice_conquer_sulawesi_title:0 "Підкорити Сулавесі"
 spice_conquer_sulawesi_desc:0 "У нас є гроші та є кораблі. Час затвердити нашу військову могутність, почавши вторгнення на Сулавесі."
 mnd_peg_sadhuim_title:0 "Відбудувати Садхуїм"
 mnd_peg_sadhuim_desc:0 "Колись Садхуїм був столицею великого королівства Мон, яке правило багато століть тому. Ми повинні відбудувати місто і повернути йому колишню славу."
 mnd_peg_burma_trade_title:0 "Торгівля по Іраваді"
 mnd_peg_burma_trade_desc:1 "Ми затверджуємо панування над річковою торгівлею Іраваді, перевершуючи конкурентів та створюючи великий торговий флот."
 mnd_peg_sumatra_title:0 "Плацдарм на Суматрі"
 mnd_peg_sumatra_desc:0 "Якщо ми хочемо контролювати прибуткову торгівлю прянощами, ми повинні спочатку закріпитися в малайському світі. Ачех, край Суматри, була б відмінним місцем для висадки."
 mnd_peg_spice_trade_title:0 "Перевага в торгівлі прянощами"
 mnd_peg_spice_trade_desc:0 "Маючи надійну точку опори, ми можемо націлитися на найбагатші торгові порти в регіоні. Ми станемо володарями прянощів."
 mnd_peg_arakan_title:0 "Підкорити Аракан"
 mnd_peg_arakan_desc:0 "Султани Аракана займають хитке становище між нами та могутнім Бенгальським султанатом. Така ситуація навряд чи триватиме довго, тому ми повинні завоювати їх, перш ніж цей шанс з'явиться у Бенгалії."
 mnd_peg_bengal_title:0 "Вторгнутись до Бенгалії"
 mnd_peg_bengal_desc:0 "Бенгалія багата, густонаселена та престижна. Завоювання цієї землі усунуло б велику загрозу, в той же час значно зміцнивши нашу власну державу."
 mnd_peg_hariphunchai_title:0 "Відновити Харіпхунчай"
 mnd_peg_hariphunchai_desc:1 "До переселення тайців на півночі панувало монське королівство Харіпхунчай. Ми повинні відновити цю державу під своїм керівництвом."
 mnd_peg_dvarati_title:0 "Відвоювати Двараваті"
 mnd_peg_dvarati_desc:0 "Цивілізація Двараваті, що говорила на мові мон, раніше панувала в землях, де зараз керують тайці. Прийшов час для цієї давньої культури пережити відродження."
 mnd_peg_restore_the_mon_title:0 "Переселення монів"
 mnd_peg_restore_the_mon_desc:0 "Колись народ мон жив по всій Південно-Східній Азії, але тепер він скоротився до Нижньої Бірми. Ми повинні знову поширити нашу культуру."
 mnd_peg_ava_title:0 "Протистояти бурманцям"
 mnd_peg_ava_desc:0 "Тепер королівство Ава володіє тримає гегемонію над бірманами, а його могутність загрожує нашим землям. Ми повинні протистояти їхнім зусиллям і здобути гегемонію над містами південного Бамару."
 mnd_peg_irrawaddy_title:0 "Вгору по Іраваді"
 mnd_peg_irrawaddy_desc:0 "Ми стали досить сильними, щоб кинути виклик могутності Ави. Ми розпочнемо похід уздовж Іраваді та підкоримо собі бірманців."
 mnd_peg_pagan_title:0 "Помолитися в Пагані"
 mnd_peg_pagan_desc:0 "Нашими старими суперниками в Паганському царстві були вправні архітектори та побожні буддисти. Під час Ави їхні пагоди занепали, і ми повинні їх відновити."
 peg_pagan:0 "Паганські пагоди"
 desc_peg_pagan:0 "Архітектурні знання Паганського царства допомагають нам в наших будівельних проєктах."
 mnd_peg_golden_land_title:0 "Золота земля"
