l_ukrainian:
 NO_EDICT_PLAIN:0 "Немає едиктів"
 INCREASE_THEIR_LD:0 "\n\nЦе також збільшить їхнє §Yбажання свободи§! на §R$LD$%§!."
 THEY_GET:0 "Вони отримують:\n"
 ISOLATIONISM_DIFFERENCE:0 "Різниця $DIF|Y$ від нашого ізоляціонізму, обходиться нам:\n$EFFECTS$\n"
 ISOLATIONISM_SAME:0 "Загальний рівень власного ізоляціонізму дає нам:\n$EFFECTS$\n"
 TRIBUTARY_NOT_HORDE_OR_EASTERN_RELIGION:0 "Тільки імператор Піднебесної, держави східної релігійної групи або держави кочовиків можуть примушувати до данини."
 TRIBUTARY_IS_TRIBUTARY:0 "Данники не можуть примушувати до данини."
 TRIBUTARYTITLE:0 "Примусити до данини"
 TRIBUTARYDESC:0 "Запропонувати їм стати нашим данником."
 CANCELTRIBUTARYTITLE:0 "Припинити виплату данини"
 CANCELTRIBUTARYDESC:0 "Скасувати згоду виплати данини державою."
 TRIBUTARYNEWDESC:0 "Бажаєте запропонувати державі $COUNTRY|Y$ стати вашим §Yданником§!?\nЯк їхній сюзерен, ви будете отримувати від них щорічну данину у вигляді ¤, £adm£, £dip£, £mil£ або £icon_manpower£.\nВони, як і раніше, матимуть незалежні дипломатичні стосунки з іншими країнами.\nЯкщо вони будуть менш технологічно просунуті в порівнянні з нами, то вартість технологій для них буде знижена на $EFFECT$."
 BREAKTRIBUTARYNEWDESC:0 "Бажаєте припинити виплачувати данину державі $COUNTRY$? Це створить перемир'я між вашими країнами і негативно вплине на наші стосунки."
 TRIBUTARYREQDESC:0 "Держава $ACTOR$ пропонує нам стати їхнім данником."
 SELECT_TRIBUTE_TITLE:0 "Обрати данину"
 OVERLORD_CHANGED_TRIBUTE_TYPE:0 "Наш сюзерен §Y$OVERLORDNAME$§! тепер вимагає від нас щороку §Y$NAME$§! данини."
 ONLY_TRIBUTARY_CAN_SEND_TRIBUTE:0 "Тільки данники можуть відправляти данину."
 TRIBUTARYBREAKDESC:0 "Бажаєте розірвати угоду про данину з державою §Y$COUNTRY$§!? \nЦе погіршить наші стосунки та створить перемир'я між нами на наступні $TRUCE$ років."
 TRIBUTARYSUBJECTBREAKDESC:0 "Ви бажаєте розірвати нашу угоду про данину з країною §Y$COUNTRY$§!?\nЦе знизить нашу стабільність на §R$STAB$§! та погіршить наші стосунки."
 DEMAND_TRIBUTE_TYPE:0 "Вимагати §Y$TYPE$§! в данину."
 DEMAND_TRIBUTE_YEARLY_DESC:0 "Очікувана данина в кінці цього року складе $AMOUNT|Y$ $TYPE$."
 CURRENT_TRIBUTE_TYPE:0 "Ми вимагаємо §Y$TYPE$§! в данину."
 ASKFORTRIBUTARYDESC:0 "Запитати, чи можете ви стати їхнім данником."
 ASKFORTRIBUTARYNEWDESC:0 "Бажаєте запропонувати країні $OVERLORD|Y$ стати їхнім §Yданником§!?\n Якщо вони приймуть цю пропозицію, ми будемо зобов'язані щорічно передавати їм ¤, £adm£, £dip£, £mil£ або £icon_manpower£.\nМи, як і раніше, матимемо незалежні дипломатичні стосунки з іншими країнами.\nЯкщо держава $OVERLORD$ в порівнянні з нами буде технологічно просунутіша, то вартість технологій для нас буде знижена на $EFFECT$."
 ASKFORTRIBUTARYTRADELEAGUEWARNING:0 "§RМи будемо виключені з нашої Торгової Ліги!§!"
 ASKFORTRIBUTARYTITLE:0 "Стати їхнім данником"
