l_ukrainian:
 AI_CITY_STATE_NAME:0 "Місто $PROVINCE$"
 AI_CITY_STATE_ADJ:0 "$PROVINCE$"
 WOULD_DECREASE_OPINION_PER_PROVINCE_BY:0 "Їхнє ставлення до нас погіршиться на $VAL$ за провінцію але не сильніше, ніж на $LIMIT$."
 scaled_trade_league_leader:0 "Лідер Торгової Ліги (у залежності від числа членів)"
 in_trade_league:0 "Перебуває в Торговій Лізі"
 LEADS_TRADE_LEAGUE:0 "Очолює Торгову Лігу"
 ANOTHER_MAX_STATE:0 "Доступні інші володіння"
 GOV_MAX_STATES:0 "Максимум володінь: $NUM$"
 MAX_STATE_TITLE_TECH:1 "Управлінська здатність"
 MAKESTATE_NOT_CORE:0 "Провінція $NAME$ не національна.\n"
 STATE_MAINTENANCE_MODIFIER:0 "Утримання володінь"
 ECONOMY_STATE_MAINTENANCE_DRO:0 "Ми повинні щомісяця витрачати гроші на підтримку адміністративного апарату в своїх володіннях, якщо вони не є столичними. Розмір утримання залежить від загального розвитку й відстані до столиці."
 PROMOTE_MERCANTILISM:0 "Підняти меркантилізм"
 WATCH_TIMELINE:0 "Показати хронологію"
 CLOSE_TIMELINE:0 "Закрити хронологію"
 TIMELINE_NOT_WHILE_UNPAUSED:0 "§YНеможливо показати хронологію, якщо гра не стоїть на паузі.§!"
 TIMELINE_TITLE:0 "Хронологія історії"
 TIMELINE_SPEED_ALREADY:0 "Ця швидкість вже включена!"
 TIMELINE_SPEED_0:0 "Пауза"
 TIMELINE_SPEED_1:0 "Повільно"
 TIMELINE_SPEED_2:0 "Середньо"
 TIMELINE_SPEED_3:0 "Швидко"
 TIMELINE_SPEED_4:0 "Дуже швидко"
 HOSTILE_TITLE:0 "Інші держави мають картки на нас, що зменшує наш рахунок."
 HOSTILE_VICTORY_CARD_DESC:0 "§Y$AREA$§!: $COLOR$$SCORE$§!\n"
 TRADELEAGUE_WELEFT_VOLUNTARILY:0 "Ми вийшли за власним бажанням."
 TRADELEAGUE_WELEFT_GONE:0 "Нашої країни більше не існує."
 TRADELEAGUE_WELEFT_SUBJECT:0 "Ми не можемо бути частиною Ліги, оскільки є васалом."
 TRADELEAGUE_WELEFT_TOOLARGE:0 "Як рядовий член Ліги,\n ми не можемо володіти більш ніж однією провінцією."
 TRADELEAGUE_WELEFT_BADLEAD:0 "Ми більше не можемо бути лідером.\nОчолювати Лігу можуть тільки торгові республіки."
 TRADELEAGUE_WELEFT_TP:0 "Ми почали передавати торговельний вплив в розмірі\nto $TO|Y$ за межі Торгової Ліги."
 TRADELEAGUE_WELEFT_WAR:0 "Ми знаходимося з ними в стані війни."
 TRADELEAGUE_THEYLEFT_VOLUNTARILY:0 "Вони покинули Лігу за власним бажанням."
 TRADELEAGUE_THEYLEFT_GONE:0 "Їхньої країни більше не існує."
 TRADELEAGUE_THEYLEFT_SUBJECT:0 "Вони стали васалом, через що і покинули Лігу."
 TRADELEAGUE_THEYLEFT_TOOLARGE:0 "Вони занадто розрослися. Всі члени крім\nлідера зобов'язані мати не більше однієї провінції."
 TRADELEAGUE_THEYLEFT_BADLEAD:0 "Вони більш не можуть бути лідерами.\nОчолювати Лігу можуть тільки торгові республіки."
 TRADELEAGUE_THEYLEFT_TP:0 "Вони почали передавати торговельний вплив в розмірі\nto $TO|Y$ за межі Торгової Ліги."
 TRADELEAGUE_THEYLEFT_WAR:0 "Вони знаходяться з ними в стані війни."
 TRADE_LEAGUE_TOO_BACKWARDS:0 "Вони занадто примітивні."
 TRADE_LEAGUE_TOO_BIG:0 "Члени Торгової Ліги можуть мати не більше однієї провінції."
 TRADELEAGUE_LEADER:0 "Лідер Ліги: $LEADER|G$"
