l_ukrainian:
 refused_food_import:0 "Відмова від імпорту продовольства"
 desc_refused_food_import:0 "Відмова нашої нації понизити мито під час нестачі продовольства викликала обурення серед потерпілих"
 buying_american:0 "Купуйте американське"
 desc_buying_american:0 "Ми знизили мито, щоб дозволити ввіз товарів з наших американських колоній"
 importing_cocoa:0 "Імпорт какао"
 desc_importing_cocoa:0 "Великий об'єм імпорту какао й шоколаду тішить наше населення"
 importing_coffee:0 "Імпорт кави"
 desc_importing_coffee:0 "Великий об'єм імпорту кави робить людей щасливими й активними"
 importing_tea:0 "Імпорт чаю"
 desc_importing_tea:0 "Великий об'єм імпорту чаю тішить вищі шари суспільства"
 mercantilism_events.1.t:0 "Постачання їжі"
 mercantilism_events.1.d:0 "Нестача їжі в деяких частинах нашої країни стала причиною невдоволення серед [Root.GetAdjective]их людей торговою політикою, яка припиняє ввіз необхідних товарів. Народ вимагає зниження мит, сподіваючись, що вплив кризи буде зменшений шляхом купівлі їжі в більш забезпечених націй."
 mercantilism_events.1.a:0 "В цей нелегкий час життя важить більше за політику."
 mercantilism_events.1.b:0 "Ми повинні старатися бути самодостатніми, навіть якщо такими не є."
 mercantilism_events.2.t:0 "Імпортні товари конкурують із [Root.GetAdjective]ими"
 mercantilism_events.2.d:0 "Наші сусіди налагодили постачання своїх товарів з Нового Світу. Експорт з цих земель неухильно росте, і деякі товари стають дуже популярними.\n\nНаші сусіди відкрито підігрівають інтерес. Підбурюючи людей 'купувати американське', вони просувають імпорт з колоній, залишаючи наші власні товари поза конкуренцією, і залишають [Root.GetAdjective]их людей роботи. Ми можемо обмежити постачання, щоб запобігти згубному впливу дешевих продуктів."
 mercantilism_events.2.a:0 "Давайте подивимося, що можуть запропонувати колонії."
 mercantilism_events.2.b:0 "Ці вискочки не зможуть зробити нічого корисного."
 mercantilism_events.3.t:0 "Імпорт заліза"
 mercantilism_events.3.d:0 "Ми докладаємо всіх зусиль для забезпечення [Root.GetAdjective]ої армії їжею й спорядженням, але іноді виникають проблеми. Через відсутність багатих покладів заліза, деякі з наших планів з вдосконалення армії не будуть виконані згідно з термінами. Збільшення імпорту – приваблива пропозиція, але надія на іноземну підтримку може зробити нашу торгову політику залежною від інших... хоча встромити ножа у спину сусідові можна й з його власної сталі..."
 mercantilism_events.3.a:0 "Нам необхідно імпортувати залізо."
