l_ukrainian:
 FAVORSGAINED_TITLE: "Накопичено прихильність"
 FAVORSGAINED_SETUP: "Ми отримали прихильність за допомогу союзнику."
 FAVORSGAINED_HEADER: "Наш Канцлер повідомляє:"
 FAVORSGAINED_1: "Накопичено прихильність!"
 FAVORSGAINED_2: "Завдяки нашій неоціненній допомозі в їхніх війнах,"
 FAVORSGAINED_3: "прихильність держави $WHO$"
 FAVORSGAINED_4: "до нас зросла на $NUM|Y$."
 FAVORSGAINED_5: "Ми знайдемо хороше використання для них."
 FAVORSGAINED_6: ""
 FAVORSGAINED_LOG: "Прихильність держави $WHO$ до нас зросла на $NUM$."
 FAVORSGAINED_BTN1: "Гаразд"
 FAVORSGAINED_BTN2: "Гаразд"
 FAVORSGAINED_BTN3: "Перейти"
 VICTORYCARD_TITLE: "Victory Card"
 VICTORYCARD_SETUP: "When we get a new Victory Card!"
 VICTORYCARD_HEADER: "Наш Канцлер повідомляє:"
 VICTORYCARD_1: "Victory Card Gained!"
 VICTORYCARD_2: "Our goal is to control the entire area of"
 VICTORYCARD_3: "$AREA$."
 VICTORYCARD_4: "While we fully control and own the area's provinces as cores, score will"
 VICTORYCARD_5: "increase monthly, up to a maximum bonus of §Y$SCORE$§!."
 VICTORYCARD_6: ""
 VICTORYCARD_LOG: "$AREA$ is now an objective for us if we want to win the game."
 VICTORYCARD_BTN1: "Гаразд"
 VICTORYCARD_BTN2: "Гаразд"
 VICTORYCARD_BTN3: "Перейти"
 VICTORYCARD_MAP: "Card gained!" 
 FULL_VICTORYCARD_TITLE: "Victory Card Fullfilled"
 FULL_VICTORYCARD_SETUP: "When a Victory Card is fullfilled!"
 FULL_VICTORYCARD_HEADER: "Наш Канцлер повідомляє:"
 FULL_VICTORYCARD_1: "Victory Card Fullfilled!"
 FULL_VICTORYCARD_2: "We have now have the entire"
 FULL_VICTORYCARD_3: "$AREA$"
 FULL_VICTORYCARD_4: "cored and controlled. Soon we will get our full score bonus of §Y$SCORE$§!."
 FULL_VICTORYCARD_5: ""
 FULL_VICTORYCARD_6: ""
 FULL_VICTORYCARD_LOG: "$AREA$ is now granting us scpre"
 FULL_VICTORYCARD_BTN1: "Гаразд"
 FULL_VICTORYCARD_BTN2: "Гаразд"
 FULL_VICTORYCARD_BTN3: "Перейти"
 FULL_VICTORYCARD_MAP: "Card gained!"  
 FAILING_VICTORYCARD_TITLE: "Victory Card Failing"
 FAILING_VICTORYCARD_SETUP: "When a Victory Card is no longer valid!"
 FAILING_VICTORYCARD_HEADER: "Наш Канцлер повідомляє:"
 FAILING_VICTORYCARD_1: "Victory Card Failing!"
 FAILING_VICTORYCARD_2: "We no longer have full control over"
 FAILING_VICTORYCARD_3: "$AREA$."
 FAILING_VICTORYCARD_4: "Now we are losing the score we had accumulated on it."
 FAILING_VICTORYCARD_5: ""
 FAILING_VICTORYCARD_6: ""
 FAILING_VICTORYCARD_LOG: "$AREA$ is failing."
 FAILING_VICTORYCARD_BTN1: "Гаразд"
 FAILING_VICTORYCARD_BTN2: "Гаразд"
 FAILING_VICTORYCARD_BTN3: "Перейти"
 FAILING_VICTORYCARD_MAP: "Card gained!"
 ESTATEMOD_LOST_TITLE: "Модифікатор стану закінчив строк дії"
 ESTATEMOD_LOST_SETUP: "Сплив строк дії модифікатора стану."
 ESTATEMOD_LOST_HEADER: "Наш Канцлер повідомляє:"
 ESTATEMOD_LOST_1: "Сплив строк дії модифікатора стану!"
 ESTATEMOD_LOST_2: "$ESTATE|Y$ більше не піддаються"
 ESTATEMOD_LOST_3: "впливу модифікатора"
