l_ukrainian:
 ASSIMILATED_CULTURE_HEADER:0 "$TITLE|Y$"
 ASSIMILATED_CULTURE_NO_BENEFIT:0 "Асиміляція цієї культурної групи не дає жодних переваг."
 mughal_government_altaic_assimilated:0 "Туркменські стрільці"
 mughal_government_altaic_assimilated_desc:0 "Після нашого підкорення Центрально–Азійських степів туркменські стрільці влилися в наші армії. Наші вороги поховаються з переляку, коли зачують наші залпи!"
 mughal_government_baltic_assimilated:0 "Балтійська торгівля"
 mughal_government_baltic_assimilated_desc:0 "Зерно з Польщі, хутро з Росії – Балтійське море завжди гомоніло від кораблів, що торгують коштовними товарами. Через це його велике узбережжя вкрите багатьма добре розвиненими та багатими портами."
 mughal_government_british_assimilated:0 "Панування над хвилями"
 mughal_government_british_assimilated_desc:0 "Якщо є якась визначальна риса британського правління, то це панування на морі. Їхні кораблі та військо-морська тактика значно перевершують будь-які інші. З їхніми кораблями в нашому флоті ми повинні правити хвилями!"
 mughal_government_burman_assimilated:0 "Бірманське військове лідерство"
 mughal_government_burman_assimilated_desc:0 "Передбачається, що бірманське дворянство вивчає військове мистецтво протягом усього життя. Їхній досвід стратегії стане нам у пригоді."
 mughal_government_byzantine_assimilated:0 "Спадщина Риму"
 mughal_government_byzantine_assimilated_desc:0 "Багато держав приміряли на себе мантію Римської Імперії, і сприймалося це з різним ступенем легітимності. Чи станемо ми ще одним народом–завойовником, що взяв собі її ім'я?"
 mughal_government_carpathian_assimilated:0 "Чорні легіони Карпат"
 mughal_government_carpathian_assimilated_desc:0 "Довгий час правителі Карпатії в захисті своїх держав покладалися на постійні наймані армії. Тепер, коли найманці все ще присутні, але ніхто не платить за їхні послуги, ми можемо змусити їх знизити ціни."
 mughal_government_caucasian_assimilated:0 "Мамлюцькі раби"
 mughal_government_caucasian_assimilated_desc:0 "Кавказ вже давно є джерелом воїнів-рабів, мамлюків, на кшталт тих, що заснували перший Делійський султанат. Ми продовжимо цю практику і підпорядкуємо собі цих вояків."
 mughal_government_gaelic_assimilated:0 "Хоробрість горців"
 mughal_government_gaelic_assimilated_desc:0 "Люди з півночі Британських островів славляться своїм запеклим опором чужинцям і стійкістю до звичної тактики шоку і трепету. Тепер, коли вони під нашою владою, ми можемо використовувати їх у наших арміях та робити ще стійкішими."
 mughal_government_central_indic_assimilated:0 "Війна в джунглях"
 mughal_government_central_indic_assimilated_desc:0 "Густі джунглі та небезпечна погода характеризують центральні райони Індії. Корінні жителі знайшли спосіб не тільки тут вижити, але й багатіти. Ми повинні передати їхні знання нашим військовим, – це допоможе нам зберегти наші армії навіть у найскладнішій місцевості."
 mughal_government_east_asian_assimilated:0 "Конфуціанська бюрократія"
 mughal_government_east_asian_assimilated_desc:0 "Китайські держави тисячоліттями керувалися конфуціанською політичною філософією, створюючи ефективні адміністрації та забезпечуючи легітимність монарха. Попри очевидні помилки, елементи конфуціанської бюрократії можуть бути адаптовані для використання в нашому власному уряді."
 mughal_government_kongo_group_assimilated:0 "Конголезький релігійний синкретизм"
 mughal_government_kongo_group_assimilated_desc:0 "Завдяки конголезьким ліберальним поглядам на релігію місцеві панівні родини цілком готові платити данину могольському гарему."
 mughal_government_cushitic_assimilated:0 "Королівство пресвітера Йоана"
 mughal_government_cushitic_assimilated_desc:0 "Століттями Африканський ріг був бастіоном християнства. Легенда про пресвітера Йоана легітимізує тамтешні королівства в очах християн, а місцеві королі стверджують, що вони походять від біблійного царя Соломона. Ми можемо використовувати цю спадщину для просування нашої імперії та поширення нашої віри."
 mughal_government_dravidian_assimilated:0 "Південноіндійська промисловість"
 mughal_government_dravidian_assimilated_desc:0 "Південна Індія є домівкою для процвітаючих галузей з виробництва текстилю, спецій та коштовного каміння. Успіх цих галузей – не просто географічна випадковість, а результат складної мережі виробничих і торговельних зв'язків. Ми можемо багато чому навчитися в цієї системи й застосувати її до всієї нашої країни."
 mughal_government_african_assimilated:0 "Багатства суахілі"
 mughal_government_african_assimilated_desc:0 "Східне узбережжя Африки, де живуть народи Східного Банту, наповнене багатствами. Завдяки вже існуючим копальням місцевих жителів експлуатація цих цінних ресурсів буде простим завданням."
 mughal_government_east_slavic_assimilated:0 "Загальна військова повинність"
 mughal_government_east_slavic_assimilated_desc:0 "Східнослов'янські народи вміють збирати великі армії, які набагато більше, ніж інші держави. Вони досягають цього шляхом загальної військової повинності та озброєння нижчих класів, політики, якої ми здебільшого уникали. Можливо, у цього шляху є певні переваги."
 mughal_government_eastern_aryan_assimilated:0 "Східно-Індійське текстильне виробництво"
