l_ukrainian:
 muslim_dlc.EVTNAME1:0 "Рамадан"
 muslim_dlc.EVTDESC1:0 "Незабаром настане Рамадан, дев'ятий місяць нашого календаря, і мусульмани в усьому світі вже зараз готуються до посту. Він є одним з п'яти стовпів ісламу, і фардом (зобов'язанням) для всіх дорослих мусульман, за винятком мандрівників, вагітних жінок і хворих людей. Від світанку до заходу сонця забороняється їсти, пити, курити і займатися сексом. Це час духовних роздумів і вдосконалення, а також високої побожності. Жоден богобоязливий мусульманин не сміє ігнорувати Рамадан."
 muslim_dlc.EVTOPTA1:0 "Час поститися"
 muslim_dlc.EVTOPTB1:0 "Проігнорувати"
 muslim_dlc.EVTNAME2:0 "Ід аль-Фітр"
 muslim_dlc.EVTDESC2:0 "Ід аль-Фітр, або ж Свято розговіння, знаменує собою кінець Рамадану, і мусульмани з усього світу в цей час прагнуть до єдності. Деякі мусульмани вважають святкування фардом (зобов'язанням), інші - мустахаббом (бажаним для виконання, але не обов'язковим), або ж мандубом (рекомендованим). Всі мусульмани повинні вибачити будь-які образи, і забути всі суперечки, які мали місце протягом цього року."
 muslim_dlc.EVTOPTA2:0 "Організувати триденне святкування, і запросити всіх!"
 muslim_dlc.EVTOPTB2:0 "Організувати дводенне святкування"
 muslim_dlc.EVTOPTC2:0 "Організувати одноденне святкування"
 muslim_dlc.EVTNAME3:0 "Запрошення на Ід аль-Фітр"
 muslim_dlc.EVTDESC3:0 "Правитель держави $FROMCOUNTRY$ запросив нас на Свято розговіння, яке знаменує закінчення Рамадану. Святкування буде тривати три дні, і все що від нас потрібно, це вибачити образи і забути всі суперечки, які мали місце цього року."
 muslim_dlc.EVTOPTA3:0 "Чудово"
 muslim_dlc.EVTNAME4:0 "Хадж"
