l_ukrainian:
 DEVASTATION_FROM_MIGRATORY_TRIBE:1 "Племінний випас: $VAL|-2$\n"
 DEVELOPMENT_FROM_MIGRATORY_TRIBE:0 "Випас у провінції $PROV|Y$: $VAL|+3$\n"
 TRIBE_ADM_DEV:0 "$VAL|2$ £adm£"
 TRIBE_DIP_DEV:0 "$VAL|2$ £dip£"
 TRIBE_MIL_DEV:0 "$VAL|2$ £mil£"
 CAN_NOT_EXPLOIT_MIGRATORY_TRIBE:0 "§RПлемена, що мігрують не можуть зменшувати розвиток.§!"
 IMPPR_MIGRATORY_TRIBE:0 "§RПлемена, що мігрують не можуть розвивати провінції.§!"
 PROVINCE_TRIBAL_LAND:0 "Плем'я $OWNER|Y$ вважає провінцію $PROV|Y$ частиною своїх рідних земель."
 MIGRATE_PROVINCE_NOT_ADJECENT:0 "Провінція $PROV|Y$ не межує з вашим плем'ям."
 MIGRATE_PROVINCE_SETTLED:0 "Провінцію $PROV|Y$ вже заселяє плем'я $OWNER|Y$."
 PROVINCE_MIGRATE_TOOLTIP:0 "Мігрувати до провінції $PROV|Y$"
 MIGRATE_PROVINCE_NEED:0 "Необхідно $COST|Y$ $POWER|$ балів для міграції.\n"
 MIGRATE_PROVINCE_COST:0 "Коштує $COST|Y$ $POWER|$ балів\n"
 CONFIRM_MIGRATE:0 "Підтвердити міграцію"
 CONFIRM_MIGRATE_TEXT:0 "Бажаєте мігрувати до провінції $PROV|Y$?\n"
