l_english:
 ALT:0 "Алтамаха"
 ALT_ADJ:0 "Алтамахськ"
 ICH:0 "Ічисі"
 ICH_ADJ:0 "Ічиськ"
 COF:0 "Кофітачек"
 COF_ADJ:0 "Кофітачекськ"
 JOA:0 "Джоара"
 JOA_ADJ:0 "Джоарськ"
 ETO:0 "Етова"
 ETO_ADJ:0 "Етовськ"
 SAT:0 "Сатапо"
 SAT_ADJ:0 "Сатапськ"
 CIA:0 "Чіаха"
 CIA_ADJ:0 "Чіахськ"
 COO:0 "Куса"
 COO_ADJ:0 "Куськ"
 ABI:0 "Абіка"
 ABI_ADJ:0 "Абікськ"
 COW:0 "Ковета"
 COW_ADJ:0 "Коветськ"
 NTZ:0 "Натчез"
 NTZ_ADJ:0 "Натчезськ"
 CAQ:0 "Каскі"
 CAQ_ADJ:0 "Каскськ"
 ATA:0 "Атахачі"
 ATA_ADJ:0 "Атахачійськ"
 KSI:0 "Касіхти"
 KSI_ADJ:0 "Касіхтск"
 OEO:0 "Онеота"
 OEO_ADJ:0 "Онеотськ"
 ANL:0 "Анілко"
 ANL_ADJ:0 "Анілкоськ"
 NTC:0 "Накетош"
 NTC_ADJ:0 "Накетошськ"
 HNI:0 "Хасінай"
 HNI_ADJ:0 "Хасінайськ"
 MOH:0 "Могавки"
 MOH_ADJ:0 "Могавкськ"
 ONE:0 "Онайда"
 ONE_ADJ:0 "Онайдськ"
 ONO:0 "Онондаґа"
 ONO_ADJ:0 "Онондаґськ"
 CAY:0 "Кайюга"
 CAY_ADJ:0 "Кайюгськ"
 SEN:0 "Сенека"
 SEN_ADJ:0 "Сенекськ"
 TAH:0 "Тахонтаенрат"
 TAH_ADJ:0 "Тахонтаенратськ"
 ATT:0 "Аттігнавантан"
 ATT_ADJ:0 "Аттігнавантанськ"
 AGG:0 "Аттігингенонгнаак"
 AGG_ADJ:0 "Аттігингенонгнаакськ"
 ATW:0 "Аттівандарон"
 ATW_ADJ:0 "Аттівандаронськ"
