l_ukrainian:
 ALLOW_ATTACH:0 "Союзники\nможуть приєднуватися"
 DIPLO_ALLY_IN_WAR:0 "Союзник у війні: "
 DIPLO_COALITION_WAR:0 "Коаліційна війна: "
 DIPLO_ALLIANCE_WINNING_WAR:0 "Воєнний рахунок альянсу: "
 DIPLO_SEPARATE_PEACE:0 "Сепаратний мир: "
 TAG_IS_LESSER_SUBJECT:0 "Підданий $SUBJECT$ - $SUBJECTTYPE$ держави $OVERLORD$."
 TAG_IS_COLONIAL_SUBJECT2:0 "§Y$WHO$§! є колоніальною автономією держави §Y$TARGET$§!, їхнє бажання свободи становить §Y$VAL$%§!."
 SUBJECT_RELEASE_COLONY:0 "Надати незалежність колоніальній автономії"
 COLPROVNUM:0 "В них $NUMBER$ провінцій в $WHERE$."
 PUE_ideas:0 "Ідеї пуебло"
 PUE_ideas_start:0 "Традиції пуебло"
 PUE_ideas_bonus:0 "Амбіції пуебло"
 ancient_pueblo_legacy:0 "Спадщина пуебло"
 ancient_pueblo_legacy_desc:0 "Наші люди завжди жили на цій землі. Ми не можемо ні відмовитися від неї, ні забути хто ми є."
 adobe_architecture:0 "Саманна архітектура"
 adobe_architecture_desc:0 "Якщо використовувати засохлу глину в якості будівельного матеріалу, то ми зможемо побудувати міцні будинки."
 mesa_settlements:0 "Гірські поселення"
 mesa_settlements_desc:0 "Розташовуючи наші поселення на вершинах столових гір, куди можна потрапити тільки шляхом складного сходження, ми отримаємо більше шансів вижити під час нападу ворогів."
 cotton_weaving:0 "Ткацька бавовна"
 cotton_weaving_desc:0 "На відміну від наших сусідів, ми відкрили спосіб виготовлення хорошого якісного одягу з рослини, яка росте на нашій землі. Ми розбагатіємо, якщо будемо торгувати нею."
 kachina_dolls:0 "Ляльки качина"
 kachina_dolls_desc:0 "За допомогою ляльок качина ми можемо передавати дітям знання про духи та їх традиції. Цінності нашого суспільства будуть переходити з покоління в покоління."
 clown_societies:0 "Товариство клоунів"
 clown_societies_desc:0 "Ми повинні створити товариство для підтримки мистецтва і традицій клоунів, які надягають маски качина для зображення духів у церемоніях. Наші люди будуть пам'ятати свою історію, а напруженість у суспільстві послабиться."
 legend_of_cibola:0 "Легенда про Сиболу"
 legend_of_cibola_desc:0 "Наші гості, побачивши здалеку наші міста на столових горах, можуть прийняти глинобитні стіна за золоті. Наш народ буде пишатися цим."
 colonial_nation.EVTOPTB4:0 "Його потрібно стратити!"
