l_ukrainian:
 LIBERTY_DESIRE_CURRENT:0 "Бажання свободи: §Y$VAL$%§!"
 LIB_OUR_TARIFF:0 "Ми платимо §Y$VAL$%§! свого прибутку у вигляді мита метрополії $MOTHER$, і якщо мито більше за наше бажання свободи, то бажання щороку збільшується на §G+$INC$%§!."
 LIBERTY_DESIRE_CURRENT_DESC:0 "Бажання свободи показує бажання колонії стати незалежною. Мито призводить до збільшення цього бажання з часом."
 LIBERTY_DESIRE_CURRENT_LIMITS:0 "Бажання свободи показує бажання колонії стати незалежною. Колонія може підняти повстання, якщо їхнє бажання свободи перевищить §Y$VAL$%§!"
 INCREASE_TARIFFS:0 "Збільшення мита"
 INCREASE_TARIFFS_DESC:1 "Витративши $POINTS|R$ $TYPE$, ми збільшимо мито на $TARIFFS|%0G$ (зараз коштує $WORTH|Y$¤ щомісяця). Це також підвищить бажання свободи в державі $COUNTRY|Y$ на §R$LIBERTY|0$%§!."
 INCREASE_TARRIF_MAX:0 "Це вже максимальний рівень мита."
 INCREASE_TARIFFS_NO_POWER:0 "Вам необхідно §Y$VAL$§! $TYPE$ для збільшення мита."
 DECREASE_TARIFFS:0 "Зниження мита"
 DECREASE_TARIFFS_DESC:1 "Витративши $POINTS|R$ $TYPE$, ми понизимо мито на $TARIFFS|%0G$ (зараз коштує $WORTH|Y$¤ щомісяця). Це також знизить бажання свободи в державі $COUNTRY|Y$ на §G$LIBERTY|0$%§!."
 DECREASE_TARRIF_MAX:0 "Це вже мінімальний рівень мита."
 DECREASE_TARIFFS_NO_POWER:0 "Вам необхідно §Y$VAL$§! $TYPE$ для зниження мита."
 SUBJECT_INHERITANCE_CHANCE:0 "Шанс успадкування після смерті монарха: $VAL|+%$"
 SUBJECT_BREAK_CHANCE:0 "Шанс розірвання унії після смерті монарха: $VAL|-%$"
 COLONIAL_OVERLORD:0 "Є колонією держави $LIST$"
 COLONIAL_SUBJECTS:0 "Має колонії $LIST$"
 COLONIAL_SUBJECT_OF:0 "Колонія держави $LORD$"
 SUBJECT_COLONY_TARIFF_EFFICIENCY:0 "Ефективність мита §Y$VAL$%§!$VAL2$."
 SUBJECT_COLONY_TARIFF:0 "§Y$NAME$§! щомісяця платить нам §Y$VAL$§!¤."
 SUBJECT_COLONY_TARIFF_DESC:0 "Колонії передають частину своїх прибутків метрополії (в залежності від рівня мита). Розмір оплати можна збільшити, але це може викликати бунт у колоніях."
