l_ukrainian:
 took_on_debt:0 "Взяв позику"
 great_power_influence:0 "Вплив Великої Держави"
 forced_break_alliance:0 "Змусив розірвати союз"
 in_same_trade_league:0 "В одній Торговій лізі"
 consort_marriage_ties:0 "Шлюбні вузи Консорта"
 rejected_alliance:0 "Відхилений альянс"
 selfish_ally:0 "Не було захоплених національних провінцій або претензій під час миру."
 opinion_enforced_religious_unity:0 "Насильницьке навернення"
 pro_pragmatic_sanction:0 "Прибічник прагматичної санкції"
 anti_pragmatic_sanction:0 "Супротивник прагматичної санкції"
 eng_tolerates_lollards:0 "Потурає лоллардам"
 eng_no_english_in_france:0 "Немає англійських земель у Франції"
 accepted_supremacy_of_rome:0 "Приймає верховенство Папи Римського"
 eng_tolerates_religious_freedom:0 "Допускає релігійну свободу"
 eng_captain_jenkins_incident:0 "Інцидент з вухом Дженкінса"
 accepted_meuthen_agreement:0 "Прийнято Метуенський договір"
 denounced_meuthen_agreement:0 "Скасовано Метуенський договір"
 eng_harsh_punishment_of_catholics:0 "Суворі покарання католиків"
 eng_support_during_war_of_the_roses:0 "Підтримка у Війні Троянд"
 eng_supported_rebels_during_war_of_the_roses:0 "Підтримали бунтівників у Війні Троянд"
 eng_didnt_support_rebels:0 "Не підтримали бунтівників у Війні Троянд"
 swe_supports_the_union:0 "Підтримка Унії"
 swe_renounced_the_union:0 "Відмова від Унії"
 swe_rejected_the_kalmar_recess:0 "Відкинули продовження Кальмарської Унії"
 swe_honored_the_kalmar_recess:0 "Підтримали продовження Кальмарської Унії"
 swe_claims_skane:0 "Претензія на Сконе"
 swe_claims_gotland:0 "Претензія на Готланд"
 swe_reconverted_to_catholisism:0 "Повернення до католицизму"
 swe_political_alignment:0 "Політичний союз"
 rus_sacked_moscow:0 "Розорення Москви"
 rus_orthodoxy_led_from_moscow:0 "Москва – центр православ'я"
 rus_ignored_vassal_demands:0 "Ігнорують вимогу данини"
 rus_paid_vassal_respect:0 "Визнали себе васалами"
 rus_paid_vassal_tribute:0 "Виплачують данину"
 rus_treaty_of_nerchiinsk:0 "Нерчинський договір"
 rus_refused_treaty_of_nerchiinsk:0 "Нерчинський договір відхилено"
 rus_claimed_western_siberia:0 "Претензії на Західний Сибір"
 rus_political_aggressions:0 "Агресор"
 rus_enemy_of_sweden:0 "Ворог Швеції"
 rus_claimed_courland:0 "Претензія на Курляндію"
 rus_did_not_claim_courland:0 "Немає претензії на Курляндію"
 rus_rejected_anjala_league:0 "Відхилили Ан'яльський союз"
 rus_received_grand_embassy:0 "Прийняли Велике Посольство"
 rus_rejected_grand_embassy:0 "Не прийняли Велике Посольство"
 rus_invited_to_study_institutions:0 "Запропонували навчання"
 rus_overthrow_dimitri:0 "Повалили Дмитра"
 spa_iberian_wedding:0 "Іберійське весілля"
 spa_iberian_wedding_negative:0 "Іберійське весілля"
 spa_declined_iberian_wedding:0 "Відхилили Іберійське весілля"
 spa_ceded_malta:0 "Поступилися Мальтою"
 spa_ceded_malta_pap:0 "Поступилися Мальтою Іоаннітам"
 spa_refused_ceding_malta:0 "Не поступилися Мальтою Іоаннітам"
 spa_supported_rebels:0 "Підтримка бунтівників"
 claimed_italy:0 "Претензія на Італію"
 fightinginside_realm:0 "Незаконна війна всередині королівства"
 catholic_obstructing_church:0 "Втручаються в церковні справи"
 opinion_irritated:0 "Роздратований"
 opinion_gossip:0 "Плітки"
 opinion_daimyo_gift:0 "Дорогоцінний подарунок"
 opinion_insulted:0 "Ображений"
 opinion_amused:0 "Задоволений"
 opinion_evil_gossip:0 "Поширює злі плітки"
 opinion_ninja_attack:0 "Атака ніндзя"
 opinion_grateful:0 "Вдячний"
 opinion_angry:0 "Злий"
 opinion_confront_spies:0 "Протистоїть шпигунам"
 opinion_traitor:0 "Зрадник"
 opinion_wokou:0 "Проклятий пірат"
 opinion_left_in_peace:0 "Залишив у спокої"
 opinion_pleased_apology:0 "Задоволений вибаченням"
 opinion_displeased:0 "Невдоволений"
 opinion_loyal_to_king:0 "Вірний монархові, а не церкві"
 opinion_loyal_to_pope:0 "Вірний церкві, а не монархові"
 opinion_japan_discovered:0 "Відкриття Японії"
 opinion_dynastic_helper:0 "Допомогли нашій сім'ї"
 opinion_ignore_dynasty:0 "Не допомогли нашій сім'ї"
 opinion_marriage_offer:0 "Дружба двох сімей"
 opinion_witchcraft:0 "Чаклунство"
 opinion_united_dynasties:0 "Поєднання династій"
 opinion_refused_marriage:0 "Відмовився від пропозиції шлюбу"
