l_english:
 ###ETH FLAVOR EVENTS###
 flavor_eth.29.t:0 "The Itinerant Capital of [Root.GetName]"
 flavor_eth.29.desc:1 "[Root.GetName]'s capital was never constant as the Negusa Nagasts of [Root.GetName] moved their court to the areas they saw necessary. While this system ensured that the local area around the new capital was under Solomonic thumb, the remaining provinces of [Root.GetName] were mostly autonomous, resulting in a loss of control of these areas."
 flavor_eth.29.a:0 "Гаразд."
 flavor_eth.30.t:0 "Establishment of a Permanent Capital"
 flavor_eth.30.desc:0 "[Root.Monarch.GetTitle] [Root.Monarch.GetName] modernized the state of [Root.GetName] and founded the first capital in [Root.Capital.GetName] in the year [GetYear]. Additionally, [Root.GetSheHe] resolved the religious arguments, which dragged important decisions out, and centralized the government. [Root.Monarch.GetHerHisCap] achievements will be remembered in [Root.GetAdjective] history forever."
 flavor_eth.30.a:0 "Finally. Itinerant capitals are no more."
 flavor_eth.30.b:0 "I like the moving capital though."
 flavor_eth.33.t:0 "Opening of the Ark of the Covenant"
 flavor_eth.33.desc:1 "Over thousands of years nobody opened the real Ark of the Covenant. Because of that, the content of the Ark has been a mystery for the usual believer and even for the clergy this event is one of its kind. To reduce potential panic in the nation, [Root.Monarch.GetName] decided to open this legendary artifact in the palace, far away from the prying eyes of the masses.\nWhen our graceful [Root.Monarch.GetTitle] and [Root.Monarch.GetHerHis] close ones opened the gold-covered wooden chest, they found what had been promised: two ancient stone tablets of the Ten Commandments as well as Aaron's rod and a pot of manna. It wasn't the most spectacular event, but it was one of devotion. After confirming the authenticity of these artifacts, the clergy placed them back into the chest and hid the Ark of the Covenant again.\n\nDays have passed from this event and ever since many activities have felt more ... easy for our [Root.Monarch.GetTitle]. It is as if God himself blessed our glorious dynasty and the fortune of our nation!"
 flavor_eth.33.a:0 "May God the Father bless us, may Christ take care of us!"
 flavor_eth.35.t:0 "The Subjects of [Root.GetName]"
 flavor_eth.35.desc:1 "Damot and Hadiya have been vassals of our glorious [Root.GovernmentName] for over 100 years. While their contribution in the form of tribute has served us well, many at [Root.Monarch.GetName]'s court argue that their time has come to fully join [Root.GetName]. In the end, it is up to our good [Root.Monarch.GetTitle] to decide what shall happen with these two nations."
 flavor_eth.35.a:0 "They shall become part of our nation!"
 flavor_eth.35.b:0 "They are more useful as vassals."
 flavor_eth.37.t:0 "Restoration of Християнство in Suakin"
 flavor_eth.37.desc:0 "Although the city submitted to the Mamluks in 1317, many still believed that the city remained a center of Християнство. This changed when more and more Muslim immigrants settled in Suakin. Over time, the last remaining Christians - our brothers and sisters in faith - vanished into the shadows. But these times are now over as Suakin is finally part of a true Christian [Root.GovernmentName] again and many hidden Copts returned to the light of the day!"
 flavor_eth.37.a:0 "Blessed be these souls!"
 flavor_eth.38.t:0 "Adulis, the Great Port of Aksum"
 flavor_eth.38.desc:1 "Walls made out of sandstone and empty, rugged streets decorate the ruins of a city, which used to be the crown jewel of an ancient Empire. For our ancestors, it would have been a saddening view. - until they see what the proud and diligent workers of [Root.GetName] created! Within an amazingly short amount of time, our constructors and builders restored the port city to its former beauty and many of our people are settling in this city!"
 flavor_eth.38.a:0 "And this time, Adulis shall live for far longer!"
 flavor_eth.39.t:0 "Surpassing of the Aksumite Borders"
 flavor_eth.39.desc:1 "Originally, the Aksumite Empire only had the Nubian region, North Ethiopian areas and the southern coast of Arabia. Borders which are no match to ours! [Root.Monarch.GetName] lead our [Root.GovernmentName] to many successful battles and to campaigns of war and now we not only have achieved the restoration but even the surpassing of an empire which fell over 400 years ago!\nWith these massive campaigns of conquest, many of our nobles plead for an official return to the name "Aksumite Empire" in order to show the world our strength of reviving an ancient realm. On the other hand, [Root.Monarch.GetName]'s advisers recommend that we start looking into the future. How shall our beloved [Root.Monarch.GetTitle] decide?"
 flavor_eth.39.a:0 "We should take the mantle of the Aksumite Empire!"
 flavor_eth.39.b:0 "The advisers are right. We have to make our own footprints on this world!"
 flavor_eth.40.t:0 "The Kingdom Semien"
 flavor_eth.40.desc:2 "Back in the days when the Aksumite Empire ruled over these lands, there was a group of Jews, who refused to follow the true faith. They resisted Ezana's religious declaration and assembled revolts against the rightful emperor. Centuries later, the Jewish queen Gudit levied an army and destroyed the Aksumite Empire for good.\nThis all is long in the past, but the Beta Israeli remained a troublesome group - even for [Root.GetName]. We can try to convert them to [Root.Religion.GetName] though we will face heavy resistence from the Beta Israeli."
 flavor_eth.40.a:1 "Show them the way of the [Root.Religion.GetName] faith."
 flavor_eth.40.b:1 "We should not create a bigger rift between our people."
 flavor_eth.41.t:1 "The Journey over the Nile"
 flavor_eth.41.desc:1 "Usually most of our ambassadors travel by foot to Egypt and then take the next best boat to reach Europe. However, sometimes people grow bold and try different ways to reach a destination. Our current ambassador is one of them as he took a few galleys from our mighty fleet and traveled with them over the Nile. Fortunately for the ambassador, the Lord protected him from the danger of the great river and the infidels in the North and guided him to the Mediterranean Sea."
 flavor_eth.41.a:0 "I didn't think he would come so far."
 flavor_eth.42.t:0 "Contact with the Christians!"
 flavor_eth.42.desc:1 "After an additional 50 days of travel, the ambassador reached his goal: contact with the Christians of Europe! Although their views are quite heretical to us, our diplomats are just glad to be in contact with the outside world yet again. Additionally, these 'Catholics' share our ambition for a crusade against the Muslim threat, which makes them potential allies."
 flavor_eth.42.a:0 "God bless this ambassador and our new-found allies!"
 flavor_eth.43.t:0 "A strange Ambassador"
 flavor_eth.43.desc:1 "Our guards found a strange group of three galleys heading directly towards Rome this morning. After the men on the galleys confirmed that they were coming in peace, the interception fleet let them pass. Apparently, these people are fellow Christians and they are guarding a strange ambassador, who claims to have sailed the long way from Ethiopia over the mighty Nile.\nThe ambassador is here to restore the old contact between [From.GetName] and the Roman Empire!"
 flavor_eth.43.a:1 "Ethiopia? One moment... is he a servant of Prester John?!"
 flavor_eth.43.a.tt:0 "Discover all provinces from §Y[From.GetName]§!."
 flavor_eth.44.t:0 "Alliance with the Portuguese?"
 flavor_eth.44.desc:1 "[Root.GetName] had contact with the Portuguese before, but we never desired an alliance with them. But due to the circumstance that heathens are breathing down our neck and that the Catholic Pope is incapable of being helpful, our diplomats figured that it is a good idea to ally with the Portuguese. Our ambassador is only waiting for [Root.Monarch.GetName]'s command!"
 flavor_eth.44.a:0 "Sail, my son, and make them our alliance offer!"
 flavor_eth.44.b:0 "On a second thought... [Root.GetName] stands better without them."
 flavor_eth.45.t:0 "[From.GetName]'s Alliance Request"
 flavor_eth.45.desc:1 "A young diplomat from a foreign land reached the court of [Root.Monarch.GetTitle] [Root.Monarch.GetName] and wishes for an audience! Apparently, the man is coming from the ancient land of [From.GetName]. As fellow Christians, he was sent to offer an alliance with us.\nWhile we are too far away from [From.GetName] to receive any beneficial help within Europe, [From.GetName] might still be a useful ally for our ambitions in the Indian Ocean."
 flavor_eth.45.a:0 "We should accept their offer."
 flavor_eth.45.a.at:0 "§Y[From.GetName]§! will receive access to the §YPortuguese Musketeers§! mercenary company if they get into a war with [ADA.GetName] and if [ADA.GetName] receives aid themselves."
 flavor_eth.45.b:0 "They might be useful, yes, but there are better allies than [From.GetName]."
 flavor_eth.46.t:0 "[From.GetName] accepts the Alliance"
 flavor_eth.46.desc:0 "Our diplomat returns! With a glance of excitement in his eyes for achieving his first successful mission, he reports that the Portuguese are accepting the offer and wish to be our ally!"
 flavor_eth.46.a:1 "This is wonderful news!"
 flavor_eth.46.a.at:0 "§Y[From.GetName]§! will aid us in our war with [ADA.GetName] should [ADA.GetName] receive foreign aid themselves."
 flavor_eth.47.t:0 "[From.GetName] refuses the ALliance"
 flavor_eth.47.desc:1 "Our diplomat returns! The look of the young man is one of disappointment. He reports that the Portuguese have no interest in an alliance with [Root.GetName] and sent our diplomat packing!"
 flavor_eth.47.a:1 "Don't worry. You gave your best. It's their loss, not ours."
 flavor_eth.48.t:0 "Modernization of an Army"
 flavor_eth.48.desc:0 "Thanks to the efforts of [Root.Monarch.GetTitle] [Root.Monarch.GetName], our armies were able to modernize. Our troops have fully embraced the westernization of their fighting abilities!\nThey learned the strategies of the French Grande Armée.\nThey endured Prussian training.\nThey received Swiss guns.\nAnd now they are ready to fight for the glory of [Root.GetName]!"
 flavor_eth.48.a:0 "Glory to [Root.GetName]!"
 flavor_eth.49.t:0 "Support of the Ottoman"
 flavor_eth.49.desc:0 "In the great Ethiopian-Adal war in 1529, the Ottoman joined an alliance with the Sultanate Adal in order to defeat the Ethiopian Empire and to extinguish the last Christian bastion in the Horn of Africa. Although it wasn't a full blown war for the Ottomans, they supported Adal with several companies of Turkish soldiers."
 flavor_eth.49.ada.desc:0 "The war between [Root.GetName] and [ETH.GetName] rages on. Neither side seems to be a clear winner and at few fronts the [Root.GetAdjective] troops are even getting pushed back. Fortunately, we have prepared for this day. Turkish elite soldiers from Anatolia arrived in [Root.GetName] to join the fight against the Christian threat!"
 flavor_eth.49.a:0 "Blessed be the Ottomans for their help!"
 flavor_eth.49.a.tt:0 "Enables the §YOttoman Janissaries§! Mercenary Company."
 flavor_eth.50.t:0 "Support of the Portuguese"
