l_ukrainian:
 mil_tech_cost_modifier:0 "Вартість військ. технологій"
 adm_tech_cost_modifier:0 "Вартість адм. технологій"
 dip_tech_cost_modifier:0 "Вартість дип. технологій"
 MODIFIER_MAY_ATTACK_GOVERNMENT_ENEMIES:0 "Постійний Casus Belli проти інших типів правління."
 MODIFIER_MAY_ATTACK_PRIMITIVES:1 "Може фабрикувати претензії на заморські провінції в колоніальних регіонах."
 MODIFIER_MAY_ATTACK_OVERSEAS:1 "Може фабрикувати претензії на заморські провінції в регіонах торгових компаній."
 MAY_ATTACK_RELIGIOUS_ENEMIES:0 "Постійний Casus Belli проти чужовірців та єретиків з якими ми межуємо."
 MODIFIER_MAY_EXPLORE:0 "Дозволяє вербувати мореплавців та землепрохідців."
 MAY_PERFORM_SLAVE_RAID:0 "Дозволяє рейдити узбережжя"
 MODIFIER_MAY_SIBERIAN_FRONTIER:0 "Дозволяє встановлювати сибірське порубіжжя"
 MODIFIER_COAST_CAN_NOT_BE_RAIDED:0 "Імунітет до рейдів"
 MODIFIER_MAY_PERFORM_SLAVE_RAID:0 "Дозволяє рейдити узбережжя"
 MODIFIER_MAY_PERFORM_SLAVE_RAID_ON_SAME_RELIGION:0 "Дозволяє рейдити узбережжя, включно з узбережжям держав з тою ж релігією."
 MODIFIER_MAY_REPAIR_SEA:0 "Кораблі можна ремонтувати в прибережних зонах."
 MODIFIER_MAY_SEA_REPAIR:0 "Кораблі можна ремонтувати в прибережних зонах."
 MODIFIER_NO_RELIGION_PENALTY:0 "Єретичні та чужовірні провінції не дають жодних штрафів."
 MODIFIER_AUTO_EXPLORE_ADJACENT_TO_COLONY:0 "Після того, як збудовано колонію, автоматично відкриваються прилеглі до неї провінції."
 REDUCED_NATIVE_ATTACKS:0 "Атаки тубільців суттєво зменшено, а зниження вартості розвитку від тубільців збільшено на §G100%§!."
 REDUCED_NATIVE_ATTACKS_BONUS:0 "Зниження вартості розвитку збільшено на $VAL$ завдяки нашим національним ідеям."
 MAY_REDUCE_INFLATION:0 "Можливість безпосереднього зниження інфляції."
 MODIFIER_REDUCED_STAB_IMPACTS:0 "Зниження впливу дипломатичних дій на стабільність."
 MODIFIER_EXTRA_MANPOWER_AT_RELIGIOUS_WAR:0 "Трикратне збільшення рекрутів під час релігійних війн."
 MODIFIER_CLAIM_COLONIES:0 "Можна фабрикувати претензії на заморські землі інших націй у будь-яких колоніальних регіонах та на землі їхніх колоніальних автономій."
 CLAIM_TRADE_COMPANIES:0 ""
 MAY_SABOTAGE_REPUTATION:0 "Можна підривати репутацію"
 MAY_SABOTAGE_RECRUITMENT:0 "Можна зривати вербування\n"
 MAY_SLANDER_MERCHANTS:0 "Можна обмовляти купців\n"
 MAY_CORRUPT_OFFICIALS:0 "Можна підкупляти чиновників\n"
 MAY_SOW_DISCONTENT:0 "Можна розпалювати невдоволення"
 MAY_STEAL_MAPS:0 "Можна красти мапи"
 MODIFIER_MAY_STEAL_MAPS:0 "Можна красти мапи"
 MAY_INFILTRATE_ADMINISTRATION:0 "Можна проникати в адміністрацію"
 NO_COST_FOR_REINFORCING:0 "Безкоштовне поповнення війська"
 MAY_STUDY_TECHNOLOGY:0 "Доступний технологічний шпіонаж"
 MAY_AGITATE_FOR_LIBERTY:0 "Можна агітувати за свободу"
 MAY_RECRUIT_FEMALE_GENERALS:0 "Можна наймати командувачів жіночої статі"
 MODIFIER_MAY_RECRUIT_FEMALE_GENERALS:0 "Можна наймати командувачів жіночої статі"
 MAY_FORCE_MARCH:0 "- Дозволяє віддавати накази арміям на §Yфорсований марш§!, збільшуючи їхню швидкість за рахунок £mil£."
 POWER_INCREASE:0 "Щомісячний приріст: $TOTAL|+=$\nчерез\nбазове значення: $BASE|Y$\n"
 MONARCH_POWER_INFO:1 "$TYPE$ навички правителя $NAME$: $INCREASE|+=$\n"
 MAX_POWER_STORE:0 "Ви можете зберігати тільки $MAX$ балів."
 MONARCH_ABILITY_MODIFIED_BY:0 "Під час створення наші монархи отримують такі бонуси до їхнього уміння в цій категорії:\n$DESC$"
 CARAVAN_POWER:0 "Сила караванів"
 CARAVAN_POWER_DESC2:1 "Сухопутні каравани збільшують нашу торгову силу на $VALUE|Y$, основу якої становить третина вашого розвитку ($BASE|Y$)та модифікаторів політик та ідей ($MODIFIER$)."
