l_english:
 DLC_dlc001_TOOLTIP_INSTANT:0 "100 Years War Unit Pack"
 DLC_dlc001_TOOLTIP_DELAYED:0 "- Unique tier 1 unit models for 11 countries in France and Britain"
 DLC_dlc002_TOOLTIP_INSTANT:0 "Horsemen of the Crescent Unit Pack"
 DLC_dlc002_TOOLTIP_DELAYED:0 "- Унікальні моделі кавалерії для османів, Персії та мамлюків"
 DLC_dlc003_TOOLTIP_INSTANT:0 "Winged Hussars Unit Pack"
 DLC_dlc003_TOOLTIP_DELAYED:0 "- Унікальні моделі кавалерії для Литви, Польщі та Росії"
 DLC_dlc004_TOOLTIP_INSTANT:1 "Star and Crescent Content Pack"
 DLC_dlc004_TOOLTIP_DELAYED:0 "- 28 нових подій\n- 64 тематичних зображень для подій\n- 3 нові рішення"
 DLC_dlc005_TOOLTIP_INSTANT:0 "American Dream"
 DLC_dlc005_TOOLTIP_DELAYED:0 "Новий контент для Сполучених Штатів, що включає\n- 57 нових подій\n- 10 тематичних зображень для подій\n- Нові моделі військ 3 і 4 рівня для Сполучених Штатів"
 DLC_dlc006_TOOLTIP_INSTANT:0 "Purple Phoenix"
 DLC_dlc006_TOOLTIP_DELAYED:0 "Новий контент для Візантії, що включає\n- 16 нових подій\n- 16 new missions\n- 13 тематичних зображень для подій\n- 4 нові моделі військ для Візантії"
 DLC_dlc007_TOOLTIP_INSTANT:1 "Національні монументи"
 DLC_dlc007_TOOLTIP_DELAYED:0 "- 8 нових об'єктів, видимих на карті місцевості"
 DLC_dlc008_TOOLTIP_INSTANT:0 "Conquest of Constantinople Music Pack"
 DLC_dlc008_TOOLTIP_DELAYED:0 "- 3 нові треки для Візантії та Османів"
 DLC_dlc009_TOOLTIP_INSTANT:1 "Національні монументи II"
 DLC_dlc009_TOOLTIP_DELAYED:0 "- 11 нових об'єктів, видимих на карті місцевості"
 DLC_dlc010_TOOLTIP_INSTANT:0 "Завоювання раю"
 DLC_dlc010_TOOLTIP_DELAYED:0 "- Можливість створювати та грати в випадковому новому світі\n- Розширена та нова механіка для корінних американців\n- Грати за колоніальну націю"
 DLC_dlc011_TOOLTIP_INSTANT:0 "Conquistadors Unit Pack"
 DLC_dlc011_TOOLTIP_DELAYED:0 "- 16 нових моделей військ ддля іспанців та португальців у Новому Світі"
 DLC_dlc012_TOOLTIP_INSTANT:0 "Native Americans Unit Pack"
 DLC_dlc012_TOOLTIP_DELAYED:0 "- 8 нових моделей військ для корінних американських націй, включаючи черокі, ірокезів і сіу"
 DLC_dlc013_TOOLTIP_INSTANT:0 "Songs of the New World"
 DLC_dlc013_TOOLTIP_DELAYED:0 "- 3 нові треки для індіанців та народів із заморськими провінціями"
 DLC_dlc014_TOOLTIP_INSTANT:0 "Songs of Yuletide"
 DLC_dlc014_TOOLTIP_DELAYED:0 "- 1 special track that plays during the month of December to add some festive cheer"
 DLC_dlc015_TOOLTIP_INSTANT:0 "Native Americans II Unit Pack"
 DLC_dlc015_TOOLTIP_DELAYED:0 "- 10 нових моделей військ для Native American nations, including Fox, Navajo and Ojibwe"
 DLC_dlc016_TOOLTIP_INSTANT:0 "Colonial British and French Unit Pack"
 DLC_dlc016_TOOLTIP_DELAYED:0 "- 16 нових моделей військ для which only appear in the New World for England and France"
 DLC_dlc017_TOOLTIP_INSTANT:0 "Muslim Advisor Portraits"
 DLC_dlc017_TOOLTIP_DELAYED:0 "- 21 новий портрет радників added for Muslim countries"
 DLC_dlc018_TOOLTIP_INSTANT:0 "Wealth of Nations"
 DLC_dlc018_TOOLTIP_DELAYED:0 "- Нова механіка торгових компаній\n- Нові таємні дипломатичні дії\n- Наймання каперів\n- Будівництво каналів"
 DLC_dlc019_TOOLTIP_INSTANT:0 "Muslim Ships Unit Pack"
 DLC_dlc019_TOOLTIP_DELAYED:0 "- 12 нових моделей кораблів for Muslim countries"
 DLC_dlc020_TOOLTIP_INSTANT:0 "Trade Nations Unit Pack"
 DLC_dlc020_TOOLTIP_DELAYED:0 "- 16 нових моделей військ для Aragon, Genoa, Lübeck, and Novogorod"
 DLC_dlc021_TOOLTIP_INSTANT:0 "Res Publica"
 DLC_dlc021_TOOLTIP_DELAYED:0 "- Нові механіки для Голландської республіки\n- Нова система фракцій для торгових республік\n- Диктатури\n- Нові події для республік"
 DLC_dlc024_TOOLTIP_INSTANT:0 "Indian Subcontinent Unit Pack"
 DLC_dlc024_TOOLTIP_DELAYED:0 "- 12 нових моделей військ для Bengal, Vijayanagar, and for Hindu and Muslim nations in India"
 DLC_dlc025_TOOLTIP_INSTANT:0 "Indian Ships Unit Pack"
 DLC_dlc025_TOOLTIP_DELAYED:0 "- 12 нових моделей кораблів for Indian nations"
 DLC_dlc026_TOOLTIP_INSTANT:0 "Republican Music Pack"
 DLC_dlc026_TOOLTIP_DELAYED:0 "- 5 нових треків"
 DLC_dlc027_TOOLTIP_INSTANT:0 "Art of War"
 DLC_dlc027_TOOLTIP_DELAYED:0 "- Війни релігійних ліг в Європі\n- Боротьба за справу Революції або ж проти неї\n- Покращення флотів одним клацанням миші\n- Більший вплив на союзників і суб'єктів"
 DLC_dlc028_TOOLTIP_INSTANT:0 "Evangelical Union Unit Pack"
 DLC_dlc028_TOOLTIP_DELAYED:0 "- 12 new tier 2 unit models for European states, including the Netherlands, France, England, and Hesse"
 DLC_dlc029_TOOLTIP_INSTANT:0 "Catholic League Pack"
 DLC_dlc029_TOOLTIP_DELAYED:0 "- 12 new tier 2 unit models for European states, including Spain, the Papal State, Austria, and Ulm"
 DLC_dlc030_TOOLTIP_INSTANT:0 "Songs of War"
 DLC_dlc030_TOOLTIP_DELAYED:0 "- 5 треків, що гратимуть під час війни"
 DLC_dlc031_TOOLTIP_INSTANT:0 "Guns, Drums and Steel"
 DLC_dlc031_TOOLTIP_DELAYED:1 "- 5 металічних реміксів вступної теми, включно з 4 треками, що гратимуть під час війни"
 DLC_dlc033_TOOLTIP_INSTANT:0 "El Dorado"
 DLC_dlc033_TOOLTIP_DELAYED:0 "- Конструктор користувацьких націй і випадкові держави\n- Нові релігійні механіки корінних американців\n- Золотий флот\n- Тордесільяський договір"
 DLC_dlc034_TOOLTIP_INSTANT:0 "South American Unit Pack"
 DLC_dlc034_TOOLTIP_DELAYED:0 "- 12 нових моделей військ для South American and Andean natives, including Inca, Mapuche, and Tupinamba"
 DLC_dlc035_TOOLTIP_INSTANT:0 "Mesoamerican Unit Pack"
 DLC_dlc035_TOOLTIP_DELAYED:0 "- 12 нових моделей військ для Mesoamerican natives, including Aztec, Maya, and Mixtec"
 DLC_dlc036_TOOLTIP_INSTANT:0 "Songs of Exploration"
 DLC_dlc036_TOOLTIP_DELAYED:0 "- 5 нових треків, що гратимуть під час миру і колонізації"
 DLC_dlc037_TOOLTIP_INSTANT:0 "Guns, Drums and Steel Volume 2"
 DLC_dlc037_TOOLTIP_DELAYED:0 "- 5 нових металічнихреміксів"
 DLC_dlc038_TOOLTIP_INSTANT:0 "Women in History"
 DLC_dlc038_TOOLTIP_DELAYED:0 "Фокус на жінках, які відіграли важливу роль в історії, що включає\n- 100 нових подій\n- 4 тематичних зображень для подій\n- 22 портрета жіночих радників"
 DLC_dlc039_TOOLTIP_INSTANT:0 "Common Sense"
 DLC_dlc039_TOOLTIP_DELAYED:0 "- Парламенти\n- Нові релігійні механіки для протестантів і буддистів\n- Нові взаємодії з суб'єктами\n- Вільні міста СРІ"
 DLC_dlc040_TOOLTIP_INSTANT:0 "Theocracies Unit Pack"
 DLC_dlc040_TOOLTIP_DELAYED:0 "- 16 нових моделей військ для theocratic nations, including the Teutonic Order, the Papal State, and the Knights"
 DLC_dlc041_TOOLTIP_INSTANT:0 "Buddhists Unit Pack"
 DLC_dlc041_TOOLTIP_DELAYED:1 "- 16 нових моделей військ для certain Buddhist nations, including Kandy, Dai Viet, and Tibet"
 DLC_dlc042_TOOLTIP_INSTANT:0 "Great Nations Unit Pack"
 DLC_dlc042_TOOLTIP_DELAYED:0 "- 17 нових моделей військ для European and Eurasian nations, including England, the Netherlands, the Ottomans, and Russia"
 DLC_dlc043_TOOLTIP_INSTANT:0 "Free Cities Unit Pack"
 DLC_dlc043_TOOLTIP_DELAYED:0 "- 15 нових моделей військ для Central European cities, including Frankfurt, Hamburg, and Ulm"
 DLC_dlc044_TOOLTIP_INSTANT:0 "Kairi's Soundtrack"
 DLC_dlc044_TOOLTIP_DELAYED:0 "- 5 нових треки composed by Kairi 'Blodeuyn' Sawler, inspired by Asian melodies"
 DLC_dlc046_TOOLTIP_INSTANT:0 "The Cossacks"
 DLC_dlc046_TOOLTIP_DELAYED:0 "- 3 нові стани: козаки, зіммі та клани\n- Особливий козацький уряд\n- Механіка синкретизму тенгріанства\n- Дипломатичний відгук\n- Політики відносно тубільців"
 DLC_dlc047_TOOLTIP_INSTANT:0 "Black Sea Unit Pack"
 DLC_dlc047_TOOLTIP_DELAYED:0 "- 32 нових моделей військ для Circassia, Crimea, Theodoro, and Zaporozhie"
 DLC_dlc048_TOOLTIP_INSTANT:0 "Great Hordes Unit Pack"
 DLC_dlc048_TOOLTIP_DELAYED:0 "- 32 нових моделей військ для Golden Horde, Nogai, Timurids, and Uzbek"
 DLC_dlc049_TOOLTIP_INSTANT:0 "European Cavalry Unit Pack"
 DLC_dlc049_TOOLTIP_DELAYED:0 "- 12 new cavalry models for England, France, and Spain"
 DLC_dlc050_TOOLTIP_INSTANT:0 "Fort Pack"
 DLC_dlc050_TOOLTIP_DELAYED:0 "- 18 new fort models for Western, Muslim, Asian, Indian, African, and South and North American cultures"
 DLC_dlc052_TOOLTIP_INSTANT:0 "Sabaton Soundtrack"
 DLC_dlc052_TOOLTIP_DELAYED:0 "- 5 нових треки composed by Sabaton"
 DLC_dlc053_TOOLTIP_INSTANT:0 "Catholic Majors Unit Pack"
 DLC_dlc053_TOOLTIP_DELAYED:0 "- 9 нових моделей військ для Austria, Poland, and Spain"
 DLC_dlc054_TOOLTIP_INSTANT:0 "Evangelical Majors Unit Pack"
 DLC_dlc054_TOOLTIP_DELAYED:0 "- 8 нових моделей військ для France, Prussia, and Sweden"
 DLC_dlc055_TOOLTIP_INSTANT:0 "Mare Nostrum"
 DLC_dlc055_TOOLTIP_DELAYED:0 "- Розширені морські місії\n- Берберські пірати\n- Кондотьєри\n- Торгові ліги\n- Нові шпигунські дії\n- Обмін і крадіжка мап"
