l_ukrainian:
 banaadir_region:0 "Банаадір"
 haud_region:0 "Хауд"
 kaffa_region:0 "Кафа"
 tigray_region:0 "Тиграй"
 amhara_region:0 "Амхара"
 maakhir_region:0 "Маахір"
 guyana_region:0 "Гаяна"
 venezuela_region:0 "Венесуела"
 new_andalucia_region:0 "Нова Андалусія"
 castilla_del_oro_region:0 "Кастілла-де-Оро"
 new_granada_region:0 "Нова Гранада"
 quito_region:0 "Кіто"
 bolivia_region:0 "Болівія"
 qullasuyu_region:0 "Кольасуйу"
 antisuyu_region:0 "Антісуйу"
 kuntisuyu_region:0 "Кунтісуйу"
 chinchaysuyu_region:0 "Чінчайсуйу"
 paraguay_region:0 "Парагвай"
 pampas_region:0 "Пампаси"
 patagonia_region:0 "Патагонія"
 cuyo_region:0 "Куйо"
 southern_pampas_region:0 "Південні Пампаси"
 buenos_aires_region:0 "Буенос-Айрес"
 tucuman_region:0 "Тукуман"
 chaco_region:0 "Чако"
 banda_oriental_region:0 "Східна смуга"
 rio_grande_do_sol_region:0 "Ріу-Гранді-ду-Сул"
 minas_gerais_region:0 "Мінас-Жерайс"
 goias_region:0 "Гояс"
 mato_grosso_region:0 "Мату-Гросу"
 sao_paolo_region:0 "Сан-Паулу"
 rio_de_janeiro_region:0 "Ріо-де-Жанейро"
 bahia_region:0 "Баїя"
 pernambuco_region:0 "Пернамбуку"
 maranhao_region:0 "Мараньян"
 grao_para_region:0 "Гран-Пара"
 transoxiana_region:0 "Трансоксанія"
