l_ukrainian:
 shiva:0 "Культ Шиви"
 ganesha:0 "Культ Ґанешу"
 surya:0 "Культ Сур'ї"
 ganga:0 "Культ Ґанґи"
 shakti:0 "Культ Шакті"
 vishnu:0 "Культ Вішну"
 shiva_desc:0 "Шива є богом змін через руйнування, які досягаються шляхом тандави – танцю знищення та створення. Цар танців."
 ganesha_desc:0 "Ґанеша – бог мудрості, успішних починань та усунення перешкод. Владика Ґанів."
 surya_desc:0 "Сур'я є богом сонця, мужності та волі."
 ganga_desc:0 "Ґанґа є богинею, втіленням священної ріки Ґанґ, яка очищає та спокутує гріхи."
 shakti_desc:0 "Богиня Шакті є втіленням сили та енергії."
 vishnu_desc:0 "Вішну є всюдисущим богом. Той, що підпирає собою світ."
 RV_NO_DEITY_TITLE:0 "Вибрати верховний культ."
 RV_NO_DEITY_DESC:0 "Гіндуїзм дозволяє вибирати верховне божество, якому ви будете поклонятися. Кожен культ має свої ефекти і триватиме до кінця правління поточного монарха."
 RV_PICK_DEITY_THIS:0 "$NAME|Y$"
 RV_PICK_DEITY:0 "Виберіть культ"
 norse_pagan_reformed:0 "Скандинавське язичництво"
 jewish_group:0 "Юдаїзм"
 jewish:0 "Юдаїзм"
 karaite:0 "Караїмізм"
 samaritan:0 "Самаританізм"
 OLD_NORSE:0 "Давньоскандинавське язичництво"
 catholic_neutral:0 "Нейтралітет на Тридентському соборі"
 catholic_concilatory:0 "Примирливість на Тридентському соборі"
 catholic_harsh:0 "Непримиримість на Тридентському соборі"
 jewish_rebels_demand:0 "Навернути державу $COUNTRYNAME$"
 jewish_rebels_demand_desc:0 "Релігійні борці віри $RELIGION$ вимагають зробити її панівною релігією або, як мінімум, припинити переслідування за їхню віру."
 jewish_rebels_title:0 "Релігійні фанатики"
 jewish_rebels_name:0 "Фанатики ($RELIGION$)"
 jewish_rebels_desc:0 "Релігійні фанатики прагнуть підняти повстання у провінціях, які належать країнам з іншою державною релігією. Вони намагаються розповсюдити свою релігію, позбувшись при цьому всіх невірних."
 jewish_rebels_army:0 "Армія навернення на $RELIGION$"
 norse_pagan_reformed_rebels_demand:0 "Навернути державу $COUNTRYNAME$"
 norse_pagan_reformed_rebels_demand_desc:0 "Релігійні борці віри $RELIGION$ вимагають зробити її панівною релігією або, як мінімум, припинити переслідування за їхню віру."
 norse_pagan_reformed_rebels_title:0 "Релігійні фанатики"
 norse_pagan_reformed_rebels_name:0 "Фанатики ($RELIGION$)"
 norse_pagan_reformed_rebels_desc:0 "Релігійні фанатики прагнуть підняти повстання у провінціях, які належать країнам з іншою державною релігією. Вони намагаються розповсюдити свою релігію, позбувшись при цьому всіх невірних."
 norse_pagan_reformed_rebels_army:0 "Армія навернення на $RELIGION$"
 odin:0 "Культ Одіна"
 odin_desc:0 "Одін є головним богом скандинавського пантеону, зазвичай пов'язаний з війною, перемогою та смертю."
 freya:0 "Культ Фреї"
 freya_desc:0 "Фреї часто поклонялися за її любов, красу, родючість та обіцянки добробуту."
 tor:0 "Культ Тора"
 tor_desc:0 "Тор, син Одіна – бог, який захищає людство від жаху, що намагається проникнути у Мидгард."
 tyr:0 "Культ Тюра"
 tyr_desc:0 "Тюр – однорукий бог справедливості, також вважається одним з найсміливіших богів."
 snotra:0 "Культ Снотра"
 snotra_desc:0 "Снотра – кмітлива богиня. Мудрого чоловіка або жінку можуть прозвати снотром на її честь."
 njord:0 "Культ Ньйорда"
 njord_desc:0 "Батько Фреї, бог моря та багатства, ніколи не залишить своїх шанувальників з пустим шлунком."
 MESOAMERICAN_HERETIC:0 "Тенокелом"
 NAHUATL_HERETIC:0 "Тенокелом"
 INTI_HERETIC:0 "Уака"
 MAZDAKI:0 "Маздакизм"
 MANICHEAN:0 "Маніхейство"
 OLD_TENGRI:0 "Давній тенгрі"
 spreading_of_norse_rituals_title:0 "Розповсюдження скандинавських ритуалів"
 spreading_of_norse_rituals_desc:0 "Прийнявши скандинавське язичництво, кожен з нас зможе проводити необхідні ритуали самостійно. Якщо ви поклоняєтеся Асам: Одину, Тору, Фреї та Снотрі, вас можна вважати послідовником Асатру. Заохочуймо ж наших підданих дізнаватися більше про наших богів, щоб вони почали поклонятися їм."
 restrict_government_offices_title:0 "Заохочення навернення на юдаїзм"
 restrict_government_offices_desc:0 "Потрібно обмежити усі значні центральні, місцеві та військові пости в нашій державі тільки для тих, хто сповідує державну релігію, одночасно запровадивши безплатну освіту за законами Талмуду та Шулкан Аруху для решти чиновників. Таким чином ми забезпечимо підготовленість та бажання переходу до істинної віри."
 restricted_offices:0 "Заохочення навернення"
 desc_restricted_offices:0 "Ми активно заохочуємо наше населення на перехід до юдаїзму, обмежуючи можливості невірних та заохочуючи вивчення предметів, необхідних для навернення."
 spreading_norse_rituals:0 "Розповсюдження древніх ритуалів"
 desc_spreading_norse_rituals:0 "Ми активно заохочуємо невірних серед нашого населення на перехід до нашої віри і поклоніння старим богам."
 inti_rebels_title:0 "Релігійні фанатики"
 inti_rebels_name:0 "Фанатики ($RELIGION$)"
 inti_rebels_desc:0 "Релігійні фанатики прагнуть підняти повстання у провінціях, які належать країнам з іншою державною релігією. Вони намагаються розповсюдити свою релігію, позбувшись при цьому всіх невірних."
 inti_rebels_army:0 "Армія навернення на $RELIGION$"
 inti_rebels_demand:0 "Навернути державу $COUNTRYNAME$"
 inti_rebels_demand_desc:0 "Релігійні борці віри $RELIGION$ вимагають зробити її панівною релігією або, як мінімум, припинити переслідування за їхню віру."
 maya_rebels_title:0 "Релігійні фанатики"
