l_ukrainian:
 embraced_absolutism:0 "Підтримані ідеї абсолютизму"
 rejected_absolutism:0 "Відхилені ідеї абсолютизму"
 accepted_act_of_seclusion:0 "Прийнятий указ про ізоляцію"
 ensured_stable_rule:0 "Впевненість, що династичний шлюб принесе стабільність"
 uncertain_marriage_ties:0 "Непевність у силі шлюбного союзу"
 sermons_for_princes:0 "Проповіді для князів"
 desc_sermons_for_princes:0 "Оранська династія згадується у церковних проповідях у нашій державі, це зміцнює їхню репутацію серед населення."
 no_sermons_for_princes:0 "Ніяких проповідей для князів"
 desc_no_sermons_for_princes:0 "Ми намагаємося підтримувати політику розділення держави і церкви."
 angered_traders:0 "Розлючені купці"
 desc_angered_traders:0 "Деякі купці, які вважають республіканську форму уряду більш вигідною для них, скаржаться на труднощі у їхній справі при автократичному правителеві."
 no_taxes_for_tyrants:0 "Жодних податків тиранові"
 desc_no_taxes_for_tyrants:0 "Деякі підлеглі нашої республіки відмовляються сплачувати податки правителю, якого вони вважають занадто деспотичним та монархічним для нашої нації."
 act_of_seclusion:0 "Постанова про ізоляцію"
 desc_act_of_seclusion:0 "Штатисти давно вели розмови про цей указ з іншими державами, його прийняття сильно підірве вплив Оранської династії."
 distrust_among_nobles:0 "Недовіра серед дворян"
 desc_distrust_among_nobles:0 "Опозиція в адміністрації Оранської династії викликала недовіру генералів до свого уряду."
 orangists_rally_against_rival:0 "Оранжисти об'єднали дворян перед загальним ворогом"
 desc_orangists_rally_against_rival:0 "Принц Оранський прийняв на себе лідерство в боротьбі з нашими ненависними суперниками, згуртувавши дворян у цій шляхетній справі."
 local_regenten_upset:0 "Невдоволення місцевих регентів"
 desc_local_regenten_upset:0 "Конфлікт між Оранжистами та Штатистами у сфері державних інтересів викликав розчарування серед патриціїв."
 local_nobles_upset:0 "Невдоволення місцевої знаті"
 desc_local_nobles_upset:0 "Конфлікт між Оранжистами та Штатистами у сфері державних інтересів викликав розчарування серед дворян."
 dutch_republic.1.t:0 "Абсолютна влада"
 dutch_republic.1.d:0 "Ми пишаємося нашою республікою, зокрема через те, що вона не має прецедентів та існує на відміну від сусідів, які перебувають під гнітом тиранів. Хоча все більше дворян вказують на світову популярність абсолютизму, де один правитель має необмежену владу, залишаючись популярним серед сусідніх держав.\n\n[Root.Monarch.GetName], як вони вважають, може стати великим правителем. [Root.Monarch.GetTitle] отримає більше влади, це би зміцнило нашу державу та показало іншим правителям, що ми підтримуємо їхні ідеї."
 dutch_republic.1.a:0 "Наш [Root.Monarch.GetTitle] уособлює державу!"
 dutch_republic.1.b:0 "Нам нема чому вчитися в закордонних тиранів!"
 dutch_republic.2.t:0 "Політичні максими республіки"
 dutch_republic.2.d:0 "Один з найповажніших радників у республіці [Root.GetName], $STATESMAN$$DIPLOMAT$$TRADER$$COLONIALGOVERNOR$, недавно опублікував роботу, у якій обговорює залежність політичних принципів від республіканської форми правління. Праця, звичайно, написана добре й переконливо, але іноді зустрічається жорстка критика правління принца Оранського, а він наш [Root.Monarch.GetTitle]. Його лояльність до правителя [Root.Monarch.GetName] не така вже й непохитна, як ми думали."
 dutch_republic.2.a:0 "Шкода, але $STATESMAN$$DIPLOMAT$$TRADER$$COLONIALGOVERNOR$ має бути звільнено."
 dutch_republic.2.b:0 "Критика життєво важлива для нашої республіки."
 dutch_republic.3.t:0 "Проповіді для князів"
 dutch_republic.3.d:0 "Народна підтримка Оранської династії зміцнюється з кафедри церков, що сповідують [Root.Religion.GetName], де простолюдинам часто нагадують про велику важливість сильного правителя для державної церкви та традиції успадкування влади.\n\n Але, у республіці [Root.GetName] існує не одна релігія. Представники інших віросповідань не завжди підтримують Оранську династію - посилаючись на республіканські ідеали, дехто з них навіть публічно критикує політику, що проводить [Root.Monarch.GetTitle] та державна церква."
