l_ukrainian:
 vassal_title:0 "Васал"
 march_title:0 "Марка"
 client_vassal_title:0 "Дочірня держава"
 client_march_title:0 "Дочірня марка"
 personal_union_title:0 "Молодший партнер"
 protectorate_title:0 "Протекторат"
 colony_title:0 "Колонія"
 daimyo_vassal_title:0 "Даймьо"
 vassal_title_plural:0 "Васали"
 march_title_plural:0 "Марки"
 client_vassal_title_plural:0 "Дочірні держави"
 client_march_title_plural:0 "Дочірні марки"
 personal_union_title_plural:0 "Молодші партнери"
 protectorate_title_plural:0 "Протекторати"
 colony_title_plural:0 "Колонії"
 daimyo_vassal_title_plural:0 "Даймьо"
 vassal_long_desc:0 "Васал повинен брати участь у війнах свого сюзерена, йому не доступні деякі дипломатичні дії, також він повинен віддавати своєму сюзерену частину прибутку."
 march_long_desc:0 "Марка – васал, якого неможе бути анексувано і який не платить жодної данини, проте маркам доступні ширші військові можливості, по зрівнянню зі звичайними васалами."
 client_vassal_long_desc:0 "Як і звичайний васал, Дочірня держава повинна брати участь у війнах свого сюзерена, їй недоступні деякі дипломатичні дії, й також вона повинна віддавати своєму сюзерену частину прибутку."
 daimyo_vassal_long_desc:0 "Даймьо – суб'єкт, який повинен брати участь у війнах свого сюзерена, йому не доступні деякі дипломатичні дії, також він повинен віддавати своєму сюзерену частину прибутку. Ще васальні Даймьо можуть воювати один з одним."
 client_march_long_desc:0 "Як і звичайна марка, Дочірня марка не може бути анексована, не платить жодної данини, проте маркам доступні ширші військові можливості, по зрівнянню зі звичайними васалами."
 colony_long_desc:0 "Колонія – окрема колоніальна одиниця, під контролем свого сюзерена. Колонії повинні сплачувати щомісячний тариф і передавати $TRADE|0%$ торгової сили своїм сюзеренам. Колонії можуть оголошувати війну лише примитивам або іншим колоніям."
 protectorate_long_desc:0 "Протекторат буде віддавати половину своєї торгової сили сюзерену, допоки сюзерен їх захищатиме."
 personal_union_long_desc:0 "У особистій унії дві держави знаходяться під управлінням одного монарха. Молодший партнер повинен брати участь у війнах свого сюзерена, йому недоступні деякі дипломатичні дії. У разі смерті правлячого монарха, унія може або поновитися, або її може бути розірвано. Також молодшого партнера може бути успадковано і анексовано."
 vassal_is_our:0 "$NAME|Y$ є нашим васалом."
 march_is_our:0 "$NAME|Y$ є нашою маркою."
 client_vassal_is_our:0 "$NAME|Y$ є нашою дочірньою державою."
 client_march_is_our:0 "$NAME|Y$ є нашою дочірньою маркою."
 personal_union_is_our:0 "$NAME|Y$ в особистій унії під нами."
 protectorate_is_our:0 "$NAME|Y$ є нашим протекторатом."
 colony_is_our:0 "$NAME|Y$ є нашою колонією."
 daimyo_vassal_is_our:0 "$NAME|Y$ є нашим васальним даймьо."
 IS_OUR_OVERLORD:0 "$NAME|Y$ є нашим сюзереном."
 colony_cant_fight:1 "Оскільки ви $SUBJECTTYPE$, ви можете оголшувати війни лише іншим колоніям і сусіднім примітивам або невірним."
 subject_cant_fight:0 "$SUBJECTTYPES$ не можуть починати війни."
 subject_cant_rival:0 "$SUBJECTTYPES$ не можуть обирати суперників."
 subject_cant_ally:0 "$SUBJECTTYPES$ не можуть укладати союзи."
 subject_cant_marry:0 "$SUBJECTTYPES$ не можуть укладати династичні шлюби."
 subject_only_fight_same_overlord:0 "Ми – $MYSUBJECTTYPE$, тому лише $THEIRSUBJECTTYPES$, що належать тому ж сюзерену, можуть бути тими, проти кого ми маємо право воювати"
 subject_only_fight_other_overlord:0 "Ми – $MYSUBJECTTYPE$, тому лише $THEIRSUBJECTTYPES$, що належать іншому сюзерену, можуть бути тими, проти кого ми маємо право воювати"
 subject_only_rival_same_overlord:0 "Ми – $MYSUBJECTTYPE$, тому лише $THEIRSUBJECTTYPES$ , що належать тому ж сюзерену, можуть бути нашими супротивниками"
 subject_only_rival_other_overlord:0 "Ми – $MYSUBJECTTYPE$, тому лише $THEIRSUBJECTTYPES$, що належать іншому сюзерену, можуть бути нашими супротивниками"
 subject_only_ally_same_overlord:0 "Ми – $MYSUBJECTTYPE$, тому лише $THEIRSUBJECTTYPES$ , що належать тому ж сюзерену, можуть бути нашими союзниками"
 subject_only_ally_other_overlord:0 "Ми – $MYSUBJECTTYPE$, тому лише $THEIRSUBJECTTYPES$, що належать іншому сюзерену, можуть бути нашими союзниками"
 subject_only_marry_same_overlord:0 "Ми – $MYSUBJECTTYPE$, тому лише $THEIRSUBJECTTYPES$ , що належать тому ж сюзерену, можуть укладати з нами шлюб"
 subject_only_marry_other_overlord:0 "Ми – $MYSUBJECTTYPE$, тому лише $THEIRSUBJECTTYPES$, що належать іншому сюзерену, можуть укладати з нами шлюб"
 personal_union_no_overlord_dow:0 "Ви не можете оголошувати війни своїм державі, з якою знаходитеся в унії."
 colony_no_overlord_dow:0 "Ви не можете оголошувати війни своїм колоніям."
 protectorate_no_overlord_dow:0 "Ви не можете оголошувати війни своїм протекторатам."
 relation_fight:0 "оголосити війну державі"
 relation_rival:0 "суперник"
 relation_ally:0 "союзник"
 relation_marry:0 "мають династичний шлюб з державою"
 THEIR_SUBJECT_TYPE_NO_ALLOW:0 "Вони - $SUBJECTTYPE$."
 tributary_state:0 "Держава-данник"
 tributary_state_title:0 "Держава-данник"
 tributary_state_title_plural:0 "Держави-данники"
 tributary_state_is_our:0 "§Y$NAME$§! є нашим данником."
 tributary_state_long_desc:1 "Держава-данник повинна сплачувати щорічну данину своєму сюзерену в замін на захист від незалежних держав. Держави-данники не беруть участі у війнах своїх сюзеренів і мають змогу проводити свою незалежну дипломатію."
 dummy:0 "Маріонетка"
 dummy_title:0 "Маріонетка"
 dummy_title_plural:0 "Маріонетки"
 dummy_is_our:0 "§Y$NAME$§! - наша маріонетка."
 dummy_long_desc:1 "Маріонетка - модель людського тіла, яка використовується для різних цілей."
