l_ukrainian:
 MAY_MERCHANTS:0 "Можна посилати §Yторговців§W.\n"
 MAY_BLOCKADE:0 "Можна §Yблокувати порти§W."
 MAY_FORM_COALITION:0 "Можна формувати §Yкоаліції§W."
 TRADE_EFF:0 "Ефективність торгівлі збільшено на $VALUE$.\n"
 PROD_EFF:0 "Ефективність виробництва збільшено на $VALUE$.\n"
 MAY_SUPPORT_REBELS:0 "Можна підтримувати повстанців."
 LAND_MORALE_INCREASED:0 "Бойовий дух армії збільшується на $VALUE$.\n"
 NAVAL_MORALE_INCREASED:0 "Бойовий дух флоту збільшується на $VALUE$.\n"
 ENABLES:0 "Доступний тип військ: §Y$WHICH$§W.\n"
 NEW_BUILDING:0 "Можна будувати: §Y$WHICH$§W.\n"
 NEW_GOVERNMENT:0 "Доступні форми правління: §Y$WHICH$§W.\n"
 TIME_TECH_INFO:0 "Поточний штраф або бонус до вартості цієї технології від сусідніх держав, або від випередження у часі."
 mil_tech:0 "Військові технології"
 adm_tech:0 "Адміністративні технології"
 dip_tech:0 "Дипломатичні технології"
 mil_tech_short:0 "Військ. тех."
 adm_tech_short:0 "Адмін. тех."
 dip_tech_short:0 "Дип. тех."
 TACCEPTED_CULTURES:0 "Макс. число просунутих культур"
 COLONIAL_GROWTH_INCREASE:0 "Рівень приросту поселенців збільшується на §G+$VALUE$§W.\n"
 NAVAL_MAINTENANCE_INCREASE:0 "Фінансування флоту збільшене на §R+$VALUE$%§W.\n"
 INF_FIRE_INCREASE:0 "Вогнева сила піхоти: §G+$VALUE$§W\n"
 CAV_FIRE_INCREASE:0 "Вогнева сила кавалерії: §G+$VALUE$§W\n"
 ART_FIRE_INCREASE:0 "Вогнева сила артилерії: §G+$VALUE$§W\n"
 INF_SHO_INCREASE:0 "Сила натиску піхоти: §G+$VALUE$§W\n"
 CAV_SHO_INCREASE:0 "Сила натиску кавалерії: §G+$VALUE$§W\n"
 ART_SHO_INCREASE:0 "Сила натиску артилерії: §G+$VALUE$§W\n"
 TECH_SETUP:0 "Коли рівень технологій буде підвищено."
 WESTERN_NAVAL_TECH:0 "Флоти"
 TECH_HEADER:0 "$MESSENGER$"
 TECH_1:0 "Покращені $TYPE$!"
 TECH_2:1 "$TITLE$, наші $TYPE$ було підвищено до рівня"
 TECH_3:0 "$LEVEL$"
 TECH_4:0 "$DESC$"
 TECH_5:0 "Додаткові ефекти:"
 TECH_6:0 "$BONUSEFFECT$"
 TECH_LOG:0 "Наші $TYPE$ досягли $LEVEL$ рівня"
 TECH_BTN1:0 "Гаразд"
 TECH_BTN2:0 "Гаразд"
 TECH_BTN3:0 "Детальніше"
 TECH_MAP:0 " "
 NOT_FROM_THIS_GOV:0 "До цієї форми правління неможливо перейти від нашого поточного типу уряду."
 MESSAGE_HEAD_DIP:0 "Звіт нашого канцлера"
 MESSAGE_HEAD_ADM:0 "Звіт нашого управителя"
 MESSAGE_HEAD_MIL:0 "Звіт нашого маршала"
 mil_tech_cs_0_name:0 "До-середньовічне озброєння"
 mil_tech_cs_1_name:0 "Середньовічне озброєння"
 mil_tech_cs_2_name:0 "Східний рій"
 mil_tech_cs_3_name:0 "Пізньо-середньовічне озброєння"
 mil_tech_cs_4_name:0 "Каре"
 mil_tech_cs_5_name:0 "Стандартизовані списи"
 mil_tech_cs_6_name:0 "Аркебузи"
 mil_tech_cs_7_name:0 "Гарматний передок"
 mil_tech_cs_8_name:0 "Списи і кулі"
 mil_tech_cs_9_name:0 "Професійні офіцери"
 mil_tech_cs_10_name:0 "Рейтари"
 mil_tech_cs_11_name:0 "Фітильні мушкети"
 mil_tech_cs_12_name:0 "Терція"
 mil_tech_cs_13_name:0 "Трунніони"
 mil_tech_cs_14_name:0 "Теналь"
 mil_tech_cs_15_name:0 "Мавриканська піхота"
 mil_tech_cs_16_name:0 "Уніфікація калібрів"
 mil_tech_cs_17_name:0 "Кремнієві мушкети"
 mil_tech_cs_18_name:0 "Карабіни"
 mil_tech_cs_19_name:0 "Густавська піхота"
 mil_tech_cs_20_name:0 "Смертоносні поля"
 mil_tech_cs_21_name:0 "Лінійна піхота"
 mil_tech_cs_22_name:0 "Уніфікація набоїв"
 mil_tech_cs_23_name:0 "Легка кавалерія"
 mil_tech_cs_24_name:0 "Рів"
 mil_tech_cs_25_name:0 "Королевські мортири"
 mil_tech_cs_26_name:0 "Загони легкої піхоти"
 mil_tech_cs_27_name:0 "Багнети"
 mil_tech_cs_28_name:0 "Кірасири"
 mil_tech_cs_29_name:0 "Багаторівневі укріплення"
 mil_tech_cs_30_name:0 "Нерегулярні бойові дії"
 mil_tech_cs_31_name:0 "Рушниці"
 mil_tech_cs_32_name:0 "Польові гаубиці"
 mil_tech_cs_0_desc:0 "Ополченці, племінні воїни, та інші нефахові солдати. Відправна точка будь-якої армії."
 mil_tech_cs_1_desc:0 "Створення професійного військового прошарку є першим кроком до побудови сучасної армії."
 mil_tech_cs_2_desc:0 "Сліпо атакувати ворога, мабуть, не найкраща тактика, але вона є найпростішою. Також не варто забувати, що це перший крок до більш досконалих тактик і стратегій."
 mil_tech_cs_3_desc:0 "Ближче до кінця середньовіччя, сухопутні армії стали більш професійними та добре організованими. Краща організація та координація армій, що складалися з добровольців, поєднаних з професійними вояками, дозволила їм домінувати на полях тогочасних битв. Це призвело до повільного, але постійного збільшення значення ролі піхоти над кавалерією."
