l_ukrainian:
 BOLD:0 "Сміливий"
 CAUTIOUS:0 "Обережний"
 EMBARGO_AGAINST:0 "Держава $WHO$ наклала ембарго на державу $AGAINST$."
 TAKE_BANK_LOAN:0 "Взяти позику §Y$AMOUNT$§W на §Y5§W років. У вас може бути до §Y$SUPPORT$§W позик одночасно."
 NO_COMMANDER:0 "(Немає командира)"
 MORALE:0 "Бойовий дух"
 SHOCK_PHASE:0 "Натиск"
 FIRE_PHASE:0 "Вогонь"
 FOOD_SHORTAGE:0 "(нестача провізії)"
 SURRENDER:0 "(здача в полон)"
 SUGGEST_OFFER:0 "Зробити пропозицію"
 SUGGEST_PEACE:0 "Висунути вимоги"
 NO_INTERACT_INVALID_GOV:0 "Їхній уряд прив'язаний до правлячої династії, тому ми не можемо змінити їхнього правителя."
 SUGGEST_PEACE_DESC:0 "Клацніть на цю кнопку, щоб надіслати ворогові мирну пропозицію."
 SUGGEST_PEACE_IMPOSSIBLE:0 "Зараз вони не приймуть жодних наших вимог."
 SURRENDER_IMPOSSIBLE:0 "Зараз вони не приймуть жодні наші пропозиції."
 DEF_DESERT:0 "(втеча захисників)"
 BREACH:0 "(пролом у стіні)"
 WATER_SHORTAGE:0 "(нестача води)"
 CARDINAL_X_FROM:0 "Кардинал $NAME$ з провінції $LOCATION$"
 CURR_CURIA_CONTROLLER:0 "$WHO$ контролює Папську курію."
 CURIA_BENEFIT:0 "Вони отримують такі переваги:\n"
 BRIBE_CARDINAL:0 "Підкуп кардинала буде коштувати $CASH$¤."
 CARDINAL_ALREADY_OURS:0 "Ми вже контролюємо цього кардинала."
 CANT_AFFORD_BRIBE:0 "Щоб вплинути на цього кардинала, нам необхідно $CASH$¤."
 HEADER_OVERVIEW:0 "Огляд"
 HEADER_COURT:0 "Двір"
 HEADER_RELIGION:0 "Релігія"
 HEADER_MILITARY:0 "Військова справа"
 HEADER_ECONOMY:0 "Економіка"
 HEADER_POLICIES:0 "Керування"
 HEADER_LEADER:0 "Командувачі"
 ARMIES:0 "Армії"
 NAVIES:0 "Флоти"
 NAVIES_MOTHBALLED:0 "Законсервований флот: §Y$VALUE$§!¤\n"
 STABEX_MANAGEOVEX:0 "Керування"
 NATIVE_UPRISING:0 "Повстання тубільців"
 MOVE_CAPITAL_TOO_SMALL_CONTINENT:0 "Тепер ви можете перенести столицю на континент, який який має менше третини ваших провінцій, якщо це не єдина ваша провінція на цьому континенті."
 CRBBREACH:0 "Пролом! З пробитою стіною війська тепер можуть легко взяти укріплення штурмом."
 CRBSIEGE1:0 "Місто може триматися роками."
 CRBSIEGE2:0 "Місто капітулює протягом року."
 CRBSIEGE3:0 "Місто капітулює протягом 9 місяців."
 CRBSIEGE4:0 "Місто капітулює протягом 6 місяців."
 CRBSIEGE5:0 "Місто капітулює протягом 3 місяців."
 CRBSIEGE6:0 "Місто капітулює з дня на день."
 SAILOR_MAINT_NONE_AT_PORT:0 "У портах непотрібно поповнювати команди моряками."
 LACK_OF_SAILORS_ATTRITION:0 "Брак моряків +$VAL$%\n"
 MODIFIER_SAILOR_MAINTENANCE:0 "Необхідність у моряках"
 GAIN:0 "збільшиться"
 LOSE:0 "зменшиться"
 THE_ENEMY:0 "Ворог"
 SPECTATOR:0 "Спостерігач"
 NATIVE_REG_NAME:0 "Плем'я"
 REBELS_ARMY_DUE_TO:0 "Вони матимуть такий розмір військ через:\n"
 REBELS_ARMY_BASE:0 "Базове: $BASE|Y$\n"
 REBELS_ARMY_PROV:0 "$NAME$: $SIZE|Y$\n"
 REBELS_ARMY_TECH_SCALE:1 "Військові технології: $VALUE$\n"
 ADD_CHURCH_POWER_EFFECT:0 "Вплив церкви $DIRECTION$ на $VALUE$.\n"
 ADD_MILSOC_EFFECT:0 "Мілітаризація держави $DIRECTION$ на $VALUE$.\n"
 ADD_SPLENDOR_EFFECT:0 "Велич $DIRECTION$ на $VALUE$.\n"
 ADD_ABSOLUTISM_EFFECT:1 "Абсолютизм $DIRECTION$ на $VALUE$.\n"
 ADD_FERVOR_EFFECT:0 "Завзяття $DIRECTION$ на $VALUE$.\n"
 TREASURY_EFFECT:0 "Скарбниця $DIRECTION$ на $VALUE$¤.\n"
 PRESTIGE_EFFECT:0 "Престиж $DIRECTION$ на $VALUE$.\n"
 TRIBAL_ALLEGIANCE_EFFECT:0 "Племінна відданість $DIRECTION$ на $VALUE$.\n"
 INFLATION_EFFECT:1 "Інфляція $DIRECTION$ на $VALUE$.\n"
 ADD_KARMA_EFFECT:0 "Карма $DIRECTION$ на $VALUE$.\n"
 SET_KARMA_EFFECT:0 "Карма дорівнює $VALUE$.\n"
 STABILITY_EFFECT:0 "Стабільність $DIRECTION$ на $VALUE$.\n"
 WAREXHAUSTION_EFFECT:0 "Втома від війни $DIRECTION$ на $VALUE$.\n"
 MANPOWER_EFFECT:0 "Число рекрутів $DIRECTION$ на $VALUE$.\n"
 SAILORS_EFFECT:0 "Число моряків $DIRECTION$ на $VALUE$.\n"
 ARMYTRADITION_EFFECT:0 "Розмір військових традицій $DIRECTION$ на $VALUE$.\n"
 NAVYTRADITION_EFFECT:0 "Розмір морських традицій $DIRECTION$ на $VALUE$.\n"
 CAPITAL_CHANGE:0 "Столицю буде перенесено в провінцію §Y$NEW$§W.\n"
 POLICY_CHANGE:0 "Налаштування ВП '$SLIDER$' $DIRECTION$ на $VALUE$.\n"
 RELIGION_ENABLED:0 "Стане доступною нова релігія: $NEW$.\n"
 RELIGION_CHANGE_PROV:0 "Населення провінції §Y$WHERE$§W перейде в §Y$NEW$§W.\n"
 CENTER_OF_REFORMATION:0 "Провінція §Y$WHERE$§W – центр реформації.\n"
 REMOVE_CENTER_OF_REFORMATION:0 "Провінція §Y$WHERE$§W більше не центр реформації.\n"
 CENTER_OF_REFORMATION_CENTER:0 "Провінція §Y$PROVINCE$§! – це $ТYРЕ$ релігії §Y$RELIGION$§!.\nНавколишні провінції будуть поступово навертатися в релігію §Y$RELIGION$§! поки існує $ТYРЕ$ і є провінції, на які ця релігія може поширюватися."
 CENTER_OF_REFORMATION_CONVERT:1 "Релігія в провінції §Y$WHERE$§W перетворюється на §Y$NEW$§W, через те, що неподалік знаходиться $TYPE|Y$.\n"
 CENTER_OF_REFORMATION_POSSIBLE:2 "Центр реформації може з'явитися в європейській провінції."
 CENTER_OF_REFORMATION_NO_PROVINCE:0 "Центр реформації не з'явиться."
 CENTER_OF_REFORMATION_IMPOSSIBLE:0 "В цієї віри вже максимум центрів реформації."
 CENTER_OF_REFORMATION_END:1 "Центри реформації недоступні після початку епохи абсолютизму."
 CENTER_OF_REFORMATION_NOT_AVAILABLE:0 "Ця релігія не має центрів реформації."
 CENTER_OF_REFORMATION_HAS_ALREADY:0 "У вас вже є центр реформації."
 CENTER_OF_REFORMATION_RELIGION_NOT_POSSIBLE:0 "$RELIGION$ не може мати центр реформації"
 CENTER_OF_REFORMATION_CONVERT_PROGRESS:1 "Релігія зміниться на §Y$NEW$§W, оскільки неподалік знаходиться $TYPE$.\nПоточний прогрес становить §Y$VALUE$%§!.\n"
 CENTER_OF_REFORMATION_CONVERT_END:0 "Запізно для створення центру реформації."
 CONV_SPEED_REFCENTER:0 "Швидкість навернення: $SPEED$\n"
 NEW_CORE_EFFECT:0 "Провінція §Y$NEW$§W стане вважатися національною.\n"
 LOSE_CORE_EFFECT:0 "Провінція §Y$LOSE$§W перестане вважатися національною.\n"
 ADVISOR_DEAD:0 "$TYPE$ §Y$WHO$§W помре.\n"
 RELATION_CHANGE:0 "Відносини між державами §Y$ACTIVE$§W і §Y$PASSIVE$§W зміняться на $MUCH$.\n"
 CULTURE_CHANGE:0 "§Y$NEW$§W культура стане основною культурою.\n"
 ADD_ACCEPTED_CULTURE:0 "§Y$NEW$§W культура стане прийнятою культурою.\n"
 REM_ACCEPTED_CULTURE:0 "§Y$LOSE$§W культура перестане бути прийнятою культурою.\n"
 BECOME_EMPEROR:0 "Стане імператором.\n"
 LOSE_EMPEROR:0 "Перестане бути імператором.\n"
 BECOME_ELECTOR:0 "Стане курфюрстом.\n"
 LOSE_ELECTOR:0 "Перестане бути курфюрстом.\n"
 ADD_IDEA:0 "Сприйме ідею §Y$NEW$§W.\n"
 REM_IDEA:0 "Відмовиться від ідеї §Y$LOSE$§W.\n"
 GOV_CHANGE:0 "Формою правління стане §Y$GOV$§W.\n"
 TECH_INVEST:0 "Об'єм інвестицій в $TECH$ $DIRECTION$ на $VALUE$.\n"
 GROUP_CHANGE:0 "Новою технологічною групою стане §Y$GROUP$§W.\n"
 CHANGE_TAG:0 "Проголосити себе державою §Y$NEW$§W.\n"
