l_ukrainian:
 veche_republic:0 "Вічова республіка"
 veche_republic_desc:0 "Цією державою керує віче - рада з вищою законодавчою і судовою владою, що складається з бояр, торгівців і навіть простих людей."
 russian_famine:0 "Гoлoд"
 desc_russian_famine:0 "Місцевий голод спустошив цю провінцію."
 st_nicholas_icon_gratitude:0 "Релігійна вдячність"
 famous_icon:0 "Місцева знаменита ікона"
 desc_famous_icon:0 "Місцева ікона стала широко відомою після, здавалося б, миттєвого звернення іноземного купця в нашу віру. Новонавернений став спонсором церкви, а слава ікони стала привертати все більшу увагу людей до цієї провінції."
 orthodox_icon_events.1.t:0 "Матір божа"
 orthodox_icon_events.1.d:0 "Уболіваючи про втрату всієї своєї родини і його сільської ферми, людина з розірваної війною провінції [eleusa_church_province.GetName], провів день і ніч, молячись перед іконою Богородиці в соборі провінції [eleusa_church_province.GetCapitalName]. Оскільки саме місто опинилося під окупацією, його горе було розділено багатьма з його [Root.GetAdjective]их братів. На наступний день було схоже на те, як ніби ікона почула його молитви. Віряни провінції [eleusa_church_province.GetName] піднялися як один і вигнали ворогів.\nПодальша доля провінції не зрозуміла, війна і розруха переслідують [Root.GetAdjective]у сільську місцевість і багато хто з наших громадян звертаються до церкви для розради та моральної підтримки."
 orthodox_icon_events.1.a:0 "Чудово!"
 orthodox_icon_events.2.t:0 "Бунт у провінції [eleusa_church_province.GetName]"
 orthodox_icon_events.2.d:0 "Люди з провінції [eleusa_church_province.GetName] об'єдналися навколо місцевого духовенства та піднялися у повстанні проти нашої окупації."
 orthodox_icon_events.2.a:0 "Мерзенні бунтівники!"
 orthodox_icon_events.3.t:0 "Св. Михаїл"
 orthodox_icon_events.3.d:0 "Нещодавнє вербування в провінції [michael_icon_church_province.GetName] дало несподівано велику кількість рекрутів. Місцеве духовенство вважає, що причиною цьому послужило натхнення іконою святого Михаїла. Вони повідомляють про те, що молоді люди приходять звідусіль щоб побачити ікону Архистратига і це надихає їх на війну за віру."
 orthodox_icon_events.3.a:0 "До зброї!"
 orthodox_icon_events.4.t:0 "Христос Вседержитель"
 orthodox_icon_events.4.d:0 "Всемогутній господь наш, Христос, спостерігає за нами з куполів багатьох церков по всій країні. Наша шана та велика увага до цієї центральної ікони будь-якого іконостасу приваблює багатьох. Населення стає все більш задоволеним своїм життям під керівництвом нашого правителя."
 orthodox_icon_events.4.a:0 "Бо царство належить йому."
 orthodox_icon_events.5.t:0 "Три дарунки Миколи"
