l_ukrainian:
 MIGRATION_COST:0 "Вартість міграції"
 an_nopersonality:0 "нема виражених рис характеру"
 WOULD_HAVE_TO_FIGHT_OVERLORD:0 "Доведеться воювати проти сюзерена данника: "
 SUBJECT_NO_COLONIES_OR_VASSALS:0 "У нас немає ні колоній, ні васалів."
 great_peasants_war_flag:0 "Велика селянська війна"
 BUILD_TOOLTIP_INTRO:1 "Будування тут будівлі $BUILDING|Y$ дасть такі базові ефекти:"
 MACRO_INCREASE_SAILORS_DESC:0 "Ця будівля збільшить число моряків на $VAL$"
 MACRO_REDUCE_MAINTENANCE_DESC:0 "Ця будівля знизить вартість утримання на $VAL$"
 MISSIONCANCELLED_TITLE:0 "Місію скасовано"
 MISSIONCANCELLED_SETUP:0 "Коли місію одного з наших юнітів скасовано."
 MISSIONCANCELLED_HEADER:0 "$MESSENGER$"
 MISSIONCANCELLED_1:0 "Місію $TYPE$ скасовано"
 MISSIONCANCELLED_2:0 "Нашу місію $TYPE$"
 MISSIONCANCELLED_3:0 "$NAME$"
 MISSIONCANCELLED_4:0 "припиняє $ACTION$."
 MISSIONCANCELLED_5:0 "$REASON$"
 MISSIONCANCELLED_6:0 "Вони чекають подальших наказів в провінції $PROV$"
 MISSIONCANCELLED_LOG:0 "Місію $NAME$ скасовано"
 MISSIONCANCELLED_BTN1:0 "Гаразд"
 MISSIONCANCELLED_BTN2:0 "Гаразд"
 MISSIONCANCELLED_BTN3:0 "Перейти"
 EStopMissionReason_Exiled:0 "Юніт у вигнанні."
 EStopMissionReason_NoLeader:0 "Юніт не має лідера."
 EStopMissionReason_Retreating:0 "Юніт відступає."
 EStopMissionReason_Completed:0 "Місію завершено."
 EStopMissionReason_CannotReach:0 "Юніт не може досягти мети."
 EStopMissionReason_NotInColonialRegion:0 "Юніт не знаходиться в колоніальному регіоні."
 EStopMissionReason_NowhereLeftToExplore:0 "Тут більше нічого досліджувати."
 EStopMissionReason_Mothballed:0 "Юніт законсервований."
 EStopMissionReason_OutOfTradeRange:0 "Торговий вузол поза зоною досяжності."
 EStopMissionReason_StartingNewMission:0 "Юніт починає нову місію."
 EStopMissionReason_NoLightShips:0 "У флоті немає легких кораблів."
 EStopMissionReason_Exploring:0 "Юніт досліджує."
 EStopMissionReason_MercenarysCantDrill:0 "Найманців не можна муштрувати."
 EStopMissionReason_CondottieriCantDrill:0 "Кондотьєрів не можна муштрувати."
 EStopMissionReason_NotOwner:0 "Армія знаходиться у провінції, якою ви не володієте."
 EStopMissionReason_AttachedToOtherUnit:0 "Юніт приєднався до другого юніта."
 EStopMissionReason_NotControllerOfProvince:0 "Армія знаходиться в провінції, яку ви не контролюєте."
 EStopMissionReason_InCombat:0 "Юніт знаходиться в бою."
 EStopMissionReason_Moving:0 "Юніт пересувається."
 EStopMissionReason_CantMove:0 "Юніт не може пересуватися."
 EStopMissionReason_NoTradeNode:0 "Торговий вузол не існує."
 EStopMissionReason_NoInterestInTradeNode:0 "Держава не зацікавлена в цьому торговому вузлі."
 EStopMissionReason_OverriddenByNewCommand:0 "У юніта є новий наказ."
 EStopMissionReason_TooManyShips:0 "У держави занадто багато кораблів."
 EStopMissionReason_NeededForWar:0 "Юніт потрібен для війни."
 EStopMissionReason_TooManyPrivateers:0 "У держави занадто багато каперів."
 EStopMissionReason_NeededForTransportation:0 "Юніт потрібен для транспортування."
 EStopMissionReason_TooManyUnitsForExploration:0 "Юніт занадто великий для дослідження."
 EStopMissionReason_NotEnoughUnitsForExploration:0 "Юніт недостатньо великий для дослідження."
 EStopMissionReason_Drilling:0 "Юніт займається муштрою."
 EStopMissionReason_PreparingForWar:0 "Держава готується до війни."
 EStopMissionReason_HighAttrition:0 "Юніт занадто сильно виснажується."
 EStopMissionReason_CantAffordIt:0 "Держава не може дозволити собі місію."
 EStopMissionReason_HostilesClose:0 "Поруч знаходиться ворог."
 EStopMissionReason_RebelThreat:0 "Поруч знаходяться повстанці."
 EStopMissionReason_NeededForExploration:0 "Юніт потрібен для досліджень."
 EStopMissionReason_LeaderCannotExplore:0 "Лідер юніта не може досліджувати terra incognita."
 EStopMissionReason_Arrived:0 "Юніт прибув."
 EStopMissionReason_CannotBlockade:0 "Юніт не може встановлювати блокаду."
 EStopMissionReason_Merging:0 "Юнит об'єднується з іншим юнітом."
 EStopMissionReason_WaitingForReinforcements:0 "Юніт чекає поповнення."
 EStopMissionReason_LowMorale:0 "У юніта низький бойовий дух."
 EStopMissionReason_NoTransportCapacity:0 "У держави немає можливостей для транспортування."
 EStopMissionReason_NotAtWar:0 "Держава не в стані війни."
 EStopMissionReason_LowStrength:0 "У юніта мала боєготовність."
 EStopMissionReason_FleetNotOwned:0 "Флот не належить державі."
 EStopMissionReason_NeedToUnload:0 "Юніта потрібно висадити."
 EStopMissionReason_FleetNeedsToMove:0 "Флот повинен рухатися."
 EStopMissionReason_NeedToLoad:0 "Юніта потрібно завантажити."
 EStopMissionReason_Splinter:0 "Юніт розділяється."
 EStopMissionReason_NeededForHomeFleet:0 "Юніт потрібен флоту метрополії."
 EStopMissionReason_PerformingAction:0 "Юніт виконує іншу дію."
 EStopMissionReason_UserAction:0 "Ви зупинили це."
 TO_REVOKE_PRIVILEGE_INTRO:0 "Відкликання привілею:"
 NEWACTIVELOYALISTCARDINAL_TITLE:0 "Обрано нового лояльного кардинала"
 NEWACTIVELOYALISTCARDINAL_SETUP:0 "Коли обирається новий лояльний кардинал."
 NEWACTIVELOYALISTCARDINAL_HEADER:0 "Новини Святого Престолу"
 NEWACTIVELOYALISTCARDINAL_1:0 "Новий лояльний кардинал"
 NEWACTIVELOYALISTCARDINAL_2:0 "Провінція §Y$PROVINCE$§W тепер стала резиденцією нового кардинала."
 NEWACTIVELOYALISTCARDINAL_3:0 "Він лояльний до держави §Y$COUNTRY$§W."
 NEWACTIVELOYALISTCARDINAL_4:0 "Число їх активних кардиналів: §Y$NCARDINALS$§W."
 NEWACTIVELOYALISTCARDINAL_LOG:0 "Новий лояльний кардинал з провінції $PROVINCE$"
 NEWACTIVELOYALISTCARDINAL_BTN1:0 "Гаразд"
 NEWACTIVELOYALISTCARDINAL_BTN2:0 "Гаразд"
 NEWACTIVELOYALISTCARDINAL_BTN3:0 "Перейти"
 LIBERTY_DESIRE_FROM_RELATIVE_POWER_SEA:0 "Співвідношення морської могутності суб'єкта та держави §Y$OVERLORD$§! (§Y$AMT$%§!): $VAL$"
