l_ukrainian:
 X_BECOMES_HARMONIZED:0 "Релігія $NAME|Y$ тепер гармонізована.\n"
 TRENT_IS_NOT_ENABLED:0 "Тридентський собор не відбувся."
 TRENT_IS_ENABLED:1 "Тридентський собор розпочався."
 ENABLE_COUNCIL_OF_TRENT:0 "Почався §YТридентський собор§!\n"
 DISABLE_COUNCIL_OF_TRENT:0 "Завершився §YТридентський собор§!\n"
 NOT_CURRENT_ICON_TR:0 "$ICON|Y$ зараз НЕ видається."
 CURRENT_ICON_TR:0 "$ICON|Y$ зараз видається."
 ANY_STATE_STARTS:0 "Будь-яке Володіння"
 NO_ANY_STATE_STARTS:0 "Жодне Володіння"
 ALL_STATE_STARTS:0 "Усі володіння"
 NO_ALL_STATE_STARTS:0 "Не всі володіння"
 HAVE_NO_PATRIARCH_IN:1 "Володіння $NAME$ НЕ є митрополією.\n"
 HAVE_PATRIARCH_IN:1 "Володіння $NAME|Y$ є митрополією.\n"
 IN_GOLDEN_ERA:0 "Держава $COUNTRY|Y$ оголосила Золоту добу."
 NOT_GOLDEN_ERA:0 "Держава $COUNTRY|Y$ НЕ оголосила Золоту добу."
 DEVASTATION_LESS_THAN:0 "Розруха менше $VAL|Y$.\n"
 DEVASTATION_AT_LEAST:0 "Рівень розрухи щонайменше $VAL|Y$.\n"
 DEVASTATION_EFF:0 "Розруха провінції $WHERE$ $DIRECTION$ на $VALUE$.\n"
 PROSPERITY_LESS_THAN:0 "Прогрес процвітання менше $VAL|Y$.\n"
 PROSPERITY_AT_LEAST:0 "Прогрес процвітання щонайменше $VAL|Y$.\n"
 TRIG_STATE_NOT_PROSP:0 "Володіння $NAME|Y$ НЕ процвітає.\n"
 TRIG_STATE_PROSP:0 "Володіння $NAME|Y$ процвітає!\n"
 PROSP_EFF:0 "Процвітання Володіння $WHERE|Y$ $DIRECTION$ на $VALUE$.\n"
 AGE_ABIL_TRIG_NOT:0 "Не має здібності '$NAME|Y$'.\n"
 AGE_ABIL_TRIG:0 "Має здібність '$NAME|Y$'.\n"
 STATE_EDICT_TRIG_NOT:0 "НЕ має едикту '$NAME|Y$'.\n"
 STATE_EDICT_TRIG:0 "Має едикт '$NAME|Y$'.\n"
 NUM_CONTINENTS_TRIG:0 "Є щонайменше на $VAL|Y$ континентах\n"
 NUM_CONTINENTS_TRIG_NOT:0 "Володіє провінціями на МЕНШЕ, ніж $VAL|Y$ континентах\n"
 INSTITUTION_DIFF_LOWER_THAN:0 "Число інституцій, запроваджених державою §Y$WHO$§!, у порівнянні з державою §Y$TARGET$§!, менше §Y$VAL$§!."
 INSTITUTION_DIFF_AT_LEAST:0 "Число інституцій, запроваджених державою §Y$WHO$§!, у порівнянні з державою §Y$TARGET$§!, щонайменше §Y$VAL$§!."
 INSTITUTION_DIFF_LOWER_THAN_ALT:0 "Число інституцій, впроваджених державою §Y$TARGET$§!, менше §Y$VAL$§!."
 INSTITUTION_DIFF_AT_LEAST_ALT:0 "Число інституцій, впроваджених державою §Y$TARGET$§!, щонайменше §Y$VAL$§!."
 ADM_EFFECT:0 "$WHO$ $DIRECTION$ $VALUE$ £adm£\n"
 DIP_EFFECT:0 "$WHO$ $DIRECTION$ $VALUE$ £dip£\n"
 MIL_EFFECT:0 "$WHO$ $DIRECTION$ $VALUE$ £mil£\n"
 FRIENDLY_NEARBY_PROVINCE_STARTS:0 "Сусідня дружня провінція"
 INSTITUTION_NOT_SPAWNED_YET:0 "Інституція $WHICH|Y$ ще не з'явилася\n"
 NOT_HAS_INSTITUTION_IN_COUNTRY:0 "Держава $COUNTRY$ НЕ запровадила інституцію $WHICH|Y$\n"
 HAS_INSTITUTION_IN_COUNTRY:0 "Держава $COUNTRY$ запровадила інституцію $WHICH|Y$\n"
 TECH_REQUIRES_INSTITUTION:1 "Технологія $TECH|Y$ коштує на $PENALTY$ дорожче для країн, які не впровадили інституцію $INSTITUTION|Y$.\n"
 TECH_COST:0 "Вартість: $VAL$\n"
 NOT_HAS_INSTITUTION_IN_PROV:1 "Інституція $WHICH|Y$ НЕ присутня\n"
 HAS_INSTITUTION_IN_PROV:1 "Інституція $WHICH|Y$ присутня\n"
 INSTITUTION_LOWER_IN_PROV:0 "Підтримка інституції $WHICH|Y$ нижча $VAL|Y$.\n"
 INSTITUTION_AT_LEAST_PROV:0 "Підтримка інституції $WHICH|Y$ щонайменше $VAL|Y$.\n"
 INSTITUTION_GROWTH_LOWER_IN_PROV:0 "Зростання інституції $WHICH|Y$ нижче $VAL|Y$.\n"
 INSTITUTION_GROWTH_AT_LEAST_IN_PROV:0 "Зростання інституції $WHICH|Y$ щонайменше $VAL|Y$.\n"
 NOT_INSTITUTION_ENABLED:0 "Інституція $WHICH|Y$ поки не ввімкнена."
 INSTITUTION_ENABLED:0 "Інституцію $WHICH|Y$ було винайдено.\n"
 NOT_INSTITUTION_ORIGIN:0 "НЕ місце виникнення інституції $WHICH|Y$.\n"
 INSTITUTION_ORIGIN:0 "Місце виникнення інституції $WHICH|Y$."
 ADD_INSTITUTION_EMBRACEMENT_EFFECT:0 "Підтримка інституції $WHICH|Y$ у провінції $PROV$ $DIRECTION$ на $VALUE$.\n"
 HAS_MERCHANT_TRIGGER:1 "Держава $WHO|Y$ має купця у вузлі $WHERE|Y$.\n"
 HAS_NOT_MERCHANT_TRIGGER:0 "Держава $WHO|Y$ НЕ має купця у вузлі $WHERE|Y$.\n"
 HAS_NOT_DISASTER:0 "Не діє $NAME|Y$.\n"
 HAS_DISASTER:0 "На даний момент діє $NAME|Y$.\n"
