l_ukrainian: 
 TUT_PART_BAS_SHORT:0 "Основи"
 TUT_PART_BAS_TITLE:0 "§YОснови§!\nКерування\nІгровий процес"
 TUT_PART_BAS_DESC:0 "Ця частина навчання присвячена основам керування камерою, швидкості гри, управлінням юнітами, продукцією та азам дипломатії."
 TUT_PART_ADV_SHORT:0 "Поглиблене навчання"
 TUT_PART_ADV_TITLE:0 "§YПоглиблене навчання§!\nДеякі особливості"
 TUT_PART_ADV_DESC:0 "В цій частині навчання ви пройдете основи ігрового інтерфейсу. Також ви навчитесь торгувати."
 TUT_PART_CAM_SHORT:0 "Еспанська імперія"
 TUT_PART_CAM_TITLE:0 "§YЕспанська імперія§!\nКампанія для новачків"
 TUT_PART_CAM_DESC:1 "Ця частина навчання розповість про ігрову механіку найбільш близько жо справжньої гри. Ви навчитесь оголошувати війну, анексувати держави і управляти завойованими територіями. Також ви дізнаєтесь більше про події, стабільність, повстанців та дослідження."
 TUT_PART_DESC:0 "Це опис частин"
 TUT_BAS_SELECT_CHAPTER_TITLE:0 "Основне навчання"
 TUT_BAS_SELECT_CHAPTER_DESC:0 "Опис основного навчання"
 TUT_NEXT:0 "Далі"
 TUT_NEXT_TOOLTIP:0 "Клацніть, щоб перейти на наступну сторінку."
 TUT_MENU:0 "Вихід"
 TUT_MENU_TOOLTIP:0 "Клацніть, щоб повернутися у меню навчання."
 TUT_SKIP:0 "Пропустити"
 tutorial_negative_modifier:0 "Понижена обороноздатність"
 TUT_SKIP_TOOLTIP:0 "Клацніть, щоб пропустити цей розділ і перейти до наступного."
 TUT_MINIMISE_TOOLTIP:0 "Клацніть для приховання вікна."
 TUT_OBJECTIVES:0 "Ціль"
 TUT_SELECT_CHAPTER_TITLE:0 "Вибір розділу"
 TUT_SELECT_CHAPTER_DESC:0 "Виберіть розділ і клацніть Грати."
 TUT_BAS_CHAPTER01_BUTTON:0 "Основи керування"
 TUT_BAS_CHAPTER01_TITLE:0 "Основи керування"
 TUT_BAS_CHAPTER01_DESC:0 "У цьому розділі ви навчитесь найпростішим основам гри. Він включає в себе контроль §Mкамери§! та §Mшвидкості гри§!."
 TUT_BAS_CHAPTER01_PAGE01_TITLE:0 "§YВступ (1/8)§!"
 TUT_BAS_CHAPTER01_PAGE01_TEXT:0 "Ви зможете зменшити це вікно в будь-який час, клікнувши на §MКнопку зменшення§!. Щоб повернутися до попереднього вигляду, просто клацніть  §MКнопку збільшеня§!."
 TUT_BAS_CHAPTER01_PAGE01_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_BAS_CHAPTER01_PAGE02_TITLE:0 "§YЧас (2/8)§!"
