l_ukrainian:
 VOL_ideas:0 "Галицько-волинські ідеї"
 VOL_ideas_start:0 "Галицько-волинські традиції"
 VOL_ideas_bonus:0 "Галицько-волинські амбіції"
 vol_different_confessions:0 "Багатоконфесійність"
 vol_different_confessions_desc:0 "Життя на кордоні православ'я і католицизму зробило наших людей толерантнішими до інших християнських церков."
 vol_ukrainian_nationalism:0 "Гуцульський націоналізм"
 vol_ukrainian_nationalism_desc:0 "Ми повинні об'єднати весь український народ і землі, на яких він проживає, у монолітну незалежну націю."
 vol_danylo_legitimacy:0 "Король Данило"
 vol_danylo_legitimacy_desc:0 "Данило Галицький був королем Руси, Принцом Галичини, Перемишлю та Володимира. Його було короновано папським архієпископом у Дрогобичі у 1253, як першого короля Руси (1253–1264)."
 vol_sichovi_striltsi:0 "Стрільці"
 vol_sichovi_striltsi_desc:0 "Густі ліси Галичини і Волині завжди були батьківщиною майстерних стрільців та вмілих мисливців."
 vol_city_of_churches:0 "Місто храмів"
 vol_city_of_churches_desc:0 "Львів нараховує близько 20 різноманітних церков різних конфесій, серед яких вирізняються: Домініканський костел, Собор святого Юра, Гарнізонний храм святих апостолів Петра і Павла (костел Єзуїтів). Своєю розкішшю і релігійним престижем ці храми мають позитивний вплив на усі сфери життя наших громадян і роблять їх більш набожними, в хорошому сенсі."
 vol_western_legacy:0 "Західна спадщина"
 vol_western_legacy_desc:0 "Близьке розташування до Західної Європи дає Галицько-Волинській державі деякі переваги, як-то ранній доступ та впровадження нових технологій."
 vol_path_to_citizenship:0 "Шлях до громадянства"
 vol_path_to_citizenship_desc:0 "Сила Римської Імперії була в її здібності робити завойовані народи частиною своєї імперії. Ми запровадимо подібну систему, щоб заохотити тих, хто знаходиться під нашим правлінням, стати частиною нашої імперії."
 CHR_ideas:0 "Чернігівські ідеї"
 CHR_ideas_start:0 "Чернігівські традиції"
 CHR_ideas_bonus:0 "Чернігівські амбіції"
 chr_steel_production:0 "Сталевари"
 chr_steel_production_desc:0 "Чернігівські землі багаті залізною рудою. Залізо можна використовувати для багатьох потреб, що призведе лише до одного – до успіху."
 chr_claim_of_freedom:0 "Претензії на волю"
 chr_claim_of_freedom_desc:0 "Наші брати в інших країнах страждають від нетерпимості. Ми повинні підтримати їхню боротьбу."
 chr_ambitious_duke:0 "Амбіційний граф"
 chr_ambitious_duke_desc:0 "Наш граф – енергійний правитель. Користуючись своїми знаннями в дипломатичній сфері, він гарантував собі титул Графа Чернігівського і наше графство підніметься до небувалих висот під його правлінням."
 chr_matrimonial_expasion:0 "Шлюбна експансія"
 chr_matrimonial_expasion_desc:0 "Наша країна розрослася за допомогою бюрократії шлюбних претензій. Розповсюджуючи нашу династію, ми убезпечимо себе від спорожнілих тронів, а у наші руки переходитимуть все нові землі."
 chr_artillery_tradtions:0 "Артилерійські традиції"
 chr_artillery_tradtions_desc:0 "Чернігівські шахти з видобутку залізної руди дозволяють нам кувати високоякісні гармати. Нашому війську тепер лишилося тільки навчитися ними орудувати."
 chr_a_kings_dream:0 "Королівська мрія"
 chr_a_kings_dream_desc:0 "Можливо ми занадто амбітні, але ми нарешті наздогнали свої мрії про заснування королівства. Розбудуємо наше військо та завоюємо тих, хто не визнає нашу владу."
 chr_empire_of_tolerance:0 "Імперія толерантності"
 chr_empire_of_tolerance_desc:0 "Наша імперія стала домівкою для багатьох культур і релігій. Від ординського – до руського та російського впливу, ми повинні стати толерантними та знайти застосування кожній дещиці знання, яку ми отримуємо від наших підданих."
 HET_ideas:0 "Ідеї Гетьманату"
 HET_ideas_start:0 "Традиції Гетьманату"
 HET_ideas_bonus:0 "Амбіції Гетьманату"
 het_cossacks:0 "Козаки"
 het_cossacks_desc:0 "Запорожці були українськими козаками, які жили за дніпровськими порогами. Протягом XVI, XVII та більшої частини XVIII століття, запорізькі козаки стали могутньою політичною і військовою силою, яка кидала виклик пануванню Польсько-Литовської об'єднаної держави, Московському царству та Османській Імперії з її васалом – Кримським Ханством."
 het_khortytsia:0 "Хортицька січ"
 het_khortytsia_desc:0 "Одне з перших укріплень, відоме під назвою Січ, розташовувалося на острові Мала Хортиця і було засноване волинським принцом Дмитром Вишневецьким. Це одна з найвідоміших козацьких фортець."
 het_hetman:0 "Гетьман всія України"
 het_hetman_desc:0 "Гетьман Українських Козаків був титулом в українському Гетьманаті. Починаючи з 1648, від повстання Богдана Хмельницького, Гетьман був титул голови Козацької держави. Козацькі гетьмани мали дуже широку владу і були військовими та урядовими головнокомандувачами."
 het_barocco:0 "Українське бароко"
 het_barocco_desc:0 "Українське бароко, або козацьке бароко, або Мазепинське бароко – архітектурний стиль, який з'явився в Україні в часи Гетьманщини, у XVII та XVIII століттях."
 het_brest:0 "Скасування Берестейської унії"
 het_brest_desc:0 "Ми скасували Берестейську унію (1595-1596) – рішення  Київської митрополії Константинопольського патріархату розірвати стосунки з Константинопольським патріархатом та об'єднатися з Апостольською Столицею Папи Римського. Тепер ми зможемо досягти релігійної єдності."
 het_orlyk:0 "Конституція Пилипа Орлика"
 het_orlyk_desc:0 "Конституція Пилипа Орлика започаткувала демократичний стандарт розподілу державної влади між законодавчою, виконавчою та судовою гілками, набагато раніше за публікацію політико-правового трактату 'Про дух законів' де Монтеск'є. Конституція обмежувала виконавчу владу гетьмана та визначала демократичне  обрання козацького парламенту, який називався Генеральна Рада. Конституція Пилипа Орлика була унікальною для свого історичного періоду і була одною з перших державних конституцій Європи."
 het_magdeburg:0 "Магдебурзьке право"
 het_magdeburg_desc:0 "Дванадцять міст Гетьманату користувалися магдебурзьким правом, згідно з яким вони отримували права на самоврядування та контролювали власні суди, фінанси і податки. Зажиточні міщани мати своїх представників в уряді Гетьманату або навіть купити собі дворянські титули."
