l_ukrainian:
 #Triggered modifiers
 contributions_to_lithuania_ukr:0 "Данина Литві"
 desc_contributions_to_lithuania_ukr:0 "Незважаючи на те, що Великий Князь Свидригайло подарував руським князівствам свободу вибирати свій політичний курс, литовська шляхта очікує від них продовження сплати контрибуцій грошима і людською силою."
 contributions_to_poland_ukr:0 "Данина Польщі"
 desc_contributions_to_poland_ukr:0 "Незважаючи на те, що Великий Князь Свидригайло подарував руським князівствам свободу вибирати свій політичний курс, польська шляхта очікує від них продовження сплати контрибуцій грошима і людською силою."
 on_start_tributes_pol:0 "Данина колишньому володареві"
 desc_on_start_tributes_pol:0 "Як колишній володар галицько-волинських земель, Польща отримає данину рекрутами з руських провінцій, які колись їм належали."
 on_start_tributes_lit:0 "Данина колишньому володареві"
 desc_on_start_tributes_lit:0 "Як колишній володар Києва, Чернігова та Запоріжжя, Литва отримає данину рекрутами з руських провінцій, які колись їм належали."
 hetmanate_mil_tech_ukr:0 "Гетьманські про-західні реформи"
 desc_hetmanate_mil_tech_ukr:0 "Козаки були безстрашними воїнами, відомими своїми подвигами далеко за межами батьківщини.  Після повернення з численних військових кампаній, вони часто знайомили місцеве населення з витворами мистецтва останньої моди й найсвіжіших технологічних відкриттів."
 hetmanic_turkish_war_ukr:0 "Гетьмансько-Турецька війна"
 desc_hetmanic_turkish_war_ukr:0 "Козацька держава отримує піднесення бойового духу у війні проти одного зі своїх одвічних ворогів."
 #Kyiv
 forcelimit_tributes_kie_1:0 "Данина рекрутами від Києва"
 forcelimit_tributes_kie_2:0 "Данина рекрутами від Києва"
 forcelimit_tributes_kie_3:0 "Данина рекрутами від Києва"
 forcelimit_tributes_kie_4:0 "Данина рекрутами від Києва"
 forcelimit_tributes_kie_5:0 "Данина рекрутами від Києва"
 forcelimit_tributes_kie_6:0 "Данина рекрутами від Києва"
 forcelimit_tributes_kie_7:0 "Данина рекрутами від Києва"
 forcelimit_tributes_kie_8:0 "Данина рекрутами від Києва"
 forcelimit_tributes_kie_9:0 "Данина рекрутами від Києва"
 forcelimit_tributes_kie_10:0 "Данина рекрутами від Києва"
 forcelimit_tributes_kie_11:0 "Данина рекрутами від Києва"
 forcelimit_tributes_kie_12:0 "Данина рекрутами від Києва"
 forcelimit_tributes_kie_13:0 "Данина рекрутами від Києва"
 forcelimit_tributes_kie_14:0 "Данина рекрутами від Києва"
 forcelimit_tributes_kie_15:0 "Данина рекрутами від Києва"
 #VOL
 forcelimit_tributes_vol_1:0 "Данина рекрутами від Галицько-Волинської держави"
 forcelimit_tributes_vol_2:0 "Данина рекрутами від -Галицько-Волинської держави"
 forcelimit_tributes_vol_3:0 "Данина рекрутами від Галицько-Волинської держави"
 forcelimit_tributes_vol_4:0 "Данина рекрутами від Галицько-Волинської держави"
 forcelimit_tributes_vol_5:0 "Данина рекрутами від Галицько-Волинської держави"
 forcelimit_tributes_vol_6:0 "Данина рекрутами від Галицько-Волинської держави"
 forcelimit_tributes_vol_7:0 "Данина рекрутами від Галицько-Волинської держави"
 forcelimit_tributes_vol_8:0 "Данина рекрутами від Галицько-Волинської держави"
 forcelimit_tributes_vol_9:0 "Данина рекрутами від Галицько-Волинської держави"
 forcelimit_tributes_vol_10:0 "Данина рекрутами від Галицько-Волинської держави"
 forcelimit_tributes_vol_11:0 "Данина рекрутами від Галицько-Волинської держави"
 forcelimit_tributes_vol_12:0 "Данина рекрутами від Галицько-Волинської держави"
 forcelimit_tributes_vol_13:0 "Данина рекрутами від Галицько-Волинської держави"
 forcelimit_tributes_vol_14:0 "Данина рекрутами від Галицько-Волинської держави"
 forcelimit_tributes_vol_15:0 "Данина рекрутами від Галицько-Волинської держави"
 #Chernihiv
 forcelimit_tributes_chr_1:0 "Данина рекрутами від Чернігова"
 forcelimit_tributes_chr_2:0 "Данина рекрутами від Чернігова"
 forcelimit_tributes_chr_3:0 "Данина рекрутами від Чернігова"
 forcelimit_tributes_chr_4:0 "Данина рекрутами від Чернігова"
 forcelimit_tributes_chr_5:0 "Данина рекрутами від Чернігова"
 forcelimit_tributes_chr_6:0 "Данина рекрутами від Чернігова"
 forcelimit_tributes_chr_7:0 "Данина рекрутами від Чернігова"
 forcelimit_tributes_chr_8:0 "Данина рекрутами від Чернігова"
 forcelimit_tributes_chr_9:0 "Данина рекрутами від Чернігова"
 forcelimit_tributes_chr_10:0 "Данина рекрутами від Чернігова"
 forcelimit_tributes_chr_11:0 "Данина рекрутами від Чернігова"
 forcelimit_tributes_chr_12:0 "Данина рекрутами від Чернігова"
 forcelimit_tributes_chr_13:0 "Данина рекрутами від Чернігова"
 forcelimit_tributes_chr_14:0 "Данина рекрутами від Чернігова"
 forcelimit_tributes_chr_15:0 "Данина рекрутами від Чернігова"
 #Zaporizhia
 forcelimit_tributes_zaz_1:0 "Данина рекрутами від Запоріжжя"
 forcelimit_tributes_zaz_2:0 "Данина рекрутами від Запоріжжя"
 forcelimit_tributes_zaz_3:0 "Данина рекрутами від Запоріжжя"
 forcelimit_tributes_zaz_4:0 "Данина рекрутами від Запоріжжя"
 forcelimit_tributes_zaz_5:0 "Данина рекрутами від Запоріжжя"
 forcelimit_tributes_zaz_6:0 "Данина рекрутами від Запоріжжя"
 forcelimit_tributes_zaz_7:0 "Данина рекрутами від Запоріжжя"
 forcelimit_tributes_zaz_8:0 "Данина рекрутами від Запоріжжя"
 forcelimit_tributes_zaz_9:0 "Данина рекрутами від Запоріжжя"
 forcelimit_tributes_zaz_10:0 "Данина рекрутами від Запоріжжя"
 forcelimit_tributes_zaz_11:0 "Данина рекрутами від Запоріжжя"
 forcelimit_tributes_zaz_12:0 "Данина рекрутами від Запоріжжя"
 forcelimit_tributes_zaz_13:0 "Данина рекрутами від Запоріжжя"
 forcelimit_tributes_zaz_14:0 "Данина рекрутами від Запоріжжя"
 forcelimit_tributes_zaz_15:0 "Данина рекрутами від Запоріжжя"
 
